form,lemma,pos,morph
Quoniam,qvonivs,ADJqua,Case=Acc|Numb=Sing
specialia,specialis,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
quedam,qvidam,PROind,Case=Abl|Numb=Plur
nature,natvr,NOM3,Case=Abl|Numb=Sing
officia,officivm,NOM2,Case=Nom|Numb=Plur
feminarum,femina,NOM1,Case=Gen|Numb=Plur
corporibus,corpvs,NOM3,Case=Abl|Numb=Plur
uidentur,video,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
esse,svm,VER,Mood=Inf|Tense=Pres|Voice=Act
concessa,concedo,VER,Case=Acc|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
uirorum,vir,NOM2,Case=Gen|Numb=Plur
communitate,commvnitas,NOM3,Case=Abl|Numb=Sing
carentia,careo,VER,Case=Acc|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
ut,vt,ADVrel,MORPH=empty
purgatio,pvrgatio,NOM3,Case=Nom|Numb=Sing
conceptio,conceptio,NOM3,Case=Nom|Numb=Sing
partus,partvs,NOM4,Case=Nom|Numb=Sing
et,et,CONcoo,MORPH=empty
morbi,morbvs,NOM2,Case=Gen|Numb=Sing
sequentes,seqvor,ADJqua,Case=Nom|Numb=Plur|Deg=Pos|Tense=Pres
ex,ex,PRE,MORPH=empty
ipsis,ipse,PROdem,Case=Abl|Numb=Plur
qui,qvi,PROrel,Case=Nom|Numb=Plur
sepe,sepes,NOM3,Case=Abl
exigunt,exigo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
diligentiam,diligentia,NOM1,Case=Acc|Numb=Sing
medicine,medicines,NOM3,Case=Abl|Numb=Sing
ueteres,vetvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
secretas,secretvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
eorum,is,PROdem,Case=Gen|Numb=Plur
tradere,trado,VER,Mood=Inf|Tense=Pres|Voice=Act
curationes,cvratio,NOM3,Case=Acc|Numb=Plur
principaliter,principaliter,ADV,Deg=Pos
prouiderunt,provideo,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
quas,qvi,PROrel,Case=Acc|Numb=Plur
genecias,genecia,NOM1,Case=Acc|Numb=Plur
appellarunt,appello,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
