form,lemma,pos,morph
libellum,libellvs,NOM2,Case=Acc|Numb=Sing
quem,qvi,PROrel,Case=Acc|Numb=Sing
ad,ad,PRE,MORPH=empty
nepotulum,nepotvlvm,NOM2,Case=Acc|Numb=Sing
meum,mevs,PROpos,Case=Acc|Numb=Sing
sororis,soror,NOM3,Case=Gen|Numb=Sing
tuae,tvvs,PROpos,Case=Gen|Numb=Sing
lilium,lilivm,NOM2,Case=Acc|Numb=Sing
instar,instar,NOM6,Case=Ind
protreptici,protrepticvs,NOM2,Case=Gen|Numb=Sing
luseram,lvdo,VER,Numb=Sing|Mood=Ind|Tense=Pqp|Voice=Act|Person=1
uenturus,venio,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Fut|Voice=Act
ipse,ipse,PROdem,Case=Nom|Numb=Sing
praemisi,praemitto,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
legendum,lego,VER,Case=Acc|Numb=Sing|Mood=Adj|Voice=Pass
.,vnvs,ADJcar,Case=Acc|Numb=Plur
hoc,hic,PROdem,Case=Acc|Numb=Sing
enim,enim,CONcoo,MORPH=empty
malui,malo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
quam,qvam,PROrel,MORPH=empty
ipse,ipse,PROdem,Case=Nom|Numb=Sing
recitare,recito,VER,Mood=Inf|Tense=Pres|Voice=Act
esset,svm,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
ut,vt,CONsub,MORPH=empty
tibi,tv,PROper,Case=Dat|Numb=Sing
censura,censvra,NOM1,Case=Nom|Numb=Sing
liberior,liber,ADJqua,Case=Nom|Numb=Sing|Deg=Comp
quae,qvi,PROrel,Case=Nom|Numb=Sing
duabus,dvo,ADJcar,Case=Abl|Numb=Plur
causis,cavsa,NOM1,Case=Abl|Numb=Plur
impediri,impedio,VER,Mood=Inf|Tense=Pres|Voice=Pass
solet,soleo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=SemDep|Person=3
quod,qvod,CONsub,MORPH=empty
aures,avris,NOM3,Case=Acc|Numb=Plur
nostras,noster,PROpos,Case=Acc|Numb=Plur
audita,avdio,VER,Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
uelocius,velociter,ADV,Deg=Comp
quam,qvam,ADVrel,MORPH=empty
lecta,lectvs,NOM2,Case=Nom|Numb=Plur
praetereunt,praetereo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
quod,qvod,CONsub,MORPH=empty
sinceritas,sinceritas,NOM3,Case=Nom|Numb=Sing
iudicandi,ivdico,VER,Case=Gen|Numb=Sing|Mood=Ger|Voice=Act
praesentia,praesentia,NOM1,Case=Acc|Numb=Sing
recitantis,recito,VER,Case=Gen|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
oneratur,onero,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
nunc,nvnc,ADV,Deg=Pos
tibi,tv,PROper,Case=Dat|Numb=Sing
utrumque,vterqve,PROind,Case=Nom|Numb=Sing
integrum,integer,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
quia,qvia,CONsub,MORPH=empty
et,et,CONcoo,MORPH=empty
legenti,lego,VER,Case=Dat|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
libera,liber,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
mora,mora,NOM1,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
iudicaturo,ivdico,VER,Case=Dat|Numb=Sing|Mood=Par|Tense=Fut|Voice=Act
non,non,ADVneg,MORPH=empty
obstat,obsto,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
nostri,noster,PROpos,Case=Gen|Numb=Sing
uerecundia,verecvndia,NOM1,Case=Nom|Numb=Sing
.,vnvs,ADJcar,Case=Gen|Numb=Plur
Set,set,NOM3,Numb=Sing
heus,hevs,INJ,MORPH=empty
tu,tv,PROper,Case=Nom|Numb=Sing
fili,filivs,NOM2,Case=Voc|Numb=Sing
dulcissime,dvlcis,ADV,Case=Voc|Deg=Sup
habeo,habeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
quod,qvi,PROrel,Case=Acc
admoneam,admoneo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=1
si,si,CONsub,MORPH=empty
qua,qvis,PROind,Case=Nom|Numb=Sing
tibi,tv,PROper,Case=Dat|Numb=Sing
in,in,PRE,MORPH=empty
his,hic,PROdem,Case=Abl|Numb=Plur
uersiculis,versicvlvs,NOM2,Case=Abl|Numb=Plur
uidebuntur,video,VER,Numb=Plur|Mood=Ind|Tense=Fut|Voice=Pass|Person=3
nam,nam,CONcoo,MORPH=empty
