form,lemma,pos,morph
Petis,petis,NOM3,Case=Nom|Numb=Sing
a,ab,PRE,MORPH=empty
me,ego,PROper,Case=Abl|Numb=Sing
litteras,littera,NOM1,Case=Acc|Numb=Plur
longiores,longvs,ADJqua,Case=Nom|Numb=Plur|Deg=Comp
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
hoc,hic,PROdem,Case=Nom|Numb=Sing
in,in,PRE,MORPH=empty
nos,nos,PROper,Case=Acc|Numb=Plur
ueri,vervs,ADJqua,Case=Gen|Numb=Sing
amoris,amor,NOM3,Case=Gen|Numb=Sing
indicium,indicivm,NOM2,Case=Nom|Numb=Sing
sed,sed,CONcoo,MORPH=empty
ego,ego,PROper,Case=Nom|Numb=Sing
qui,qvi,PROrel,Case=Nom|Numb=Sing
sim,svm,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=1
paupertini,pavpertinvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
ingenii,ingenivm,NOM2,Case=Gen|Numb=Sing
mei,mevs,PROpos,Case=Gen|Numb=Sing
conscius,conscivs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
Laconicae,laconicvs,ADJqua,Case=Dat|Numb=Sing|Deg=Pos
malo,malo,NOM2,Case=Dat|Numb=Sing|Person=1
studere,stvdeo,VER,Mood=Inf|Tense=Pres|Voice=Act
breuitati,brevitas,NOM3,Case=Dat|Numb=Sing
quam,qvam,ADVrel,MORPH=empty
multiiugis,mvltiivgvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
paginis,pagina,NOM1,Case=Abl|Numb=Plur
infantiae,infantia,NOM1,Case=Gen|Numb=Sing
meae,mevs,PROpos,Case=Gen|Numb=Sing
maciem,macies,NOM5,Case=Acc|Numb=Sing
publicare,pvblico,VER,Mood=Inf|Tense=Pres|Voice=Act
.,vnvs,ADJcar,Case=Acc|Numb=Plur
nec,nec,CONcoo,MORPH=empty
mirum,mirvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
si,si,CONsub,MORPH=empty
eloquii,eloqvivm,NOM2,Case=Gen|Numb=Sing
nostri,noster,PROpos,Case=Gen|Numb=Sing
uena,vena,NOM1,Case=Nom|Numb=Sing
tenuata,tenvo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
quam,qvi,PROrel,MORPH=empty
dudum,dvdvm,ADV,Deg=Pos
neque,neqve,CONcoo,MORPH=empty
ullius,vllvs,PROind,Case=Gen|Numb=Sing
poematis,poema,NOM1,Case=Dat|Numb=Plur
tui,tvvs,PROpos,Case=Gen|Numb=Sing
neque,neqve,CONcoo,MORPH=empty
pedestrium,pedester,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
uoluminum,volvmen,NOM3,Case=Gen|Numb=Plur
lectione,lectio,NOM3,Case=Abl|Numb=Sing
iuuisti,ivvo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=2
.,vnvs,ADJcar,Case=Acc|Numb=Sing
unde,vnde,ADVrel,MORPH=empty
igitur,igitvr,CONcoo,MORPH=empty
sermonis,sermo,NOM3,Case=Gen|Numb=Sing
mei,mevs,PROpos,Case=Gen|Numb=Sing
largam,largvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
poscis,posco,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
usuram,vsvra,NOM1,Case=Acc|Numb=Sing
qui,qvi,PROrel,Case=Nom|Numb=Sing
nihil,nihil,PROind,Case=Ind
litterati,litteratvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
faenoris,fenvs,NOM3,Case=Gen|Numb=Sing
credidisti,credo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=2
uolitat,volito,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
tuus,tvvs,PROpos,Case=Nom|Numb=Sing
Mosella,mosella,NOM1,Case=Nom|Numb=Sing
per,per,PRE,MORPH=empty
manus,manvs,NOM4,Case=Acc|Numb=Plur
sinusque,sinvsqve,ADVrel,MORPH=empty
multorum,mvlti,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
diuinis,divinvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
a,ab,PRE,MORPH=empty
te,tv,PROper,Case=Abl|Numb=Sing
uersibus,versvs,NOM4,Case=Abl|Numb=Plur
consecratus,consecro,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
sed,sed,CONcoo,MORPH=empty
tantum,tantvm,ADV,Case=Acc|Deg=Pos
nostra,noster,PROpos,Case=Acc|Numb=Plur
ora,os,NOM3,Case=Acc|Numb=Plur
praelabitur,praelabor,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
.,qvadranta,ADJcar,Case=Acc|Numb=Plur
cur,cvr,ADVint,MORPH=empty
me,ego,PROper,Case=Acc|Numb=Sing
istius,iste,PROdem,Case=Gen|Numb=Sing
libelli,libellvs,NOM2,Case=Gen|Numb=Sing
quaeso,qvaeso,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
exortem,exors,VER,Case=Acc|Numb=Sing|Tense=Pres|Voice=Dep
esse,svm,VER,Mood=Inf|Tense=Pres|Voice=Act
uoluisti,volo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=2
aut,avt,CONcoo,MORPH=empty
tibi,tv,PROper,Case=Dat|Numb=Sing
uidebar,video,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Pass|Person=1
qui,qvi,PROrel,Case=Nom|Numb=Sing
iudicare,ivdico,VER,Mood=Inf|Tense=Pres|Voice=Act
non,non,ADVneg,MORPH=empty
possem,possvm,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=1
aut,avt,CONcoo,MORPH=empty
