form,lemma,pos,morph
HORMISDA,hormis,NOM1,Case=Nom|Numb=Sing
IVSTINIANO,ivstinianvs,NOM7,Case=Nom|Numb=Sing
ILLVSTRI,qvadrastrinvs,ADJcar,Case=Nom|Numb=Sing
.,qvinqvaginta,ADJcar,Case=Acc|Numb=Plur
Benedicimus,benedici,NOM2,Case=Nom|Numb=Sing
ineffabile,ineffabilis,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
diuinitatis,divinitas,NOM3,Case=Gen|Numb=Sing
auxilium,avxilivm,NOM2,Case=Acc|Numb=Sing
quia,qvia,CONsub,MORPH=empty
de,de,PRE,MORPH=empty
ecclesiarum,ecclesia,NOM1,Case=Gen|Numb=Plur
pace,pax,NOM3,Case=Abl|Numb=Sing
uniuersitatis,vniversitas,NOM3,Case=Gen|Numb=Sing
desiderium,desiderivm,NOM2,Case=Acc|Numb=Sing
sub,svb,PRE,MORPH=empty
tranquillitate,tranqvillitas,NOM3,Case=Abl|Numb=Sing
agnouimus,agnosco,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1
fuisse,svm,VER,Mood=Inf|Tense=Perf|Voice=Act
completum,compleo,VER,Case=Acc|Numb=Sing|Mood=Inf|Tense=Perf|Voice=Pass
.,vnvs,ADJcar,Case=Acc|Numb=Sing
quod,qvi,PROrel,Case=Nom|Numb=Sing
quidem,qvidem,ADV,Deg=Pos
non,non,ADVneg,MORPH=empty
praeter,praeter,PRE,MORPH=empty
opinionem,opinio,NOM3,Case=Acc|Numb=Sing
nostram,noster,PROpos,Case=Acc|Numb=Sing
contigit,contingo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
fieri,fio,VER,Mood=Inf|Tense=Pres|Voice=Act
quia,qvia,CONsub,MORPH=empty
religiosissimi,religiosvs,ADJqua,Case=Gen|Numb=Sing|Deg=Sup
Augusti,avgvstvs,NOM2,Case=Gen|Numb=Sing
praesumpti,praesvmo,VER,Case=Gen|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
genere,genvs,NOM3,Case=Abl|Numb=Sing
spem,spes,NOM5,Case=Acc|Numb=Sing
semper,semper,ADV,Deg=Pos
gessimus,gero,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1
de,de,PRE,MORPH=empty
quiete,qvies,NOM3,Case=Abl|Numb=Sing
et,et,CONcoo,MORPH=empty
credidimus,credo,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1
faciendum,facio,VER,Case=Acc|Numb=Sing|Mood=Adj|Voice=Pass
sub,svb,PRE,MORPH=empty
principe,princeps,NOM3,Case=Abl|Numb=Sing
Christiano,christianvs,NOM2,Case=Abl|Numb=Sing|Deg=Pos
quod,qvi,PROrel,Case=Nom|Numb=Sing
de,de,PRE,MORPH=empty
adunatione,advnatio,NOM3,Case=Abl|Numb=Sing
erat,svm,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
in,in,PRE,MORPH=empty
uoto,votvm,NOM2,Case=Abl|Numb=Sing
.,pes,ADJcar,Case=Acc|Numb=Sing
quare,qvare,ADVrel,MORPH=empty
habebit,habeo,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
gloriosus,gloriosvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
imperator,imperator,NOM3,Case=Nom|Numb=Sing
de,de,PRE,MORPH=empty
hac,hic,PROdem,Case=Abl|Numb=Sing
causa,cavsa,NOM1,Case=Abl|Numb=Sing
triumphorum,trivmphvs,NOM2,Case=Gen|Numb=Plur
titulos,titvlvs,NOM2,Case=Acc|Numb=Plur
non,non,ADVneg,MORPH=empty
quibus,qvi,PROrel,Case=Dat|Numb=Plur
se,svi,PROref,Case=Acc|Numb=Sing
obliuio,oblivio,NOM3,Case=Nom|Numb=Sing
mortalitatis,mortalitas,NOM3,Case=Gen|Numb=Sing
interserat,intersvm,VER,Numb=Sing|Mood=Ind|Tense=Pqp|Voice=Act|Person=3
sed,sed,CONcoo,MORPH=empty
quos,qvi,PROrel,Case=Acc|Numb=Plur
diuinitatis,divinitas,NOM3,Case=Gen|Numb=Sing
gratia,gratia,NOM1,Case=Abl|Numb=Sing
sub,svb,PRE,MORPH=empty
perpetuitate,perpetvitas,NOM3,Case=Abl|Numb=Sing
confirmat,confirmo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
uobis,vos,PROper,Case=Dat|Numb=Plur
quoque,qvoqve,ADV,Deg=Pos
caelestis,caelestis,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
remunerationis,remvneratio,NOM3,Case=Gen|Numb=Sing
non,non,ADVneg,MORPH=empty
deerit,desvm,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
praemium,praemivm,NOM2,Case=Acc|Numb=Sing
qui,qvi,PROrel,Case=Nom|Numb=Plur
adiuuistis,adivvo,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=2
boni,bonvs,NOM2,Case=Gen|Numb=Sing|Deg=Pos
principis,princeps,NOM3,Case=Gen|Numb=Sing
institutum,institvtvm,NOM2,Case=Acc|Numb=Sing
atque,atqve,CONcoo,MORPH=empty
