form,lemma,pos,morph
Debitum,debitvs,NOM2,Case=Acc|Numb=Sing
quod,qvi,PROrel,Case=Nom
beatissimo,beatvs,ADJqua,Case=Dat|Numb=Sing|Deg=Sup
papae,papae,NOM5,Case=Dat
Castori,castor,NOM3,Case=Dat|Numb=Sing
in,in,PRE,MORPH=empty
eorum,is,PROdem,Case=Gen|Numb=Plur
uoluminum,volvmen,NOM3,Case=Gen|Numb=Plur
praefatione,praefatio,NOM3,Case=Abl|Numb=Sing
promissum,promitto,VER,Case=Nom|Numb=Sing|Tense=Perf|Voice=Pass
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
quae,qvi,PROrel,Case=Nom|Numb=Plur
de,de,PRE,MORPH=empty
institutis,institvtvm,NOM2,Case=Abl|Numb=Plur
coenobiorum,coenobivm,NOM2,Case=Gen|Numb=Plur
et,et,CONcoo,MORPH=empty
de,de,PRE,MORPH=empty
octo,octo,ADJcar,Case=Ind|Numb=Sing
principalium,principalis,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
uitiorum,vitivm,NOM2,Case=Gen|Numb=Plur
remediis,remedivm,NOM2,Case=Abl|Numb=Plur
duodecim,dvodecim,ADJcar,Case=Ind
libellis,libellvs,NOM2,Case=Abl|Numb=Plur
domino,dominvs,NOM2,Case=Abl|Numb=Sing
adiuaante,adivans,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
digesta,digero,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
in,in,PRE,MORPH=empty
quo,qvi,PROrel,Case=Abl|Numb=Sing
tenuitas,tenvitas,NOM3,Case=Nom|Numb=Sing
nostri,noster,PROpos,Case=Gen|Numb=Sing
suffecit,svfficio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
ingenii,ingenivm,NOM2,Case=Gen|Numb=Sing
utcumque,vtcvmqve,ADVrel,MORPH=empty
sarcitum,sarcitvs,NOM4,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.,vnvs,ADJcar,Case=Gen|Numb=Sing
uiderim,video,VER,Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=1
sane,sane,ADV,Deg=Pos
quid,qvis,PROint,Case=Nom|Numb=Sing
super,svper,PRE,MORPH=empty
hoc,hic,PROdem,Case=Acc|Numb=Sing
uel,vel,CONcoo,MORPH=empty
illius,ille,PROdem,Case=Gen|Numb=Sing
uel,vel,CONcoo,MORPH=empty
uestri,vester,PROpos,Case=Gen|Numb=Sing
fuerit,svm,VER,Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3
