form,lemma,pos,morph
Saepe,saepe,NOM2,Case=Voc|Numb=Sing
mihi,ego,PROper,Case=Dat|Numb=Sing
dubiam,dvbivs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
traxit,traho,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
sententia,sententia,NOM1,Case=Abl|Numb=Sing
mentem,mens,NOM3,Case=Acc|Numb=Sing
curarent,cvro,VER,Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=3
superi,svperi,NOM2,Case=Nom|Numb=Plur
terras,terra,NOM1,Case=Acc|Numb=Plur
an,an,ADVint,MORPH=empty
nullus,nvllvs,PROind,Case=Nom|Numb=Sing
inesset,insvm,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
rector,rector,NOM3,Case=Nom|Numb=Sing
et,et,CONcoo,MORPH=empty
incerto,incertvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
fluerent,flvo,VER,Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=3
mortalia,mortalis,ADJqua,Case=Acc|Numb=Plur
casu,casvs,NOM4,Case=Abl|Numb=Sing
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
nam,nam,CONcoo,MORPH=empty
cum,cvm,CONsub,MORPH=empty
dispositi,dispono,VER,Case=Gen|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
quaesissem,qvaero,VER,Numb=Sing|Mood=Sub|Tense=Pqp|Voice=Act|Person=1
foedera,foedvs,NOM3,Case=Acc|Numb=Plur
mundi,mvndvs,NOM2,Case=Gen|Numb=Sing
praescriptosque,praescribo,VER,Case=Acc|Numb=Sing|Deg=Pos|Tense=Perf|Voice=Pass
mari,mare,NOM3,Case=Abl|Numb=Sing
fines,finis,NOM3,Case=Acc|Numb=Plur
annisque,anniqve,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
meatus,meatvs,NOM4,Case=Acc|Numb=Sing
et,et,CONcoo,MORPH=empty
lucis,lvx,NOM3,Case=Gen|Numb=Sing
noctisque,noctesqve,ADV,Deg=Pos
uices,vicis,NOM3,Case=Acc|Numb=Plur
tunc,tvnc,ADV,Deg=Pos
omnia,omnis,PROind,Case=Acc|Numb=Plur
rebar,reor,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Pass|Person=1
consilio,consilivm,NOM2,Case=Abl|Numb=Sing
firmata,firmo,VER,Case=Acc|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
dei,devs,NOM2,Case=Gen|Numb=Sing
qui,qvi,PROrel,Case=Nom|Numb=Sing
lege,lex,NOM3,Case=Abl|Numb=Sing
moueri,moveo,VER,Mood=Inf|Tense=Pres|Voice=Pass
sidera,sidvs,NOM3,Case=Acc|Numb=Plur
qui,qvi,PROrel,Case=Nom|Numb=Sing
fruges,frvx,NOM3,Case=Acc|Numb=Plur
diuerso,diversvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
tempore,tempvs,NOM3,Case=Abl|Numb=Sing
nasci,nascor,VER,Mood=Inf|Tense=Pres|Voice=Dep
qui,qvi,PROrel,Case=Nom|Numb=Sing
uariam,varivs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
Phoeben,phoebe,NOM7,Case=Acc|Numb=Sing
alieno,alienvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
iusserit,ivbeo,VER,Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3
igni,ignis,NOM3,Case=Abl|Numb=Sing
compleri,compleo,VER,Mood=Inf|Tense=Pres|Voice=Pass
Solemque,soles,NOM7,Case=Acc|Numb=Sing
suo,svvs,PROpos.ref,Case=Abl|Numb=Sing
porrexerit,porrigo,VER,Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3
undis,vnda,NOM1,Case=Abl|Numb=Plur
litora,litvs,NOM3,Case=Acc|Numb=Plur
tellurem,tellvs,NOM3,Case=Acc|Numb=Sing
medio,medivs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
librauerit,libro,VER,Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3
axe,axis,NOM3,Case=Abl|Numb=Sing
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
sed,sed,CONcoo,MORPH=empty
cum,cvm,CONsub,MORPH=empty
res,res,NOM5,Case=Nom|Numb=Plur
hominum,homo,NOM3,Case=Gen|Numb=Plur
