form,lemma,pos,morph
Si,sivs,NOM2,MORPH=empty
non,non,ADVneg,MORPH=empty
haec,hic,PROdem,Case=Acc|Numb=Plur
quae,qvi,PROrel,Case=Acc|Numb=Plur
ad,ad,PRE,MORPH=empty
te,tv,PROper,Case=Acc|Numb=Sing
scribo,scribo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
uenerande,venerandvs,ADV,Deg=Pos
uir,vir,NOM2,Case=Nom|Numb=Sing
discutienda,discvtio,VER,Case=Acc|Numb=Plur|Mood=Adj|Voice=Pass
et,et,CONcoo,MORPH=empty
emendanda,emendo,VER,Case=Acc|Numb=Plur|Mood=Adj|Voice=Pass
transmitterem,transmitto,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=1
rite,rite,ADV,Deg=Pos
potuit,possvm,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
uideri,video,VER,Mood=Inf|Tense=Pres|Voice=Pass
superfluum,svperflvvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
et,et,CONcoo,MORPH=empty
elatum,effero,ADJqua,Case=Acc|Numb=Sing
docere,doceo,VER,Mood=Inf|Tense=Pres|Voice=Act
uelle,volo,VER,Mood=Inf|Tense=Pres|Voice=Act
quem,qvi,PROrel,Case=Acc|Numb=Sing
sciam,scio,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=1
nosse,nosco,VER,Mood=Inf|Tense=Perf|Voice=Act
et,et,CONcoo,MORPH=empty
ex,ex,PRE,MORPH=empty
paupertatis,pavpertas,NOM3,Case=Gen|Numb=Sing
inopia,inopia,NOM1,Case=Abl|Numb=Sing
dare,do,VER,Mood=Inf|Tense=Pres|Voice=Act
dragmam,dragma,NOM1,Case=Acc|Numb=Sing
ei,is,PROdem,Case=Dat|Numb=Sing
qui,qvi,PROrel,Case=Nom|Numb=Sing
multa,mvltvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
scientiarum,scientia,NOM1,Case=Gen|Numb=Plur
abundat,abvndo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
talenta,talentvm,NOM2,Case=Acc|Numb=Plur
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
hinc,hinc,ADV,Deg=Pos
accidit,accido,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
quod,qvod,CONsub,MORPH=empty
libellorum,libellvs,NOM2,Case=Gen|Numb=Plur
a,ab,PRE,MORPH=empty
me,ego,PROper,Case=Abl|Numb=Sing
transmissorum,transmitto,VER,Case=Gen|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
editio,editio,NOM3,Case=Nom|Numb=Sing
quos,qvi,PROrel,Case=Acc|Numb=Plur
philosophicae,philosophica,NOM1,Case=Gen|Numb=Sing
artis,ars,NOM3,Case=Gen|Numb=Sing
subtilissima,svbtilis,ADJqua,Case=Abl|Numb=Sing|Deg=Sup
disputatione,dispvtatio,NOM3,Case=Abl|Numb=Sing
disposui,dispono,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
me,ego,PROper,Case=Acc|Numb=Sing
fecit,facio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
cautum,caveo,ADJqua,Case=Acc|Numb=Sing
atque,atqve,CONcoo,MORPH=empty
sollicitum,sollicitvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
ut,vt,CONsub,MORPH=empty
eorundem,idem,PROdem,Case=Gen|Numb=Plur
intellegentiam,intelligentia,NOM1,Case=Acc|Numb=Sing
iudicio,ivdicivm,NOM2,Case=Abl|Numb=Sing
non,non,ADVneg,MORPH=empty
committerem,committo,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=1
meo,mevs,PROpos,Case=Abl|Numb=Sing
sed,sed,CONcoo,MORPH=empty
ad,ad,PRE,MORPH=empty
potioris,potis,ADJqua,Case=Gen|Numb=Sing|Deg=Comp
peritiam,peritia,NOM1,Case=Acc|Numb=Sing
destinarem,destino,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=1
et,et,CONcoo,MORPH=empty
non,non,ADVneg,MORPH=empty
tantum,tantvm,ADV,Deg=Pos
ea,is,PROdem,Case=Acc|Numb=Plur
quae,qvi,PROrel,Case=Acc|Numb=Plur
nunc,nvnc,ADV,Deg=Pos
ex,ex,PRE,MORPH=empty
