form,lemma,pos,morph
Quam,qvi,PROrel,Case=Acc|Numb=Sing
uaga,vagvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
constantem,constans,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
retinent,retineo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
haec,hic,PROdem,Case=Nom|Numb=Plur
tecta,tectvm,NOM2,Case=Acc|Numb=Plur
decorem,decor,NOM3,Case=Acc|Numb=Sing
Mittitur,mitto,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
a,ab,PRE,MORPH=empty
domina,domina,NOM1,Case=Abl|Numb=Sing
quicquid,qvisqvis,PROrel,Case=Acc|Numb=Sing
habent,habeo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
pretii,pretivm,NOM2,Case=Nom|Numb=Plur
.,qvintvs,ADJcar,Case=Gen|Numb=Plur
Nam,nam,NOM1,Case=Acc
rutilat,rvtilo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
fuluum,fvlvvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
Violae,viola,NOM1,Case=Dat|Numb=Sing
de,de,PRE,MORPH=empty
luce,lvx,NOM3,Case=Abl|Numb=Sing
metallum,metallvm,NOM2,Case=Acc|Numb=Sing
Possessor,possessor,NOM3,Case=Nom|Numb=Sing
radios,radivs,NOM2,Case=Acc|Numb=Plur
spargit,spargo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ubique,vbiqve,ADV,Deg=Pos
suos,svi,PROpos.ref,Case=Acc|Numb=Plur
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
