form,lemma,pos,morph
Admiranda,admiranda,NOM1,Case=Nom|Numb=Sing
mihi,ego,PROper,Case=Dat|Numb=Sing
semper,semper,ADV,Deg=Pos
tuarum,tvvs,PROpos,Case=Gen|Numb=Plur
pagina,pagina,NOM1,Case=Nom|Numb=Sing
litterarum,littera,NOM1,Case=Gen|Numb=Plur
nunc,nvnc,ADV,Deg=Pos
abundantius,abvndanter,ADV,Deg=Comp
gemina,geminvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
eloquii,eloqvivm,NOM2,Case=Gen|Numb=Sing
ac,ac,CONcoo,MORPH=empty
fidei,fides,NOM5,Case=Gen|Numb=Sing
luce,lvx,NOM3,Case=Abl|Numb=Sing
praefulsit,praefvlgeo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
dum,dvm,CONsub,MORPH=empty
super,svper,PRE,MORPH=empty
statu,statvs,NOM4,Case=Abl|Numb=Sing
animae,anima,NOM1,Case=Gen|Numb=Sing
rogitat,rogito,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
timore,timor,NOM3,Case=Abl|Numb=Sing
sollicito,sollicitvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
iudicia,ivdicivm,NOM2,Case=Acc|Numb=Plur
futura,svm,VER,Case=Acc|Numb=Plur|Voice=Act
suspirat,svspiro,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
ait,aio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
quodam,qvidam,PROind,Case=Abl|Numb=Sing
loco,locvs,NOM2,Case=Abl|Numb=Sing
sermo,sermo,NOM3,Case=Nom|Numb=Sing
diuinus,divinvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
recte,recte,ADV,Deg=Pos
interroganti,interrogo,VER,Case=Dat|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
sapientia,sapientia,NOM1,Case=Abl|Numb=Sing
reputabitur,repvto,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Pass|Person=3
.,qvadranta,ADJcar,Case=Acc|Numb=Plur
quaedam,qvidam,PROind,Case=Nom|Numb=Sing
enim,enim,CONcoo,MORPH=empty
scientiae,scientia,NOM1,Case=Gen|Numb=Sing
portio,portio,NOM3,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
scire,scio,VER,Mood=Inf|Tense=Pres|Voice=Act
quid,qvis,PROint,Case=Acc|Numb=Sing
nescias,nescio,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=2
et,et,CONcoo,MORPH=empty
ea,is,PROdem,Case=Acc|Numb=Plur
quae,qvi,PROrel,Case=Acc|Numb=Plur
ignoranter,ignoranter,ADV,Deg=Pos
non,non,ADVneg,MORPH=empty
intellegas,intelligo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=2
prudenter,prvdenter,ADV,Deg=Pos
inquirere,inqviro,VER,Mood=Inf|Tense=Pres|Voice=Act
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Primo,primvs,NOM2,Case=Dat|Numb=Sing
loco,locvs,NOM2,Case=Abl|Numb=Sing
inquirendum,inqviro,VER,Case=Acc|Numb=Sing|Mood=Adj|Voice=Pass
putasti,pvto,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=2
utrum,vtrvm,ADVint,MORPH=empty
incumbentibus,incvmbo,VER,Case=Dat|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
extremae,exter,ADJqua,Case=Dat|Numb=Sing|Deg=Sup
necessitatis,necessitas,NOM3,Case=Gen|Numb=Sing
angustiis,angvstia,NOM1,Case=Abl|Numb=Plur
momentanea,momentanevs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
paenitentia,paenitentia,NOM1,Case=Abl|Numb=Sing
