form,lemma,pos,morph
Dilectissimis,dilectvs,NOM2,Case=Abl|Numb=Plur
et,et,CONcoo,MORPH=empty
beatissimis,beatvs,ADJqua,Case=Abl|Numb=Plur|Deg=Sup
consacerdotibus,consacerdos,NOM3,Case=Abl|Numb=Plur
episcopis,episcops,NOM3,Case=Gen|Numb=Plur
Orientalibus,orientalia,NOM3,Case=Abl|Numb=Plur
omnibus,omnis,PROind,Case=Abl|Numb=Plur
per,per,PRE,MORPH=empty
diuersas,diversvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
prouincias,provincia,NOM1,Case=Acc|Numb=Plur
in,in,PRE,MORPH=empty
Christo,christvs,NOM2,Case=Abl|Numb=Sing
manentibus,maneo,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
Gallicani,gallicanvs,NOM2,Case=Gen|Numb=Plur
episcopi,episcopis,NOM3,Case=Dat|Numb=Sing
salutem,salvs,NOM3,Case=Acc|Numb=Sing
.,pes,ADJcar,Case=Acc|Numb=Plur
Omni,omnivs,NOM2,Case=Gen|Numb=Sing
quidem,qvidem,ADV,Deg=Pos
uitae,vita,NOM1,Case=Gen|Numb=Sing
nostrae,noster,PROpos,Case=Gen|Numb=Sing
fideique,fidesqve,ADV,Deg=Pos
sensu,sensvs,NOM4,Case=Abl|Numb=Sing
gratias,gratia,NOM1,Case=Acc|Numb=Plur
deo,devs,NOM2,Case=Dat|Numb=Sing
patri,pater,NOM3,Case=Dat|Numb=Sing
per,per,PRE,MORPH=empty
dominum,dominvs,NOM2,Case=Acc|Numb=Sing
nostrum,noster,PROpos,Case=Acc|Numb=Sing
Iesum,iesvs,NOM2,Case=Acc|Numb=Sing
Christum,christvs,NOM2,Case=Acc|Numb=Sing
confitemur,confiteor,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Dep|Person=1
quod,qvod,CONsub,MORPH=empty
nos,nos,PROper,Case=Acc|Numb=Plur
in,in,PRE,MORPH=empty
lumine,lvmen,NOM3,Case=Abl|Numb=Sing
scientiae,scientia,NOM1,Case=Gen|Numb=Sing
