form,lemma,pos,morph
Aeros,aervs,NOM7,Case=Acc|Numb=Sing
uir,vir,NOM2,Case=Nom|Numb=Sing
fortis,fortis,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
et,et,CONcoo,MORPH=empty
sapiens,sapiens,NOM3,Case=Nom|Numb=Sing
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
Auctor,avctor,NOM3,Case=Nom|Numb=Sing
ab,ab,PRE,MORPH=empty
augendo,avgeo,VER,Case=Abl|Numb=Sing|Mood=Ger|Voice=Act
dictus,dico,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Pass|Person=3
.,qvadrantal,ADJcar,Case=Acc|Numb=Sing
Auctorem,avctor,NOM3,Case=Acc|Numb=Sing
autem,avtem,CONcoo,MORPH=empty
feminino,femininvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
genere,genvs,NOM3,Case=Abl|Numb=Sing
dici,dico,VER,Mood=Inf|Tense=Pres|Voice=Pass
non,non,ADVneg,MORPH=empty
posse,possvm,VER,Mood=Inf|Tense=Pres|Voice=Act
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Nam,nam,NOM1,MORPH=empty
quaedam,qvidam,PROind,Case=Nom|Numb=Plur
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
quae,qvi,PROrel,Case=Nom|Numb=Plur
in,in,PRE,MORPH=empty
feminino,femininvs,NOM2,Case=Abl|Numb=Sing
flecti,flecto,VER,Mood=Inf|Tense=Pres|Voice=Pass
non,non,ADVneg,MORPH=empty
possunt,possvm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ut,vt,ADVrel,MORPH=empty
cursor,cvrsor,NOM3,Case=Nom|Numb=Sing
.,vnvs,ADJcar,Case=Acc|Numb=Sing
Actor,actor,NOM3,Case=Nom|Numb=Sing
ab,ab,PRE,MORPH=empty
agendo,ago,VER,Case=Abl|Numb=Sing|Mood=Ger|Voice=Act
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Alumnus,alvmnvs,NOM2,Case=Nom|Numb=Sing
ab,ab,PRE,MORPH=empty
alendo,alo,VER,Case=Abl|Numb=Sing|Mood=Ger|Voice=Act
uocatus,voco,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
licet,licet,VER,Numb=Sing|Mood=Ind|Person=3
et,et,CONcoo,MORPH=empty
qui,qvi,PROrel,Case=Nom|Numb=Sing
alit,alo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
qui,qvi,PROrel,Case=Nom|Numb=Sing
alitur,alo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
alumnus,alvmnvs,NOM2,Case=Nom|Numb=Sing
dici,dico,VER,Mood=Inf|Tense=Pres|Voice=Pass
potest,possvm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
;,o,PRE,MORPH=empty
id,is,PROdem,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
qui,qvi,PROrel,Case=Nom|Numb=Sing
nutrit,nvtrio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
qui,qvi,PROrel,Case=Nom|Numb=Sing
nutritur,nvtrio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
;,o,PRE,MORPH=empty
sed,sed,CONcoo,MORPH=empty
melius,bene,ADV,Deg=Comp
tamen,tamen,ADV,Deg=Pos
qui,qvi,PROrel,Case=Nom|Numb=Sing
nutritur,nvtrio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Amicus,amicvs,NOM2,Case=Nom|Numb=Sing
per,per,PRE,MORPH=empty
deriuationem,derivatio,NOM3,Case=Acc|Numb=Sing
quasi,qvasi,ADVrel,MORPH=empty
animi,animvs,NOM2,Case=Gen|Numb=Sing
custos,cvstos,NOM3,Case=Nom|Numb=Sing
.,vnvs,ADJcar,Case=Acc|Numb=Sing
Dictus,dictvs,NOM2,Case=Nom|Numb=Sing
autem,avtem,CONcoo,MORPH=empty
proprie,proprie,ADV,Deg=Pos
amator,amator,NOM3,Case=Nom|Numb=Sing
turpitudinis,tvrpitvdo,NOM3,Case=Gen|Numb=Sing
quia,qvia,CONsub,MORPH=empty
amore,amor,NOM3,Case=Abl|Numb=Sing
torquetur,torqveo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
libidinis,libido,NOM3,Case=Gen|Numb=Sing
amicus,amicvs,NOM2,Case=Nom|Numb=Sing
ab,ab,PRE,MORPH=empty
hamo,hamvs,NOM1,Case=Abl|Numb=Sing
id,is,PROdem,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
a,ab,PRE,MORPH=empty
catena,catena,NOM1,Case=Abl|Numb=Sing
caritatis,caritas,NOM3,Case=Gen|Numb=Sing
;,ce,PRE,MORPH=empty
unde,vnde,ADVint,MORPH=empty
et,et,CONcoo,MORPH=empty
hami,hamvs,NOM2,Case=Loc|Numb=Sing
quod,qvi,PROrel,Case=Acc|Numb=Sing
teneant,teneo,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
.,qvinqvaginta,ADJcar,Case=Ind|Numb=Plur
Amabilis,amabilis,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
autem,avtem,CONcoo,MORPH=empty
quod,qvod,PROrel,Case=Nom|Numb=Sing
sit,svm,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
amore,amor,NOM3,Case=Abl|Numb=Sing
dignus,dignvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
.,vnvs,ADJcar,Case=Nom|Numb=Sing
Amasius,amasivs,NOM2,Case=Nom|Numb=Sing
eo,eo,PROdem,Case=Abl|Numb=Sing
quod,qvod,CONsub,MORPH=empty
sit,svm,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
pronus,pronvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
ad,ad,PRE,MORPH=empty
amorem,amor,NOM3,Case=Acc|Numb=Sing
.,vnvs,ADJcar,Case=Gen|Numb=Plur
Astutus,astvtvs,NOM2,Case=Nom|Numb=Sing
ab,ab,PRE,MORPH=empty
astu,astvs,NOM4,Case=Abl|Numb=Sing
uocatus,voco,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Pass|Person=3
quod,qvi,PROrel,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
callidi,callidvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
et,et,CONcoo,MORPH=empty
cauti,cavtvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
nominis,nomen,NOM3,Case=Gen|Numb=Sing
qui,qvi,PROrel,Case=Nom|Numb=Sing
possit,possvm,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
sine,sine,PRE,MORPH=empty
periculo,pericvlvm,NOM2,Case=Abl|Numb=Sing
