form,lemma,pos,morph
Religiosus,religiosvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
ait,aio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Cicero,cicero,NOM3,Case=Nom|Numb=Sing
Deor,deor,NOM3,Case=Nom|Numb=Sing
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Nat,nat,NOM2,Case=Nom|Numb=Sing
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
a,ab,PRE,MORPH=empty
relegendo,relego,VER,Case=Abl|Numb=Sing|Mood=Ger|Voice=Act
appellatus,appello,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Pass|Person=3
;,o,PRE,MORPH=empty
qui,qvi,PROrel,Case=Nom|Numb=Sing
retractat,retracto,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
tamquam,tamqvam,ADVrel,MORPH=empty
relegit,relego,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
ea,is,PROdem,Case=Acc|Numb=Plur
quae,qvi,PROrel,Case=Nom|Numb=Plur
ad,ad,PRE,MORPH=empty
cultum,cvltvs,NOM4,Case=Acc|Numb=Sing
diuinum,divinvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
pertineant,pertineo,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Hi,hic,NOM2,Case=Nom|Numb=Plur
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
dicti,dictvm,NOM2,Case=Nom|Numb=Plur
religiosi,religiosvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
ex,ex,PRE,MORPH=empty
relegendo,relego,VER,Case=Abl|Numb=Sing|Mood=Ger|Voice=Act
tamquam,tamqvam,ADVrel,MORPH=empty
ex,ex,PRE,MORPH=empty
elegendo,elego,VER,Case=Abl|Numb=Sing|Mood=Ger|Voice=Act
elegentes,elegens,VER,Case=Nom|Numb=Plur
ex,ex,PRE,MORPH=empty
diligendo,diligendvs,VER,Case=Abl|Numb=Sing|Mood=Ger|Voice=Act
diligentes,diligens,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
ex,ex,PRE,MORPH=empty
intellegendo,intelligo,VER,Case=Abl|Numb=Sing|Mood=Ger|Voice=Act
intellegentes,intelligens,VER,Case=Nom|Numb=Plur
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
Rationator,rationator,NOM3,Case=Nom|Numb=Sing
dictus,dico,VER,Case=Nom|Numb=Sing|Mood=Ind|Tense=Perf|Voice=Pass|Person=3
uir,vir,NOM2,Case=Nom|Numb=Sing
magnus,magnvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
;,o,PRE,MORPH=empty
quia,qvia,CONsub,MORPH=empty
de,de,PRE,MORPH=empty
omnibus,omnis,PROind,Case=Abl|Numb=Plur
rebus,res,NOM5,Case=Abl|Numb=Plur
quas,qvi,PROrel,Case=Acc|Numb=Plur
esse,svm,VER,Mood=Inf|Tense=Pres|Voice=Act
mirabiles,mirabilis,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
constat,consto,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
possunt,possvm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
reddere,reddo,VER,Mood=Inf|Tense=Pres|Voice=Act
rationem,ratio,NOM3,Case=Acc|Numb=Sing
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Retractator,retractator,NOM3,Case=Nom|Numb=Sing
repetitor,repetitor,NOM3,Case=Nom|Numb=Sing
;,o,PRE,MORPH=empty
nam,nam,CONcoo,MORPH=empty
retractare,retracto,VER,Mood=Inf|Tense=Pres|Voice=Act
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
repetere,repeto,VER,Mood=Inf|Tense=Pres|Voice=Act
quod,qvi,PROrel,Case=Acc|Numb=Sing
omiseras,omitto,VER,Numb=Sing|Mood=Ind|Tense=Pqp|Voice=Act|Person=2
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Resipiscens,resipiscens,NOM3,Case=Nom|Numb=Sing
eo,eo,PROdem,Case=Abl|Numb=Sing
quod,qvod,CONsub,MORPH=empty
mentem,mens,NOM3,Case=Acc|Numb=Sing
quasi,qvasi,ADVrel,MORPH=empty
post,post,PRE,MORPH=empty
insaniam,insania,NOM1,Case=Acc|Numb=Sing
recipit,recipio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
aut,avt,CONcoo,MORPH=empty
quia,qvia,CONsub,MORPH=empty
resapit,resapio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
qui,qvi,PROrel,Case=Nom|Numb=Sing
sapere,sapio,VER,Mood=Inf|Tense=Pres|Voice=Act
desierat,desino,VER,Numb=Sing|Mood=Ind|Tense=Pqp|Voice=Act|Person=3
.,pes,ADJcar,Case=Acc|Numb=Plur
Castigat,castigo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
enim,enim,CONcoo,MORPH=empty
se,svi,PROref,Case=Acc|Numb=Sing
ipsum,ipse,PROdem,Case=Acc|Numb=Sing
dementiae,dementia,NOM1,Case=Gen|Numb=Sing
et,et,CONcoo,MORPH=empty
confirmat,confirmo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
animum,animvs,NOM2,Case=Acc|Numb=Sing
suum,svvs,PROpos.ref,Case=Acc|Numb=Sing
ad,ad,PRE,MORPH=empty
rectius,rectvs,ADJqua,Case=Acc|Deg=Comp
uiuendum,vivo,VER,Case=Acc|Numb=Sing|Mood=Ger|Voice=Pass
cauens,caveo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
ne,ne,CONsub,MORPH=empty
iterum,itervm,ADV,Deg=Pos
corruat,corrvo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Repentinus,repentinvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
a,ab,PRE,MORPH=empty
repente,repente,ADV,Deg=Pos
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Repens,repens,NOM3,Case=Nom|Numb=Sing|Deg=Pos
autem,avtem,CONcoo,MORPH=empty
et,et,CONcoo,MORPH=empty
aduerbium,adverbivm,NOM2,Case=Acc|Numb=Sing
et,et,CONcoo,MORPH=empty
nomen,nomen,NOM3,Case=Nom|Numb=Sing
potest,possvm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
esse,svm,VER,Mood=Inf|Tense=Pres|Voice=Act
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Robustus,robvstvs,NOM2,Case=Nom|Numb=Sing
fortis,fortis,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
ualidus,validvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
;,o,PRE,MORPH=empty
a,ab,PRE,MORPH=empty
fortitudine,fortitvdo,NOM3,Case=Abl|Numb=Sing
roboreae,roborevs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
arboris,arbor,NOM3,Case=Gen|Numb=Sing
appellatus,appello,VER,Case=Nom|Numb=Sing|Mood=Ind|Tense=Perf|Voice=Pass|Person=3
.,qvadranta,ADJcar,Case=Acc|Numb=Sing
Rapidus,rapidvs,NOM2,Case=Nom|Numb=Sing
uelox,velox,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
pedibus,pes,NOM3,Case=Abl|Numb=Plur
.,qvinqvaginta,ADJcar,Case=Acc|Numb=Plur
Raptor,raptor,NOM3,Case=Nom|Numb=Sing
eo,eo,PROdem,Case=Abl|Numb=Sing|Deg=Pos
quod,qvod,CONsub,MORPH=empty
corruptor,corrvptor,NOM3,Case=Nom|Numb=Sing
.,vnvs,ADJcar,Case=Acc|Numb=Sing
Inde,indvs,NOM7,Case=Nom|Numb=Sing
et,et,CONcoo,MORPH=empty
rapta,rapio,VER,Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
eo,eo,PROdem,Case=Abl|Numb=Sing|Deg=Pos
quod,qvod,CONsub,MORPH=empty
corrupta,corrvmpo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Pass|Person=3
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Reus,revs,NOM2,Case=Nom|Numb=Sing
a,ab,PRE,MORPH=empty
re,res,NOM5,Case=Abl|Numb=Sing
de,de,PRE,MORPH=empty
qua,qvi,PROrel,Case=Abl|Numb=Sing
obnoxius,obnoxivs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
reatum,reor,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Pass
a,ab,PRE,MORPH=empty
reo,revs,NOM2,Case=Abl|Numb=Sing
nuncupatum,nvncvpo,VER,Case=Acc|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Reus,revs,NOM2,Case=Nom|Numb=Sing
maiestatis,maiestas,NOM3,Case=Gen|Numb=Sing
primum,primvm,ADJadv.ord,Deg=Sup
dictus,dico,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Pass|Person=3
qui,qvi,PROrel,Case=Nom|Numb=Sing
aduersus,adversvs,PRE,MORPH=empty
rempublicam,respvblica,NOM5,Case=Acc|Numb=Sing
aliquid,aliqvis,PROind,Case=Acc|Numb=Sing
egisset,ago,VER,Numb=Sing|Mood=Sub|Tense=Pqp|Voice=Act|Person=3
aut,avt,CONcoo,MORPH=empty
quicumque,qvicvmqve,PROrel,Case=Nom|Numb=Sing
hostibus,hostis,NOM3,Case=Abl|Numb=Plur
consensisset,consentio,VER,Numb=Sing|Mood=Sub|Tense=Pqp|Voice=Act|Person=3
.,qvinqvaginta,ADJcar,Case=Acc|Numb=Plur
Dictus,dictvs,NOM2,Case=Nom|Numb=Sing
autem,avtem,CONcoo,MORPH=empty
reus,revs,NOM2,Case=Nom|Numb=Sing
maiestatis,maiestas,NOM3,Case=Gen|Numb=Sing
quia,qvia,CONsub,MORPH=empty
maius,magnvs,ADJqua,Case=Nom|Numb=Sing|Deg=Comp
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
laedere,laedo,VER,Mood=Inf|Tense=Pres|Voice=Act
patriam,patria,NOM1,Case=Acc|Numb=Sing
quam,qvam,ADVrel,MORPH=empty
ciuem,civis,NOM3,Case=Acc|Numb=Sing
unum,vnvs,ADJcar,Case=Acc|Numb=Sing
.,vnvs,ADJcar,Case=Nom|Numb=Plur
Postea,postea,NOM1,Case=Nom|Numb=Sing|Deg=Pos
etiam,etiam,ADV,Deg=Pos
et,et,CONcoo,MORPH=empty
ii,is,PROdem,Case=Nom|Numb=Plur
rei,res,NOM5,Case=Gen|Numb=Sing
maiestatis,maiestas,NOM3,Case=Gen|Numb=Sing
dicti,dictvm,NOM2,Case=Nom|Numb=Plur
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
qui,qvi,PROrel,Case=Nom|Numb=Plur
aduersus,adversvs,PRE,MORPH=empty
maiestatem,maiestas,NOM3,Case=Acc|Numb=Sing
principis,princeps,NOM3,Case=Gen|Numb=Sing
egisse,ago,VER,Mood=Inf|Tense=Perf|Voice=Act
uiderentur,video,VER,Numb=Plur|Mood=Sub|Tense=Impa|Voice=Pass|Person=3
uel,vel,CONcoo,MORPH=empty
qui,qvi,PROrel,Case=Nom|Numb=Plur
leges,lex,NOM3,Case=Acc|Numb=Plur
inutiles,invtilis,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
reipublicae,respvblica,NOM5,Case=Gen|Numb=Sing
detulerant,defero,VER,Numb=Plur|Mood=Ind|Tense=Pqp|Voice=Act|Person=3
uel,vel,CONcoo,MORPH=empty
utiles,vtilis,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
abrogauerant,abrogo,VER,Numb=Plur|Mood=Ind|Tense=Pqp|Voice=Act|Person=3
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Rixosus,rixosvs,ADJqua,Case=Nom|Numb=Sing
a,ab,PRE,MORPH=empty
rictu,rictvs,NOM4,Case=Abl|Numb=Sing
canino,caninvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
dictus,dico,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Pass|Person=3
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
Semper,semper,NOM7,Case=Nom|Numb=Sing
enim,enim,CONcoo,MORPH=empty
ad,ad,PRE,MORPH=empty
contradicendum,contradico,VER,Case=Acc|Numb=Sing|Mood=Adj|Voice=Act
paratus,paratvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
iurgio,ivrgivm,NOM2,Case=Abl|Numb=Sing
delectatur,delecto,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
et,et,CONcoo,MORPH=empty
prouocat,provoco,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
contendentem,contendo,VER,Case=Acc|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Rusticus,rvsticvs,NOM2,Case=Nom|Numb=Sing
dictus,dico,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Pass|Person=3
quod,qvi,PROrel,Case=Nom|Numb=Sing
rus,rvs,NOM3,Case=Nom|Numb=Sing
operetur,operor,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
id,is,PROdem,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
terram,terra,NOM1,Case=Acc|Numb=Sing
.,vnvs,ADJcar,Case=Gen|Numb=Sing
