form,lemma,pos,morph
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Licet,licet,NOM7,Numb=Sing
origo,origo,NOM3,Case=Nom|Numb=Sing
nominum,nomen,NOM3,Case=Gen|Numb=Plur
unde,vnde,ADVrel,MORPH=empty
ueniant,venio,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
a,ab,PRE,MORPH=empty
philosophis,philosophvs,NOM2,Case=Abl|Numb=Plur
eam,is,PROdem,Case=Acc|Numb=Sing
teneat,teneo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
rationem,ratio,NOM3,Case=Acc|Numb=Sing
ut,vt,CONsub,MORPH=empty
per,per,PRE,MORPH=empty
denominationem,denominatio,NOM3,Case=Acc|Numb=Sing
homo,homo,NOM3,Case=Nom|Numb=Sing
ab,ab,PRE,MORPH=empty
humanitate,hvmanitas,NOM3,Case=Abl|Numb=Sing
sapiens,sapiens,NOM3,Case=Nom|Numb=Sing
a,ab,PRE,MORPH=empty
sapientia,sapientia,NOM1,Case=Abl|Numb=Sing
nominetur,nomino,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
quia,qvia,CONsub,MORPH=empty
prius,privs,ADJadv.ord,Deg=Comp
sapientia,sapientia,NOM1,Case=Nom|Numb=Sing
deinde,deinde,ADV,Deg=Pos
sapiens,sapiens,NOM3,Case=Nom|Numb=Sing
;,o,PRE,MORPH=empty
tamen,tamen,ADV,Deg=Pos
claret,clareo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
alia,alivs,PROind,Case=Nom|Numb=Sing
specialis,specialis,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
in,in,PRE,MORPH=empty
origine,origo,NOM3,Case=Abl|Numb=Sing
quorundam,qvidam,PROind,Case=Gen|Numb=Plur
nominum,nomen,NOM3,Case=Gen|Numb=Plur
causa,cavsa,NOM1,Case=Abl|Numb=Sing
sicut,sicvt,ADVrel,MORPH=empty
homo,homo,NOM3,Case=Nom|Numb=Sing
ab,ab,PRE,MORPH=empty
humo,hvmvs,NOM2,Case=Abl|Numb=Sing
unde,vnde,ADVrel,MORPH=empty
proprie,proprie,ADV,Deg=Pos
homo,homo,NOM3,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
appellatus,appello,VER,Case=Nom|Numb=Sing|Mood=Ind|Tense=Perf|Voice=Pass|Person=3
.,qvintvs,ADJcar,Case=Acc|Numb=Sing
Ex,ex,NOM3,Case=Nom|Numb=Sing
quibus,qvi,PROrel,Case=Abl|Numb=Plur
exempli,exemplvm,NOM2,Case=Gen|Numb=Sing
gratia,gratia,NOM1,Case=Abl|Numb=Sing
quaedam,qvidam,PROind,Case=Acc|Numb=Plur
in,in,PRE,MORPH=empty
hoc,hic,PROdem,Case=Abl|Numb=Sing
opere,opvs,NOM3,Case=Abl|Numb=Sing
posuimus,pono,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
