form,lemma,pos,morph
Iustum,ivstvs,NOM2,Case=Acc|Numb=Sing
quidem,qvidem,ADV,Deg=Pos
fuerat,svm,VER,Numb=Sing|Mood=Ind|Tense=Pqp|Voice=Act|Person=3
nequaquam,neqvaqvam,ADVneg,MORPH=empty
tibi,tv,PROper,Case=Dat|Numb=Sing
litteris,littera,NOM1,Case=Dat|Numb=Plur
satisfacere,satisfacio,VER,Mood=Inf|Tense=Pres|Voice=Act
qui,qvi,PROrel,Case=Nom|Numb=Sing
tuis,tvvs,PROpos,Case=Abl|Numb=Plur
auribus,avris,NOM3,Case=Abl|Numb=Plur
non,non,ADVneg,MORPH=empty
credidisti,credo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=2
neque,neqve,CONcoo,MORPH=empty
enim,enim,CONcoo,MORPH=empty
scidulae,scidvla,NOM1,Case=Dat|Numb=Sing
potes,possvm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
adquiescere,acqviesco,VER,Mood=Inf|Tense=Pres|Voice=Act
qui,qvi,PROrel,Case=Nom|Numb=Sing
uiuo,vivvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
sermoni,sermo,NOM3,Case=Dat|Numb=Sing
non,non,ADVneg,MORPH=empty
adcommodasti,accommodacio,VER,Numb=Sing|Tense=Perf
fidem,fides,NOM5,Case=Acc|Numb=Sing
sed,sed,CONcoo,MORPH=empty
quia,qvia,CONsub,MORPH=empty
Christus,christvs,NOM2,Case=Nom|Numb=Sing
perfectae,perfectvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos|Voice=Pass
nobis,nos,PROper,Case=Dat|Numb=Plur
humilitatis,hvmilitas,NOM3,Case=Gen|Numb=Sing
exemplar,exemplar,NOM3,Case=Acc|Numb=Sing
in,in,PRE,MORPH=empty
se,svi,PROref,Case=Acc|Numb=Sing
tribuit,tribvo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
dans,do,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
osculum,oscvlvm,NOM2,Case=Acc|Numb=Sing
proditori,proditor,NOM3,Case=Dat|Numb=Sing
et,et,CONcoo,MORPH=empty
latronis,latro,NOM3,Case=Gen|Numb=Sing
paenitentiam,paenitentia,NOM1,Case=Acc|Numb=Sing
in,in,PRE,MORPH=empty
patibulo,patibvlvm,NOM2,Case=Abl|Numb=Sing
suscipiens,svscipio,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
eadem,idem,PROdem,Case=Acc|Numb=Plur
absenti,absvm,VER,Case=Dat|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
significo,significo,VER,Case=Dat|Numb=Sing|Mood=Ind|Voice=Act|Person=1
quae,qvi,PROrel,Case=Acc|Numb=Plur
in,in,PRE,MORPH=empty
praesenti,praesens,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
quoque,qvoqve,ADV,Deg=Pos
locutus,loqvor,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Dep|Person=3
sum,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
me,ego,PROper,Case=Acc|Numb=Sing
ita,ita,ADV,Deg=Pos
Origenem,origenes,NOM3,Case=Acc|Numb=Sing
legisse,lego,VER,Mood=Inf|Tense=Perf|Voice=Act
uel,vel,CONcoo,MORPH=empty
legere,lego,VER,Mood=Inf|Tense=Pres|Voice=Act
ut,vt,CONsub,MORPH=empty
Apollinarem,apollinaris,NOM3,Case=Acc|Numb=Sing
ut,vt,CONsub,MORPH=empty
ceteros,ceteri,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
tractatores,tractator,NOM3,Case=Acc|Numb=Plur
quorum,qvi,PROrel,Case=Gen|Numb=Plur
in,in,PRE,MORPH=empty
quibusdam,qvidam,PROind,Case=Abl|Numb=Plur
libros,liber,NOM2,Case=Acc|Numb=Plur
ecclesia,ecclesivs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
non,non,ADVneg,MORPH=empty
recipit,recipio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
;,,PRE,MORPH=empty
non,non,ADVneg,MORPH=empty
quo,qvo,CONsub,MORPH=empty
omnia,omnis,PROind,Case=Acc|Numb=Plur
dicam,dico,VER,Numb=Sing|Mood=Sub|Tense=Fut|Voice=Act|Person=1
esse,svm,VER,Mood=Inf|Tense=Pres|Voice=Act
damnanda,damno,VER,Case=Acc|Numb=Plur|Mood=Adj|Voice=Pass
quae,qvi,PROrel,Case=Nom|Numb=Plur
in,in,PRE,MORPH=empty
illorum,ille,PROdem,Case=Gen|Numb=Plur
uoluminibus,volvmen,NOM3,Case=Abl|Numb=Plur
continentur,contineo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
sed,sed,CONcoo,MORPH=empty
quo,qvi,PROrel,MORPH=empty
quaedam,qvidam,PROind,Case=Acc|Numb=Plur
reprehendenda,reprehendo,VER,Case=Acc|Numb=Plur|Mood=Adj|Voice=Pass
confitear,confiteor,VER,Numb=Sing|Mood=Sub|Tense=Fut|Voice=Dep|Person=1
.,vnvs,ADJcar,Case=Ind|Numb=Plur
ueruni,vervnvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
quia,qvia,CONsub,MORPH=empty
operis,opvs,NOM3,Case=Gen|Numb=Sing
mei,mevs,PROpos,Case=Gen|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
studii,stvdivm,NOM2,Case=Gen|Numb=Sing
multos,mvlti,NOM2,Case=Acc|Numb=Plur
legere,lego,VER,Mood=Inf|Tense=Pres|Voice=Act
ut,vt,CONsub,MORPH=empty
ex,ex,PRE,MORPH=empty
plurimis,mvltvs,ADJqua,Case=Abl|Numb=Plur|Deg=Sup
diuersos,diversvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
flores,flos,NOM3,Case=Acc|Numb=Plur
carpam,carpo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=1
non,non,ADVneg,MORPH=empty
tam,tam,ADV,Deg=Pos
probaturus,probo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Fut|Voice=Act
omnia,omnis,PROind,Case=Acc|Numb=Plur
quam,qvam,ADVrel,MORPH=empty
quae,qvi,PROrel,Case=Nom|Numb=Plur
bona,bonvm,NOM2,Case=Nom|Numb=Plur|Deg=Pos
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
electurus,eligo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Fut|Voice=Act
adsumo,assvmo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
multos,mvlti,NOM2,Case=Acc|Numb=Plur
in,in,PRE,MORPH=empty
manu,manvs,NOM4,Case=Abl|Numb=Sing
mea,mevs,PROpos,Case=Abl|Numb=Sing
ut,vt,CONsub,MORPH=empty
a,ab,PRE,MORPH=empty
multis,mvltvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
multa,mvltvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
cognoscam,cognosco,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=1
