form,lemma,pos,morph
Verum,vervs,NOM2,Case=Acc|Numb=Sing
remedium,remedivm,NOM2,Case=Acc|Numb=Sing
ad,ad,PRE,MORPH=empty
tineas,tinea,VER,Case=Acc|Numb=Sing|Voice=Act
necandas,neco,VER,Case=Acc|Numb=Plur|Mood=Adj|Voice=Pass
et,et,CONcoo,MORPH=empty
eiciendas,eicio,VER,Case=Acc|Numb=Plur|Mood=Adj|Voice=Pass
Per,per,NOM3,Case=Nom|Numb=Sing
triduum,tridvvm,NOM2,Case=Acc|Numb=Sing
aleum,alevs,NOM2,Case=Acc|Numb=Sing
quam,qvam,ADVint,MORPH=empty
plurimum,mvltvm,ADV,Deg=Sup
edat,edo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
qui,qvi,PROrel,Case=Nom|Numb=Sing
hac,hic,PROdem,Case=Abl|Numb=Sing
molestia,molestia,NOM1,Case=Abl|Numb=Sing
laborabit,laboro,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
betaceos,betacevs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
coctos,coqvo,VER,Case=Acc|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
et,et,CONcoo,MORPH=empty
caseum,casevs,NOM2,Case=Acc|Numb=Sing
mollem,mollis,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
manducet,mandvco,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
post,post,PRE,MORPH=empty
hoc,hic,PROdem,Case=Acc|Numb=Sing
autem,avtem,CONcoo,MORPH=empty
filicis,filix,NOM3,Case=Gen|Numb=Sing
Macedonicae,macedonicvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
aridae,aridvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
contusae,contvndo,VER,Case=Gen|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
cribratae,cribratvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos|Mood=Par|Tense=Perf|Voice=Pass
VIII,octo,ADJcar,Case=Ind
cum,cvm,PRE,MORPH=empty
melle,mel,NOM3,Case=Abl|Numb=Sing
quantum,qvantvm,PROrel,Case=Acc|Numb=Sing
ipse,ipse,PROdem,Case=Nom|Numb=Sing
uoluerit,volo,VER,Numb=Sing|Mood=Sub|Tense=Fut|Voice=Act|Person=3
sumat,svmo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
post,post,PRE,MORPH=empty
horas,hora,NOM1,Case=Acc|Numb=Plur
quattuor,qvatvor,ADJcar,Case=Ind
detur,do,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
ei,is,PROdem,Case=Dat|Numb=Sing
aloes,aloe,NOM2,Case=Nom|Numb=Plur
et,et,CONcoo,MORPH=empty
scamoniae,scamonia,NOM1,Case=Dat|Numb=Sing
singulorum,singvlvs,ADJdis,Case=Gen|Numb=Plur
semisses,semis,ADJqua,Case=Acc|Numb=Plur
ex,ex,PRE,MORPH=empty
aquae,aqva,NOM1,Case=Gen|Numb=Sing
mulsae,mvlsvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos|Voice=Pass
cyathis,cyatha,NOM1,Case=Abl|Numb=Plur
quattuor,qvatvor,ADJcar,Case=Ind
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Cum,cvm,NOM2,Case=Acc|Numb=Sing
uero,vero,CONcoo,MORPH=empty
coeperit,coepio,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
desurgere,desvrgo,VER,Mood=Inf|Tense=Pres|Voice=Act
aqua,aqva,NOM1,Case=Abl|Numb=Sing
calida,calidvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
ei,is,PROdem,Case=Dat|Numb=Sing
supponatur,svppono,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
qua,qvi,PROrel,Case=Abl|Numb=Sing
postea,postea,ADV,Deg=Pos
elui,elvo,VER,Mood=Inf|Tense=Pres|Voice=Pass
et,et,CONcoo,MORPH=empty
foueri,foveo,VER,Mood=Inf|Tense=Pres|Voice=Pass
debet,debeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Ad,ad,NOM7,Case=Nom|Numb=Sing
lumbricos,lvmbricvs,NOM2,Case=Acc|Numb=Plur
depellendos,depello,VER,Case=Acc|Numb=Plur|Mood=Adj|Voice=Pass
satis,satis,ADV,Deg=Pos
commode,commode,ADV,Deg=Pos
facit,facio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Santonica,santonicvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
herba,herba,NOM1,Case=Nom|Numb=Sing
quae,qvi,PROrel,Case=Nom|Numb=Sing
absinthium,absinthivm,NOM2,Case=Nom|Numb=Sing
dicitur,dico,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
si,si,CONsub,MORPH=empty
uel,vel,ADV,MORPH=empty
uiridis,viridis,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
cum,cvm,PRE,MORPH=empty
aqua,aqva,NOM1,Case=Abl|Numb=Sing
ad,ad,PRE,MORPH=empty
tertias,tertivs,ADJord,Case=Acc|Numb=Plur|Deg=Pos
cocta,coqvo,VER,Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
potetur,poto,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
uel,vel,CONcoo,MORPH=empty
sicca,siccvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
trita,tero,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
ex,ex,PRE,MORPH=empty
melle,mel,NOM3,Case=Abl|Numb=Sing
manducetur,mandvco,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Pass|Person=3
.,qvintvs,ADJcar,Case=Acc|Numb=Sing
Cornus,cornvs,NOM2,Case=Nom|Numb=Sing
quoque,qvoqve,ADV,Deg=Pos
ceruini,cervin,NOM3,Case=Dat|Numb=Sing
limati,limatvs,VER,Case=Gen|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
lima,lima,NOM1,Case=Abl|Numb=Sing
lignaria,lignarivs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
scobis,scobis,NOM2,Case=Gen|Numb=Sing
quantum,qvantvm,ADVrel,MORPH=empty
IIII,qvatvor,ADJcar,Case=Ind
uel,vel,CONcoo,MORPH=empty
V,qvinqve,ADJcar,Case=Ind
cocliaria,cocliaris,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
sint,svm,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
ex,ex,PRE,MORPH=empty
aqua,aqva,NOM1,Case=Abl|Numb=Sing
in,in,PRE,MORPH=empty
qua,qvi,PROrel,Case=Abl|Numb=Sing
decoctus,decoctvs,ADJqua,Case=Nom|Numb=Sing
fuerit,svm,VER,Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3
ipse,ipse,PROdem,Case=Nom|Numb=Sing
scobis,scobies,NOM1,Case=Abl|Numb=Sing
potus,poto,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
ad,ad,PRE,MORPH=empty
cyathos,cyathvs,NOM2,Case=Acc|Numb=Plur
III,tres,ADJcar,Case=Acc|Numb=Plur
mirifice,mirifice,ADV,Deg=Pos
