form,lemma,pos,morph
En,en,NOM7,Case=Nom
dilecta,diligo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
mihi,ego,PROper,Case=Dat|Numb=Sing
nimium,nimivm,ADV,Deg=Pos
formosa,formosvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
Lycoris,lycoris,NOM3,Case=Gen|Numb=Sing
cum,cvm,PRE,MORPH=empty
qua,qvi,PROrel,Case=Abl|Numb=Sing
mens,mens,NOM3,Case=Nom|Numb=Sing
eadem,idem,PROdem,Case=Nom|Numb=Sing
res,res,NOM5,Case=Nom|Numb=Sing
fuit,svm,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
una,vna,ADV,Case=Nom
mihi,ego,PROper,Case=Dat|Numb=Sing
post,post,PRE,MORPH=empty
multos,mvlti,NOM2,Case=Acc|Numb=Plur|Deg=Pos
quibus,qvi,PROrel,Case=Abl|Numb=Plur
indiuisi,indivisvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
uiximus,vivo,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1
annos,annvs,NOM2,Case=Acc|Numb=Plur
respuit,respvo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
amplexus,amplexvs,NOM4,Case=Nom|Numb=Sing
heu,hev,INJ,MORPH=empty
pauefacta,pavefacio,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
meos,mevs,PROpos,Case=Acc|Numb=Plur
iamque,iamqve,ADV,Deg=Pos
alios,alivs,PROind,Case=Acc|Numb=Plur
iuuenes,ivvenis,NOM3,Case=Acc|Numb=Plur
aliosque,aliqve,PROind,Case=Acc|Numb=Plur
requirit,reqviro,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
amores,amor,NOM3,Case=Acc|Numb=Plur
;,o,PRE,MORPH=empty
me,ego,PROper,Case=Abl|Numb=Sing
uocat,voco,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
imbellem,imbellis,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
decrepitumque,decrepitvs,NOM4,Case=Acc|Numb=Sing
senem,senex,NOM3,Case=Acc|Numb=Sing
nec,nec,CONcoo,MORPH=empty
meminisse,memini,VER,Mood=Inf|Tense=Perf|Voice=Act
uolet,volo,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
transactae,transigo,VER,Case=Dat|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
dulcia,dvlcis,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
uitae,vita,NOM1,Case=Gen|Numb=Sing
nec,nec,CONcoo,MORPH=empty
