form,lemma,pos,morph
Studio,stvdivs,NOM2,Case=Dat|Numb=Sing
caritatis,caritas,NOM3,Case=Gen|Numb=Sing
et,et,CONcoo,MORPH=empty
dilectionis,dilectio,NOM3,Case=Gen|Numb=Sing
affectu,affectvs,NOM4,Case=Abl|Numb=Sing
obliuisci,obliviscor,VER,Mood=Inf|Tense=Pres|Voice=Dep
nos,nos,PROper,Case=Acc|Numb=Plur
pudoris,pvdor,NOM3,Case=Gen|Numb=Sing
iubetis,ivbeo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=2
cum,cvm,CONsub,MORPH=empty
modestiam,modestia,NOM1,Case=Acc|Numb=Sing
et,et,CONcoo,MORPH=empty
uerecundiam,verecvndia,NOM1,Case=Acc|Numb=Sing
suadeatis,svadeo,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=2
ne,ne,CONsub,MORPH=empty
grauetur,gravo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Dep|Person=3
praeuaricatione,praevaricatio,NOM3,Case=Abl|Numb=Sing
iudicium,ivdicivm,NOM2,Case=Nom|Numb=Sing
.,vnvs,ADJcar,Case=Gen|Numb=Plur
falli,fallo,VER,Mood=Inf|Tense=Pres|Voice=Pass
uos,vos,PROper,Case=Acc|Numb=Plur
non,non,ADVneg,MORPH=empty
intellegitis,intelligo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=2
fauorabilius,favorabiliter,ADJqua,Numb=Sing|Deg=Comp
sentiendo,sentio,VER,Case=Abl|Numb=Sing|Mood=Ger|Voice=Act
quam,qvam,ADVrel,MORPH=empty
uerius,vervs,ADJqua,Case=Acc|Numb=Sing|Deg=Comp
bonum,bonvm,NOM2,Case=Acc|Numb=Sing
creditis,credo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=2
quod,qvi,PROrel,Case=Acc
bonum,bonvm,NOM2,Case=Acc|Numb=Sing
uultis,volo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=2
et,et,CONcoo,MORPH=empty
in,in,PRE,MORPH=empty
consortium,consortivm,NOM2,Case=Acc|Numb=Sing
uestrae,vester,PROpos,Case=Gen|Numb=Sing
deuotionis,devotio,NOM3,Case=Gen|Numb=Sing
adsciscitis,ascisco,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=2
etiam,etiam,ADV,Deg=Pos
quos,qvi,PROrel,Case=Acc|Numb=Plur
de,de,PRE,MORPH=empty
desipientibus,desipiens,VER,Case=Abl|Numb=Plur|Voice=Act
legeritis,lego,VER,Numb=Plur|Mood=Sub|Tense=Perf|Voice=Act|Person=2
.,vnvs,ADJcar,Case=Acc|Numb=Plur
de,de,PRE,MORPH=empty
sancti,sanctvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
atque,atqve,CONcoo,MORPH=empty
apostolici,apostolicvs,NOM2,Case=Gen|Numb=Sing
doctoris,doctor,NOM3,Case=Gen|Numb=Sing
et,et,CONcoo,MORPH=empty
domini,dominvs,NOM2,Case=Gen|Numb=Sing
meritis,meritvm,NOM2,Case=Abl|Numb=Plur
atque,atqve,CONcoo,MORPH=empty
uirtutibus,virtvs,NOM3,Case=Abl|Numb=Plur
tam,tam,ADV,Deg=Pos
splendidam,splendidvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
ad,ad,PRE,MORPH=empty
nos,nos,PROper,Case=Acc|Numb=Plur
misistis,mitto,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=2
historiam,historia,NOM1,Case=Acc|Numb=Sing
ut,vt,CONsub,MORPH=empty
rectissime,recte,ADV,Deg=Sup
si,si,CONsub,MORPH=empty
ita,ita,ADV,Deg=Pos
iussisset,ivbeo,VER,Numb=Sing|Mood=Sub|Tense=Pqp|Voice=Act|Person=3
uestra,vester,PROpos,Case=Nom|Numb=Sing
benedictio,benedictio,NOM3,Case=Nom|Numb=Sing
ad,ad,PRE,MORPH=empty
totius,totvs,PROind,Case=Gen|Numb=Sing
orbis,orbis,NOM3,Case=Gen|Numb=Sing
notitiam,notitia,NOM1,Case=Acc|Numb=Sing
perueniret,pervenio,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
.,vnvs,ADJcar,Case=Acc|Numb=Plur
uerum,vervm,CONcoo,MORPH=empty
his,hic,PROdem,Case=Dat|Numb=Plur
me,ego,PROper,Case=Acc|Numb=Sing
inhaerere,inhaereo,VER,Mood=Inf|Tense=Pres|Voice=Act
uestigiis,vestigivm,NOM2,Case=Abl|Numb=Plur
et,et,CONcoo,MORPH=empty
posse,possvm,VER,Mood=Inf|Tense=Pres|Voice=Act
aliquid,aliqvis,PROind,Case=Acc|Numb=Sing
adicere,adicio,VER,Mood=Inf|Tense=Pres|Voice=Act
quasi,qvasi,ADVrel,MORPH=empty
expolitius,expolite,ADV,Deg=Comp
censuistis,censeo,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=2
cum,cvm,CONsub,MORPH=empty
multo,mvlto,ADV,Deg=Pos
maius,magnvs,ADJqua,Case=Nom|Numb=Sing|Deg=Comp
sit,svm,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
conperta,comperio,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
promere,promo,VER,Mood=Inf|Tense=Pres|Voice=Act
quam,qvam,ADVrel,MORPH=empty
prolata,profero,VER,Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
transcribere,transcribo,VER,Mood=Inf|Tense=Pres|Voice=Act
.,vnvs,ADJcar,Case=Ind|Numb=Plur
adquiescamus,acqviesco,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=1
tamen,tamen,ADV,Deg=Pos
oboedientiam,obedientia,NOM1,Case=Acc|Numb=Sing
subdere,svbdo,VER,Mood=Inf|Tense=Pres|Voice=Act
non,non,ADVneg,MORPH=empty
conscientiam,conscientia,NOM1,Case=Acc|Numb=Sing
incautius,incavte,ADV,Case=Acc|Deg=Comp
aestimare,aestimo,VER,Mood=Inf|Tense=Pres|Voice=Act
quia,qvia,CONsub,MORPH=empty
puto,pvto,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
discerni,discerno,VER,Mood=Inf|Tense=Pres|Voice=Pass
non,non,ADVneg,MORPH=empty
debere,debeo,VER,Mood=Inf|Tense=Pres|Voice=Act
quid,qvis,PROint,Case=Acc|Numb=Sing
iubeat,ivbeo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
cui,qvi,PROrel,Case=Dat|Numb=Sing
in,in,PRE,MORPH=empty
omnibus,omnis,PROind,Case=Abl|Numb=Plur
obsequendi,obseqvor,VER,Case=Gen|Numb=Sing|Mood=Ger|Voice=Dep
uota,votvm,NOM2,Case=Acc|Numb=Plur
se,svi,PROref,Case=Acc|Numb=Sing
