form,lemma,pos,morph
Sancte,sanctvs,NOM2,Case=Voc|Numb=Sing|Deg=Pos
pater,pater,NOM3,Case=Nom|Numb=Sing
omnipotens,omnipotens,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
deus,devs,NOM2,Case=Nom|Numb=Sing
qui,qvi,PROrel,Case=Nom|Numb=Sing
multiformis,mvltiformis,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
gratiae,gratia,NOM1,Case=Gen|Numb=Sing
tuae,tvvs,PROpos,Case=Gen|Numb=Sing
templum,templvm,NOM2,Case=Acc|Numb=Sing
et,et,CONcoo,MORPH=empty
dispositae,dispono,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
in,in,PRE,MORPH=empty
te,tv,PROper,Case=Acc|Numb=Sing
ecclesiae,ecclesia,NOM1,Case=Gen|Numb=Plur
tabernaculum,tabernacvlvm,NOM2,Case=Acc|Numb=Sing
formans,formo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
inmensurabilis,immensvrabilis,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
gloriae,gloria,NOM1,Case=Gen|Numb=Sing
extendens,extendo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
mensuras,mensvra,NOM1,Case=Acc|Numb=Plur
Christo,christvs,NOM3,Case=Dat|Numb=Sing
in,in,PRE,MORPH=empty
te,tv,PROper,Case=Abl|Numb=Sing
auctore,avctor,NOM3,Case=Abl|Numb=Sing
docuisti,doceo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=2
ut,vt,CONsub,MORPH=empty
in,in,PRE,MORPH=empty
te,tv,PROper,Case=Abl|Numb=Sing
uno,vnvs,ADJcar,Case=Abl|Numb=Sing
et,et,CONcoo,MORPH=empty
inuisibilitatis,invisibilati,NOM3,Case=Gen|Numb=Sing
plenitudo,plenitvdo,NOM3,Case=Nom|Numb=Sing
quod,qvod,PROrel,Numb=Sing
pater,pater,NOM3,Case=Nom|Numb=Sing
filio,filivs,NOM2,Case=Dat|Numb=Sing
et,et,CONcoo,MORPH=empty
uisibilitas,visibilitas,NOM3,Case=Nom|Numb=Sing
agnoscentiae,agnosco,NOM1,Case=Gen|Numb=Sing
quod,qvod,PROrel,Case=Acc
filius,filivs,NOM2,Case=Nom|Numb=Sing
patri,pater,NOM3,Case=Dat|Numb=Sing
in,in,PRE,MORPH=empty
operatione,operatio,NOM3,Case=Abl|Numb=Sing
sancti,sanctvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
spiritus,spiritvs,NOM4,Case=Gen|Numb=Sing
deberet,debeo,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
ageretur,ago,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Pass|Person=3
sic,sic,ADV,Deg=Pos
in,in,PRE,MORPH=empty
te,tv,PROper,Case=Abl|Numb=Sing
omni,omnis,PROind,Case=Abl|Numb=Sing
definitae,definio,VER,Case=Gen|Numb=Sing|Deg=Pos|Mood=Par|Tense=Perf|Voice=Pass
rei,res,NOM5,Case=Gen|Numb=Sing
terminum,terminvs,NOM2,Case=Acc|Numb=Sing
et,et,CONcoo,MORPH=empty
infinitorum,infinitvs,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
receptaculum,receptacvlvm,NOM2,Case=Acc|Numb=Sing
ponens,pono,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
ut,vt,CONsub,MORPH=empty
ex,ex,PRE,MORPH=empty
te,tv,PROper,Case=Abl|Numb=Sing
uno,vnvs,ADJcar,Case=Abl|Numb=Sing
uenientibus,venio,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
I,vnvs,ADJcar,Case=Ind|Numb=Sing
nobis,nos,PROper,Case=Abl|Numb=Plur
unum,vnvs,ADJcar,Case=Acc|Numb=Sing
profectum,profectvs,VER,Case=Acc|Numb=Sing
et,et,CONcoo,MORPH=empty
reuertentibus,revertor,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
ad,ad,PRE,MORPH=empty
te,tv,PROper,Case=Acc|Numb=Sing
unum,vnvs,ADJcar,Case=Acc|Numb=Sing
aditum,aditvs,NOM4,Case=Acc|Numb=Sing
in,in,PRE,MORPH=empty
ortum,ortvs,NOM4,Case=Acc|Numb=Sing
fili,filivs,NOM2,Case=Gen|Numb=Sing
in,in,PRE,MORPH=empty
te,tv,PROper,Case=Acc|Numb=Sing
orientis,oriens,VER,Case=Acc|Numb=Plur|Mood=Par|Voice=Dep
aperires,aperio,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=2
et,et,CONcoo,MORPH=empty
quamuis,qvamvis,CONsub,MORPH=empty
ex,ex,PRE,MORPH=empty
diuersis,diversvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
uocationum,vocatio,NOM3,Case=Gen|Numb=Plur
uiis,via,NOM1,Case=Abl|Numb=Plur
in,in,PRE,MORPH=empty
tabernaculum,tabernacvlvm,NOM2,Case=Acc|Numb=Sing
tuum,tvvs,PROpos,Case=Acc|Numb=Sing
tenderent,tendo,VER,Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=3
omnes,omnis,PROind,Case=Nom|Numb=Plur
tamen,tamen,ADV,Deg=Pos
uno,vnvs,ADJcar,Case=Abl|Numb=Sing
ingressu,ingressvs,NOM4,Case=Abl|Numb=Sing
ad,ad,PRE,MORPH=empty
te,tv,PROper,Case=Acc|Numb=Sing
