form,lemma,pos,morph
Romulidum,romvlidae,NOM2,Case=Gen|Numb=Plur
ductor,dvctor,NOM3,Case=Nom|Numb=Sing
clari,clarvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
lux,lvx,NOM3,Case=Nom|Numb=Sing
altera,alter,PROind,Case=Nom|Numb=Sing
solis,sol,NOM3,Case=Gen|Numb=Sing
eoa,idem,PROdem,Case=Acc|Numb=Sing
qui,qvi,PROrel,Case=Nom|Numb=Sing
regna,regnvm,NOM2,Case=Acc|Numb=Plur
regis,rex,NOM3,Case=Gen|Numb=Sing
moderamine,moderamen,NOM3,Case=Abl|Numb=Sing
iusto,ivstvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
spes,spes,NOM5,Case=Nom|Numb=Sing
orbis,orbis,NOM3,Case=Gen|Numb=Sing
fratrisque,fraterqve,NOM2,Case=Abl|Numb=Sing
decus,decvs,NOM3,Case=Acc|Numb=Sing
dignare,dignor,VER,Numb=Sing|Mood=Imp|Tense=Pres|Voice=Dep
Maronem,maro,NOM3,Case=Acc|Numb=Sing
mutatum,mvto,VER,Case=Acc|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
in,in,PRE,MORPH=empty
melius,bonvs,ADJqua,Case=Acc|Numb=Sing|Deg=Comp
diuino,divinvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
agnoscere,agnosco,VER,Mood=Inf|Tense=Pres|Voice=Act
sensu,sensvs,NOM4,Case=Abl|Numb=Sing
scribendum,scribo,VER,Case=Acc|Numb=Sing|Mood=Adj|Voice=Pass
famulo,famvlvs,NOM2,Case=Abl|Numb=Sing
quem,qvi,PROrel,Case=Acc|Numb=Sing
iusseras,ivbeo,VER,Numb=Sing|Mood=Ind|Tense=Pqp|Voice=Act|Person=2
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
hic,hic,PROdem,Case=Nom|Numb=Sing
tibi,tv,PROper,Case=Dat|Numb=Sing
mundi,mvndvs,NOM2,Case=Gen|Numb=Sing
principium,principivm,NOM2,Case=Acc|Numb=Sing
formamque,forma,NOM1,Case=Acc|Numb=Sing
poli,polvs,NOM2,Case=Gen|Numb=Sing
hominemque,homo,NOM3,Case=Acc|Numb=Sing
creatum,creo,VER,Case=Acc|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
expediet,expedio,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
limo,limvs,NOM2,Case=Abl|Numb=Sing
hic,hic,PROdem,Case=Nom|Numb=Sing
Christi,christvs,NOM2,Case=Gen|Numb=Sing
proferet,profero,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
ortum,orior,VER,Case=Acc|Numb=Sing
insidias,insidiae,NOM1,Case=Acc|Numb=Plur
regis,rex,NOM3,Case=Gen|Numb=Sing
magorum,magvs,NOM2,Case=Gen|Numb=Plur
praemia,praemivm,NOM2,Case=Acc|Numb=Plur
doctos,doctvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
discipulos,discipvlvs,NOM2,Case=Acc|Numb=Plur
pelagique,pelagiqve,ADV,Deg=Pos
minas,minae,NOM1,Case=Acc|Numb=Plur
gressumque,gressvs,ADV,Deg=Pos
per,per,PRE,MORPH=empty
aequor,aeqvor,NOM3,Case=Acc|Numb=Sing
hic,hic,PROdem,Numb=Sing
fractum,frango,VER,Case=Acc|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
famulare,famvlor,VER,Numb=Sing|Mood=Imp|Tense=Pres|Voice=Dep
iugum,ivgvm,NOM2,Case=Acc|Numb=Sing
uitamque,vita,ADJqua,Case=Acc|Numb=Sing
reductam,redvco,VER,Case=Acc|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
unius,vnvs,ADJcar,Case=Gen|Numb=Sing
crucis,crvx,NOM3,Case=Gen|Numb=Sing
auxilio,avxilivm,NOM2,Case=Abl|Numb=Sing
reditumque,reditvs,NOM4,Numb=Sing
