form,lemma,pos,morph
Simon,simon,NOM7,Case=Nom|Numb=Sing
quem,qvi,PROrel,Case=Acc|Numb=Sing
uocitant,vocito,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Petrum,petrvs,NOM2,Case=Acc|Numb=Sing
summus,svpervs,ADJqua,Case=Nom|Numb=Sing|Deg=Sup
discipulus,discipvlvs,NOM2,Case=Nom|Numb=Sing
Dei,devs,ADJqua,Case=Gen|Numb=Sing
lucis,lvx,NOM3,Case=Gen|Numb=Sing
forte,forte,ADV,Deg=Pos
sub,svb,PRE,MORPH=empty
exitu,exitvs,NOM4,Case=Abl|Numb=Sing
cum,cvm,CONsub,MORPH=empty
uesper,vesper,NOM3,Case=Nom|Numb=Sing
croceus,crocevs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
rubet,rvbeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
curuam,cvrvvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
uulserat,vello,VER,Numb=Sing|Mood=Ind|Tense=Pqp|Voice=Act|Person=3
ancoram,ancora,NOM1,Case=Acc|Numb=Sing
captans,capto,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
flamina,flamen,NOM3,Case=Acc|Numb=Plur
linteis,lintevm,NOM2,Case=Abl|Numb=Plur
et,et,CONcoo,MORPH=empty
transnare,transno,VER,Mood=Inf|Tense=Pres|Voice=Act
uolens,volens,ADJqua,Case=Nom|Numb=Sing|Deg=Pos|Mood=Par|Voice=Act
fretum,fretvm,NOM2,Case=Acc|Numb=Sing
nox,nox,NOM3,Case=Nom|Numb=Sing
uentum,venio,VER,Case=Acc|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
mouet,moveo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
obuium,obvivs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
fundo,fvndvs,NOM2,Case=Abl|Numb=Sing
qui,qvi,PROrel,Case=Nom|Numb=Sing
mare,mare,NOM3,Case=Acc|Numb=Sing
misceat,misceo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
iactatam,iacto,VER,Case=Acc|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
quatiat,qvatio,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
ratem,ratis,NOM3,Case=Acc|Numb=Sing
.,vnvs,ADJcar,Case=Acc|Numb=Plur
clamor,clamor,NOM3,Case=Nom|Numb=Sing
nauticus,navticvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
aethera,aether,NOM7,Case=Acc|Numb=Sing
plangens,plango,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
atque,atqve,CONcoo,MORPH=empty
ululans,vlvlo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
ferit,ferio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
cum,cvm,PRE,MORPH=empty
stridore,stridor,NOM3,Case=Abl|Numb=Sing
rudentium,rvdens,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
nec,nec,CONcoo,MORPH=empty
quidquam,qvisqvam,PROind,Case=Nom|Numb=Sing
suberat,svbsvm,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
spei,spes,NOM5,Case=Gen|Numb=Sing
mergendis,mergo,VER,Case=Dat|Numb=Plur|Mood=Adj|Voice=Pass
prope,prope,ADV,Deg=Pos
naufragis,navfragvs,NOM2,Case=Abl|Numb=Plur
cum,cvm,CONsub,MORPH=empty
Christum,christvs,NOM2,Case=Acc|Numb=Sing
procul,procvl,ADV,Deg=Pos
aspicit,aspicio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
pallens,pallens,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
turba,tvrba,NOM1,Case=Nom|Numb=Sing
periculis,pericvlvm,NOM2,Case=Abl|Numb=Plur
calcantem,calco,VER,Case=Acc|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
pedibus,pes,NOM3,Case=Abl|Numb=Plur
mare,mare,NOM3,Case=Acc|Numb=Sing
ac,ac,CONcoo,MORPH=empty
si,si,CONsub,MORPH=empty
per,per,PRE,MORPH=empty
solidam,solidvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
uiam,via,NOM1,Case=Acc|Numb=Sing
siccum,siccvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
litus,litvs,NOM3,Case=Acc|Numb=Sing
obambulet,obambvlo,VER,Numb=Sing|Mood=Sub|Tense=Fut|Voice=Act|Person=3
.,qvadranta,ADJcar,Case=Gen|Numb=Plur
Haec,haectvs,NOM3,Case=Nom|Numb=Sing
miracula,miracvlvm,NOM2,Case=Nom|Numb=Plur
ceteri,cetervs,NOM2,Case=Nom|Numb=Plur|Deg=Pos
uectores,vector,NOM3,Case=Nom|Numb=Plur
pauidi,pavidvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
stupent,stvpeo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
solus,solvs,PROind,Case=Nom|Numb=Sing
non,non,ADVneg,MORPH=empty
trepidus,trepidvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
Petrus,petrvs,NOM7,Case=Nom|Numb=Sing
agnoscit,agnosco,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Dominum,dominvs,NOM2,Case=Acc|Numb=Sing
poli,polvs,NOM2,Case=Gen|Numb=Sing
terraeque,terra,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
et,et,CONcoo,MORPH=empty
maris,mare,NOM3,Case=Gen|Numb=Sing
inuii,invivs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
cuius,qvi,PROrel,Case=Gen|Numb=Sing
omnipotentiae,omnipotentia,NOM1,Case=Gen|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
plantis,planta,NOM2,Case=Dat|Numb=Plur
aequora,aeqvor,NOM3,Case=Acc|Numb=Plur
subdere,svbdo,VER,Mood=Inf|Tense=Pres|Voice=Act
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
tendit,tendo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
suppliciter,svppliciter,ADV,Deg=Pos
manus,manvs,NOM4,Case=Acc|Numb=Plur
notum,notvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
subsidium,svbsidivm,NOM2,Case=Acc|Numb=Sing
rogat,rogo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.,vnvs,ADJcar,Case=Acc|Numb=Plur
ast,at,CONcoo,MORPH=empty
ille,ille,PROdem,Case=Nom|Numb=Sing
placide,placide,ADV,Deg=Pos
adnuens,annvo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
puppi,pvppis,NOM3,Case=Abl|Numb=Sing
ut,vt,CONsub,MORPH=empty
desiliat,desilio,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
iubet,ivbeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.,vnvs,ADJcar,Case=Acc|Numb=Plur
iussis,ivbeo,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
obsequitur,obseqvor,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
Petrus,petrvs,NOM2,Case=Nom|Numb=Sing
sed,sed,CONcoo,MORPH=empty
uestigia,vestigivm,NOM2,Case=Acc|Numb=Plur
fluctibus,flvctvs,NOM4,Case=Abl|Numb=Plur
summis,svpervs,ADJqua,Case=Abl|Numb=Plur|Deg=Sup
tingere,tingo,VER,Mood=Inf|Tense=Pres|Voice=Act
coeperat,coepio,VER,Numb=Sing|Mood=Ind|Tense=Pqp|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
