form,lemma,pos,morph
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Ad,ad,NOM7,Case=Nom|Numb=Sing
eos,is,PROdem,Case=Acc|Numb=Plur
qui,qvi,PROrel,Case=Nom|Numb=Plur
in,in,PRE,MORPH=empty
sermone,sermo,NOM3,Case=Abl|Numb=Sing
callent,calleo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
sermo,sermo,NOM3,Case=Nom|Numb=Sing
nobis,nos,PROper,Case=Dat|Numb=Plur
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
de,de,PRE,MORPH=empty
scrip,scrippo,NOM3,Case=Ind|Numb=Sing
turis,tvs,NOM3,Case=Gen|Numb=Sing
incipiam,incipio,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=1
.,vnvs,ADJcar,Case=Acc|Numb=Plur
ecce,ecce,INJ,MORPH=empty
ego,ego,PROper,Case=Nom|Numb=Sing
ad,ad,PRE,MORPH=empty
te,tv,PROper,Case=Acc|Numb=Sing
inquit,inqvio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
contumeliosa,contvmeliosvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
.,vnvs,ADJcar,Case=Acc|Numb=Plur
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
etenim,etenim,CONcoo,MORPH=empty
quidam,qvidam,PROind,Case=Nom|Numb=Plur
auribus,avris,NOM3,Case=Abl|Numb=Plur
prurientes,prvrior,ADJqua,Case=Nom|Numb=Plur
et,et,CONcoo,MORPH=empty
lingua,lingva,NOM1,Case=Abl|Numb=Sing
iam,iam,ADV,Deg=Pos
uero,vero,CONcoo,MORPH=empty
ut,vt,ADVrel,MORPH=empty
uideo,video,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
etiam,etiam,ADV,Deg=Pos
manu,manvs,NOM4,Case=Abl|Numb=Sing
qui,qvi,PROrel,Case=Nom|Numb=Plur
profanis,profanvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
uocum,vox,NOM3,Case=Gen|Numb=Plur
nouitatibus,novitas,NOM3,Case=Abl|Numb=Plur
et,et,CONcoo,MORPH=empty
quaestionibus,qvaestio,NOM3,Case=Abl|Numb=Plur
atque,atqve,CONcoo,MORPH=empty
obiectionibus,obiectio,NOM3,Case=Abl|Numb=Plur
falsae,falsvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
scientiae,scientia,NOM1,Case=Gen|Numb=Sing
uerborum,verbvm,NOM2,Case=Gen|Numb=Plur
pugnas,pvgna,NOM1,Case=Acc|Numb=Plur
ad,ad,PRE,MORPH=empty
nul,nvl,ADVint,Case=Acc
lam,lam,ADV,MORPH=empty
utilitatem,vtilitas,NOM3,Case=Acc|Numb=Sing
mouent,moveo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.,qvintvs,ADJcar,Case=Ind|Numb=Plur
ita,ita,ADV,Deg=Pos
etenim,etenim,CONcoo,MORPH=empty
nominat,nomino,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Paulus,pavlvs,NOM2,Case=Nom|Numb=Sing
omne,omnis,PROind,Case=Nom|Numb=Sing
quod,qvi,PROrel,Case=Nom|Numb=Sing
in,in,PRE,MORPH=empty
uerbis,verbvm,NOM2,Case=Abl|Numb=Plur
superfluum,svperflvvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
curiosum,cvriosvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
quia,qvia,CONsub,MORPH=empty
ipse,ipse,PROdem,Case=Nom|Numb=Sing
uerbi,verbvm,NOM2,Case=Gen|Numb=Sing
breuiati,breviatvs,ADJqua,Case=Gen|Numb=Sing
praedicator,praedicator,NOM3,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
adsertor,assertor,NOM3,Case=Nom|Numb=Sing
.,vnvs,ADJcar,Case=Gen|Numb=Sing
isti,iste,PROdem,Case=Nom|Numb=Plur
ergo,ergo,CONcoo,MORPH=empty
de,de,PRE,MORPH=empty
quibus,qvi,PROrel,Case=Abl|Numb=Plur
sermo,sermo,NOM3,Case=Nom|Numb=Sing
nobis,nos,PROper,Case=Dat|Numb=Plur
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
maxime,magis,ADV,Deg=Sup
Arriani,arrianvs,NOM2,Case=Nom|Numb=Plur
utinam,vtinam,ADV,Deg=Pos
quidem,qvidem,ADV,Deg=Pos
sicut,sicvt,ADVrel,MORPH=empty
linguam,lingva,NOM1,Case=Acc|Numb=Sing
et,et,CONcoo,MORPH=empty
uolu,volvs,NOM4,Case=Abl|Numb=Sing
bilem,bilis,NOM3,Case=Acc|Numb=Sing
habent,habeo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
uehementem,vehemens,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
ita,ita,ADV,Deg=Pos
etiam,etiam,ADV,Deg=Pos
uerbis,verbvm,NOM2,Case=Abl|Numb=Plur
rectis,rectvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
et,et,CONcoo,MORPH=empty
proba,probvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
bilibus,bilis,NOM3,Case=Abl|Numb=Plur
uterentur,vtor,VER,Numb=Plur|Mood=Sub|Tense=Impa|Voice=Dep|Person=3
et,et,CONcoo,MORPH=empty
aliquantulum,aliqvantvlvm,PROind,Case=Acc|Numb=Sing
etiam,etiam,ADV,Deg=Pos
circa,circa,PRE,MORPH=empty
opera,opvs,NOM3,Case=Abl|Numb=Plur
mandatorum,mandatvm,NOM2,Case=Gen|Numb=Plur
dei,devs,NOM2,Case=Nom|Numb=Plur
uacarent,vaco,VER,Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=3
minus,parvm,ADV,Deg=Comp
fortasse,fortasse,ADV,Deg=Pos
sophistae,sophista,NOM1,Case=Nom|Numb=Plur
quidam,qvidam,PROind,Case=Nom|Numb=Plur
in,in,PRE,MORPH=empty
uerbis,verbvm,NOM2,Case=Abl|Numb=Plur
essent,svm,VER,Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
de,de,PRE,MORPH=empty
scripturarum,scriptvra,NOM1,Case=Gen|Numb=Plur
simplicitate,simplicitas,NOM3,Case=Abl|Numb=Sing
controuersias,controversia,NOM1,Case=Acc|Numb=Plur
commouerent,commoveo,VER,Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=3
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Omnes,omnes,NOM7,Case=Nom|Numb=Sing
etenim,etenim,CONcoo,MORPH=empty
ceteras,cetervs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
pietatis,pietas,NOM3,Case=Gen|Numb=Sing
uias,via,NOM1,Case=Acc|Numb=Plur
relinquentes,relinqvo,VER,Case=Acc|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
ad,ad,PRE,MORPH=empty
hoc,hic,PROdem,Case=Acc|Numb=Sing
unum,vnvs,ADJcar,Case=Acc|Numb=Sing
spectant,specto,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
atque,atqve,CONcoo,MORPH=empty
prospiciunt,prospicio,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
si,si,CONsub,MORPH=empty
quid,qvis,PROind,Case=Acc|Numb=Sing
forte,forte,ADV,Deg=Pos
in,in,PRE,MORPH=empty
quaestionibus,qvaestio,NOM3,Case=Abl|Numb=Plur
alligent,alligo,VER,Numb=Plur|Mood=Sub|Tense=Fut|Voice=Act|Person=3
aut,avt,CONcoo,MORPH=empty
quomodo,qvomodo,CONsub,MORPH=empty
simpliciter,simpliciter,ADV,Deg=Pos
et,et,CONcoo,MORPH=empty
fideliter,fideliter,ADV,Deg=Pos
dicta,dictvm,NOM2,Case=Nom|Numb=Plur
dissoluant,dissolvo,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
sicut,sicvt,ADVrel,MORPH=empty
nonnumquam,nonnvmqvam,ADV,Deg=Pos
in,in,PRE,MORPH=empty
athletico,athleticvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
certamine,certamen,NOM3,Case=Abl|Numb=Sing
fieri,fio,VER,Mood=Inf|Tense=Pres|Voice=Act
solet,soleo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=SemDep|Person=3
ubi,vbi,CONsub,MORPH=empty
luctae,lvcta,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
conludio,collvdivm,NOM3,Case=Nom|Numb=Sing
non,non,ADVneg,MORPH=empty
tam,tam,ADV,Deg=Pos
ad,ad,PRE,MORPH=empty
palmam,palma,NOM1,Case=Acc|Numb=Sing
tenditur,tendo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
quam,qvam,ADVrel,MORPH=empty
ostentatio,ostentatio,NOM3,Case=Nom|Numb=Sing
palaes,palae,NOM3,Case=Nom|Numb=Sing
matis,mata,ADJqua,Case=Abl|Numb=Plur
et,et,CONcoo,MORPH=empty
artis,ars,NOM3,Case=Gen|Numb=Sing
spectantium,specto,VER,Case=Gen|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
ad,ad,PRE,MORPH=empty
se,svi,PROref,Case=Acc|Numb=Sing
rapit,rapio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
fauorem,favor,NOM3,Case=Acc|Numb=Sing
.,vnvs,ADJcar,Case=Acc|Numb=Plur
ita,ita,ADV,Deg=Pos
et,et,CONcoo,MORPH=empty
isti,iste,PROdem,Case=Nom|Numb=Plur
auditorum,avditor,NOM3,Case=Gen|Numb=Plur
plausus,plavsvs,NOM4,Case=Acc|Numb=Plur
captantes,capto,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
in,in,PRE,MORPH=empty
plateis,platea,NOM1,Case=Abl|Numb=Plur
et,et,CONcoo,MORPH=empty
in,in,PRE,MORPH=empty
publico,pvblicvm,NOM2,Case=Abl|Numb=Sing
contentionibus,contentio,NOM3,Case=Abl|Numb=Plur
personant,persono,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
omne,omnis,PROind,Case=Acc|Numb=Sing
conuiuium,convivivm,NOM2,Case=Acc|Numb=Sing
atque,atqve,CONcoo,MORPH=empty
omnem,omnis,PROind,Case=Acc|Numb=Sing
festiui,festivvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
tatem,tas,NOM3,Case=Acc|Numb=Sing
luctus,lvctvs,NOM4,Case=Acc|Numb=Plur
quoque,qvoqve,ADV,Deg=Pos
ipsos,ipse,PROdem,Case=Acc|Numb=Plur
si,si,CONsub,MORPH=empty
fuerint,svm,VER,Numb=Plur|Mood=Ind|Tense=Fut|Voice=Act|Person=3
ingressi,ingredior,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Perf|Voice=Dep
quaestionibus,qvaestio,NOM3,Case=Abl|Numb=Plur
omnia,omnis,PROind,Case=Acc|Numb=Plur
et,et,CONcoo,MORPH=empty
certaminibus,certamen,NOM3,Case=Abl|Numb=Plur
replent,repleo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ita,ita,ADV,Deg=Pos
ut,vt,CONsub,MORPH=empty
et,et,CONcoo,MORPH=empty
sollemnitas,sollemnitvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
festiui,festivvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
tatem,tas,NOM3,Case=Acc|Numb=Sing
suam,svvs,PROpos.ref,Case=Acc|Numb=Sing
ac,ac,CONcoo,MORPH=empty
laetitiam,laetitia,NOM1,Case=Acc|Numb=Sing
