form,lemma,pos,morph
Litterae,littera,NOM1,Case=Gen|Numb=Sing
sanctitatis,sanctitas,NOM3,Case=Gen|Numb=Sing
uestrae,vester,PROpos,Case=Gen|Numb=Sing
me,ego,PROper,Case=Acc|Numb=Sing
spiritali,spiritalis,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
cibo,cibvs,NOM2,Case=Abl|Numb=Sing
pastum,pasco,VER,Case=Acc|Numb=Sing|Tense=Perf
incitauerunt,incito,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
ad,ad,PRE,MORPH=empty
spem,spes,NOM5,Case=Acc|Numb=Sing
futurorum,fvtvrvs,ADJqua,Case=Gen|Numb=Plur
et,et,CONcoo,MORPH=empty
uerba,verbvm,NOM2,Case=Acc|Numb=Plur
prophetica,propheticvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
claritate,claritas,NOM3,Case=Abl|Numb=Sing
radiantia,radio,VER,Case=Acc|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
ad,ad,PRE,MORPH=empty
discutiendas,discvtio,VER,Case=Acc|Numb=Plur|Mood=Adj|Voice=Pass
errorum,error,NOM3,Case=Gen|Numb=Plur
tenebras,tenebrae,NOM1,Case=Acc|Numb=Plur
purissima,pvrvs,ADJqua,Case=Abl|Numb=Sing|Deg=Sup
luce,lvx,NOM3,Case=Abl|Numb=Sing
fulserunt,fvlgeo,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
.,vnvs,ADJcar,Case=Acc|Numb=Plur
recognosco,recognosco,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
plenum,plenvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
caritatis,caritas,NOM3,Case=Gen|Numb=Sing
affectum,affectvs,NOM4,Case=Acc|Numb=Sing
et,et,CONcoo,MORPH=empty
sinceritatem,sinceritas,NOM3,Case=Acc|Numb=Sing
piae,pivs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
castigationis,castigatio,NOM3,Case=Gen|Numb=Sing
amplector,amplector,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=1
.,vnvs,ADJcar,Case=Acc|Numb=Sing
eloquentiam,eloqventia,NOM1,Case=Acc|Numb=Sing
in,in,PRE,MORPH=empty
uerbis,verbvm,NOM2,Case=Abl|Numb=Plur
in,in,PRE,MORPH=empty
exeplis,exeplvm,NOM2,Case=Abl|Numb=Plur
perfectionem,perfectio,NOM3,Case=Acc|Numb=Sing
in,in,PRE,MORPH=empty
consilio,consilivm,NOM2,Case=Abl|Numb=Sing
gratiam,gratia,NOM1,Case=Acc|Numb=Sing
in,in,PRE,MORPH=empty
officio,officivm,NOM2,Case=Abl|Numb=Sing
diligentiam,diligentia,NOM1,Case=Acc|Numb=Sing
in,in,PRE,MORPH=empty
ueritate,veritas,NOM3,Case=Abl|Numb=Sing
constantiam,constantia,NOM1,Case=Acc|Numb=Sing
in,in,PRE,MORPH=empty
admonitione,admonitio,NOM3,Case=Abl|Numb=Sing
ueritatem,veritas,NOM3,Case=Acc|Numb=Sing
scientiam,scientia,NOM1,Case=Acc|Numb=Sing
probatis,probo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=2
in,in,PRE,MORPH=empty
dogmate,dogma,NOM3,Case=Abl|Numb=Sing
.,qvinqvaginta,ADJcar,Case=Acc|Numb=Sing
uos,vos,PROper,Case=Voc|Numb=Plur
antiquos,antiqvvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
scripturarum,scriptvra,NOM1,Case=Gen|Numb=Plur
interpretes,interpres,NOM3,Case=Acc|Numb=Plur
et,et,CONcoo,MORPH=empty
diuinorum,divina,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
uoluminum,volvmen,NOM3,Case=Gen|Numb=Plur
tractatores,tractator,NOM3,Case=Acc|Numb=Plur
ueneranda,venerandvs,ADJqua,Case=Acc|Numb=Plur
mihi,ego,PROper,Case=Dat|Numb=Sing
nomina,nomen,NOM3,Case=Acc|Numb=Plur
Cyprianum,cyprianvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
Augustinum,avgvstinvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
Hilarium,hilarivs,NOM2,Case=Acc|Numb=Sing
Ambrosium,ambrosivs,NOM2,Case=Acc|Numb=Sing
rettulistis,refero,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=2
alios,alivs,PROind,Case=Acc|Numb=Plur
facundiae,facvndia,NOM1,Case=Gen|Numb=Sing
flore,flos,NOM3,Case=Abl|Numb=Sing
uernantes,verno,VER,Case=Acc|Numb=Plur|Mood=Par|Tense=Pres|Voice=Dep
alios,alivs,PROind,Case=Acc|Numb=Plur
et,et,CONcoo,MORPH=empty
in,in,PRE,MORPH=empty
reuelandis,revelo,VER,Case=Abl|Numb=Plur|Mood=Adj|Voice=Dep
occultioribus,occvltvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
spiritales,spiritalis,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
alios,alivs,PROind,Case=Acc|Numb=Plur
mulcendis,mvlceo,VER,Case=Abl|Numb=Plur|Mood=Adj|Voice=Pass
inperitorum,imperitvs,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
sensibus,sensvs,NOM4,Case=Abl|Numb=Plur
blandientes,blandior,VER,Case=Acc|Numb=Plur|Mood=Par|Tense=Pres|Voice=Dep
alios,alivs,PROind,Case=Acc|Numb=Plur
in,in,PRE,MORPH=empty
fidei,fides,NOM5,Case=Gen|Numb=Sing
assertione,assertio,NOM3,Case=Abl|Numb=Sing
pugnantes,pvgno,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Praeteritae,praeteritae,NOM1,Case=Gen|Numb=Sing
calumniamur,calvmnior,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=1
aetati,aetas,NOM3,Case=Dat|Numb=Sing
quod,qvod,CONsub,MORPH=empty
uiros,vir,NOM2,Case=Acc|Numb=Plur
illos,ille,PROdem,Case=Acc|Numb=Plur
admiratione,admiratio,NOM3,Case=Abl|Numb=Sing
dignissimos,dignvs,ADJqua,Case=Acc|Numb=Plur|Deg=Sup
haec,hic,PROdem,Case=Acc|Numb=Plur
saecula,saecvlvm,NOM2,Case=Acc|Numb=Plur
non,non,ADVneg,MORPH=empty
tulerunt,fero,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
.,qvinqvaginta,ADJcar,Case=Acc|Numb=Plur
pro,pro,PRE,MORPH=empty
certo,certvm,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
doctrinam,doctrina,NOM1,Case=Acc|Numb=Sing
iuniores,ivvenis,ADJqua,Case=Acc|Numb=Plur|Deg=Comp
ambierant,ambio,VER,Numb=Plur|Mood=Ind|Tense=Pqp|Voice=Act|Person=3
eorum,is,PROdem,Case=Gen|Numb=Plur
qui,qvi,PROrel,Case=Nom|Numb=Plur
ante,ante,ADV,Deg=Pos
docuerunt,doceo,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
.,vnvs,ADJcar,Case=Acc|Numb=Plur
ego,ego,PROper,Case=Nom|Numb=Sing
autem,avtem,CONcoo,MORPH=empty
aetatem,aetas,NOM3,Case=Acc|Numb=Sing
meam,mevs,PROpos,Case=Acc|Numb=Sing
non,non,ADVneg,MORPH=empty
de,de,PRE,MORPH=empty
canentium,cano,VER,Case=Gen|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
putamine,pvtamen,NOM3,Case=Abl|Numb=Sing
capillorum,capillvs,NOM2,Case=Gen|Numb=Plur
nec,nec,CONcoo,MORPH=empty
sicut,sicvt,ADVrel,MORPH=empty
beatitudo,beatitvdo,NOM3,Case=Nom|Numb=Sing
uestra,vester,PROpos,Case=Nom|Numb=Sing
de,de,PRE,MORPH=empty
saeculari,saecvlarivs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
auctore,avctor,NOM3,Case=Abl|Numb=Sing
mutuata,mvtvatvs,ADJqua,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
de,de,PRE,MORPH=empty
colore,color,NOM3,Case=Abl|Numb=Sing
barbae,barba,NOM1,Case=Gen|Numb=Sing
albentis,albeo,VER,Case=Gen|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
agnosco,agnosco,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
cum,cvm,CONsub,MORPH=empty
etiamsi,etiamsi,CONsub,MORPH=empty
esset,svm,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
error,error,NOM3,Case=Nom|Numb=Sing
in,in,PRE,MORPH=empty
conputo,compvto,VER,Case=Abl|Numb=Sing|Tense=Pres|Voice=Act
senescentis,senesco,VER,Case=Gen|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
annos,annvs,NOM2,Case=Acc|Numb=Plur
de,de,PRE,MORPH=empty
torpore,torpor,NOM3,Case=Abl|Numb=Sing
membrorum,membrvm,NOM2,Case=Gen|Numb=Plur
per,per,PRE,MORPH=empty
morbi,morbvs,NOM2,Case=Gen|Numb=Sing
incrementa,incrementvm,NOM2,Case=Acc|Numb=Plur
sentirem,sentio,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=1
.,qvintvs,ADJcar,Case=Gen|Numb=Plur
sed,sed,CONcoo,MORPH=empty
omni,omnis,PROind,Case=Abl|Numb=Sing
precum,prex,NOM3,Case=Gen|Numb=Plur
humilitate,hvmilitas,NOM3,Case=Abl|Numb=Sing
deposco,deposco,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
utpro,vtpro,ADV,Deg=Pos
correctione,correctio,NOM3,Case=Abl|Numb=Sing
morum,mos,NOM3,Case=Gen|Numb=Plur
meorum,mevs,PROpos,Case=Gen|Numb=Plur
pro,pro,PRE,MORPH=empty
inspirando,inspiro,VER,Case=Abl|Numb=Sing|Mood=Adj|Voice=Act
mihi,ego,PROper,Case=Dat|Numb=Sing
desiderio,desiderivm,NOM2,Case=Abl|Numb=Sing
paenitendi,paeniteo,VER,Case=Gen|Numb=Sing|Mood=Ger|Voice=Act
pro,pro,PRE,MORPH=empty
domini,dominvs,NOM2,Case=Gen|Numb=Sing
nostri,noster,PROpos,Case=Gen|Numb=Plur
propitiatione,propitiatio,NOM3,Case=Abl|Numb=Sing
in,in,PRE,MORPH=empty
sanctis,sanctvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
uestris,vester,PROpos,Case=Abl|Numb=Plur
orationibus,oratio,NOM3,Case=Abl|Numb=Plur
supplicetis,svpplico,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=2
ut,vt,CONsub,MORPH=empty
qui,qvi,PROrel,Case=Nom|Numb=Sing
ad,ad,PRE,MORPH=empty
uitandum,vito,VER,Case=Acc|Numb=Sing|Mood=Ger|Voice=Act
procliue,proclivis,ADJqua,Numb=Sing|Deg=Pos
illius,ille,PROdem,Case=Gen|Numb=Sing
uiae,via,NOM1,Case=Gen|Numb=Sing
in,in,PRE,MORPH=empty
perniciosa,perniciosvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
uergentis,vergo,VER,Case=Acc|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
erectum,erectvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
et,et,CONcoo,MORPH=empty
cum,cvm,PRE,MORPH=empty
labore,labor,NOM3,Case=Abl|Numb=Sing
gradiendum,gradior,VER,Case=Acc|Numb=Sing|Mood=Adj|Voice=Dep
iter,iter,NOM3,Case=Acc|Numb=Sing
ostenditis,ostendo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=2
et,et,CONcoo,MORPH=empty
ingressum,ingressvs,VER,Case=Acc|Numb=Sing|Tense=Perf|Voice=Dep
boni,bonvs,NOM2,Case=Gen|Numb=Sing
operis,opvs,NOM3,Case=Gen|Numb=Sing
et,et,CONcoo,MORPH=empty
piae,pivs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
emendationis,emendatio,NOM3,Case=Gen|Numb=Sing
obtineatis,obtineo,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=2
effectum,efficio,NOM4,Case=Acc|Numb=Sing|Tense=Perf
non,non,ADVneg,MORPH=empty
in,in,PRE,MORPH=empty
uerbere,verber,NOM3,Case=Abl|Numb=Sing
disciplinae,disciplina,NOM1,Case=Gen|Numb=Sing
sed,sed,CONcoo,MORPH=empty
in,in,PRE,MORPH=empty
indulgentiae,indvlgentia,NOM1,Case=Gen|Numb=Sing
medicina,medicina,NOM1,Case=Abl|Numb=Sing
et,et,CONcoo,MORPH=empty
misericordiae,misericordia,NOM1,Case=Gen|Numb=Sing
lenitate,lenitas,NOM3,Case=Abl|Numb=Sing
.,vnvs,ADJcar,Case=Abl|Numb=Plur
hanc,hic,PROdem,Case=Acc|Numb=Sing
quoque,qvoqve,ADV,Deg=Pos
uobis,vos,PROper,Case=Dat|Numb=Plur
conferte,confero,VER,Numb=Plur|Mood=Imp|Tense=Pres|Voice=Act|Person=2
mercedem,merces,NOM3,Case=Acc|Numb=Sing
debetis,debeo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=2
enim,enim,CONcoo,MORPH=empty
fenus,fenvs,NOM3,Case=Nom|Numb=Sing
domino,dominvs,NOM2,Case=Dat|Numb=Sing
de,de,PRE,MORPH=empty
thesauro,thesavrvs,NOM2,Case=Abl|Numb=Sing
qui,qvi,PROrel,Case=Nom|Numb=Sing
fidei,fides,NOM5,Case=Dat|Numb=Sing
uestrae,vester,PROpos,Case=Dat|Numb=Sing
traditus,trado,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Pass|Person=3
et,et,CONcoo,MORPH=empty
a,ab,PRE,MORPH=empty
uobis,vos,PROper,Case=Abl|Numb=Plur
illo,ille,PROdem,Case=Abl|Numb=Sing
commendante,commendo,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
susceptus,svscipio,VER,Case=Nom|Numb=Sing|Tense=Perf|Voice=Pass
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.,vnvs,ADJcar,Case=Gen|Numb=Sing
adquirite,acqviro,VER,Numb=Plur|Mood=Imp|Tense=Pres|Voice=Act|Person=2
desperantes,despero,VER,Case=Acc|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
arguite,argvo,VER,Numb=Plur|Mood=Imp|Tense=Pres|Voice=Act|Person=2
neglegentes,negligens,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
deditos,dedo,VER,Case=Acc|Numb=Plur|Mood=Par|Voice=Pass
somno,somnvs,NOM2,Case=Abl|Numb=Sing
ignauae,ignavvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
securitatis,secvritas,NOM3,Case=Gen|Numb=Sing
excutite,excvtio,VER,Numb=Plur|Mood=Imp|Tense=Pres|Voice=Act|Person=2
resides,reses,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
excitate,excito,VER,Numb=Plur|Mood=Imp|Tense=Pres|Voice=Act|Person=2
.,vnvs,ADJcar,Case=Acc|Numb=Plur
decet,decet,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ouem,ovis,NOM3,Case=Acc|Numb=Sing
perditam,perditvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
in,in,PRE,MORPH=empty
umeris,hvmervs,NOM2,Case=Abl|Numb=Plur
suis,svvs,PROpos.ref,Case=Abl|Numb=Plur
bonum,bonvm,NOM2,Case=Acc|Numb=Sing
reportare,reporto,VER,Mood=Inf|Tense=Pres|Voice=Act
pastorem,pastor,NOM3,Case=Acc|Numb=Sing
et,et,CONcoo,MORPH=empty
munitioribus,mvnitvs,ADJqua,Case=Abl|Numb=Plur|Deg=Comp
caulis,cavlis,NOM1,Case=Abl|Numb=Plur
eas,is,PROdem,Case=Acc|Numb=Plur
quibus,qvi,PROrel,Case=Abl|Numb=Plur
lupus,lvpvs,NOM2,Case=Nom|Numb=Sing
insidiatur,insidior,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
includere,inclvdo,VER,Mood=Inf|Tense=Pres|Voice=Act
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
Sanctum,sanctvs,NOM2,Case=Acc|Numb=Sing
Augustinum,avgvstinvs,NOM2,Case=Acc|Numb=Sing|Deg=Pos
sicut,sicvt,ADVrel,MORPH=empty
