form,lemma,pos,morph
Sancto,sanctvs,NOM2,Case=Dat|Numb=Sing
episcopo,episcopvs,NOM3,Case=Abl|Numb=Sing
Salonio,salonivs,ADJqua,Case=Dat|Numb=Sing|Deg=Pos
Saluianus,salvianvs,NOM2,Case=Nom|Numb=Sing
salutem,salvs,NOM3,Case=Acc|Numb=Sing
in,in,PRE,MORPH=empty
domino,dominvs,NOM2,Case=Abl|Numb=Sing
.,pes,ADJcar,Case=Acc|Numb=Plur
Omnes,omnes,NOM7,Case=Nom|Numb=Plur
admodum,admodvm,ADV,Deg=Pos
homines,homo,NOM3,Case=Nom|Numb=Plur
qui,qvi,PROrel,Case=Nom|Numb=Plur
pertinere,pertineo,VER,Mood=Inf|Tense=Pres|Voice=Act
ad,ad,PRE,MORPH=empty
humani,hvmanvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
officii,officivm,NOM2,Case=Gen|Numb=Sing
culturam,cvltvra,NOM1,Case=Acc|Numb=Sing
existimarunt,existimo,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
ut,vt,CONsub,MORPH=empty
aliquod,aliqvis,PROind,Case=Acc|Numb=Sing
linguarum,lingva,NOM1,Case=Gen|Numb=Plur
opus,opvs,NOM3,Case=Acc|Numb=Sing
studio,stvdivm,NOM2,Case=Abl|Numb=Sing
ingeniorum,ingenivm,NOM2,Case=Gen|Numb=Plur
excuderent,excvdo,VER,Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=3
id,is,PROdem,Case=Acc|Numb=Sing
speciali,specialis,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
cura,cvra,NOM1,Case=Abl|Numb=Sing
elaborarunt,elaboro,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
ut,vt,CONsub,MORPH=empty
siue,sive,CONsub,MORPH=empty
utiles,vtilis,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
res,res,NOM5,Case=Acc|Numb=Plur
ac,ac,CONcoo,MORPH=empty
probas,probo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
siue,sive,CONsub,MORPH=empty
