form,lemma,pos,morph
S,sestertivs,ADJcar,Case=Ind
edulius,edvle,ADV,Deg=Comp
Domini,dominvs,NOM2,Case=Gen|Numb=Sing
per,per,PRE,MORPH=empty
culta,cvltvs,NOM2,Case=Acc|Numb=Plur|Deg=Pos
noualia,novale,NOM3,Case=Acc|Numb=Plur
pergen,pergen,NOM3,Case=Acc|Numb=Sing
S,sestertivs,ADJcar,Case=Ind|Numb=Plur
E,ego,ADJcar,Case=Ind|Numb=Sing
n,ne,ADVneg,MORPH=empty
loca,locvs,NOM2,Case=Acc|Numb=Plur
prospexit,prospicio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
multo,mvltvs,ADV,Deg=Pos
radiantia,radio,VER,Case=Acc|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
flor,flor,NOM3,Case=Nom|Numb=Sing
E,eqve,ADJcar,Case=Ind|Numb=Sing
D,qvingenti,ADJcar,Case=Acc|Numb=Plur
iscurrit,iscvrro,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
per,per,PRE,MORPH=empty
prata,pratvm,NOM2,Case=Acc|Numb=Plur
libens,libens,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
quo,qvi,PROrel,Case=Abl|Numb=Sing
gramine,gramen,NOM3,Case=Abl|Numb=Sing
Daui,davvs,NOM2,Case=Gen|Numb=Sing
D,qvingenti,ADJcar,Case=Nom|Numb=Plur
V,qvinqve,ADJcar,Case=Ind
idit,ido,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
diuino,divinvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
modulantem,modvlor,VER,Case=Acc|Numb=Sing|Mood=Par|Tense=Pres|Voice=Dep
carmina,carmen,NOM3,Case=Acc|Numb=Plur
cant,catior,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
V,qvinqve,ADJcar,Case=Ind
.,qvadrantal,ADJcar,Case=Ind|Numb=Plur
L,qvinqvaginta,ADJcar,Case=Ind
audabili,avdabilis,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
psallente,peallo,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
uiro,vir,NOM2,Case=Abl|Numb=Sing
refluit,reflvo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
cythara,cythara,NOM1,Case=Nom|Numb=Sing
me,ego,PROper,Case=Acc|Numb=Sing
L,qvinqvaginta,ADJcar,Case=Ind
.,qvintvs,ADJcar,Case=Ind|Numb=Plur
I,vnvs,ADJcar,Case=Acc|Numb=Sing
lle,lleo,ADV,Case=Nom|Numb=Sing
ubi,vbi,CONsub,MORPH=empty
grandisoni,grandison,NOM2,Case=Dat|Numb=Sing
captus,capio,VER,Case=Nom|Numb=Sing|Mood=Ind|Tense=Perf|Voice=Pass|Person=3
dulcedine,dvlcedo,NOM3,Case=Abl|Numb=Sing
plectr,plectrvm,NOM3,Case=Nom|Numb=Sing
I,vnvs,ADJcar,Case=Gen|Numb=Sing
V,qvinqve,ADJcar,Case=Ind
ritur,ritvr,VER,Numb=Sing|Tense=Pres|Voice=Dep
et,et,CONcoo,MORPH=empty
celeri,celer,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
graditur,gradior,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
per,per,PRE,MORPH=empty
lilia,lilivm,NOM2,Case=Acc|Numb=Plur
pass,pass,NOM3,Case=Nom|Numb=Sing
V,qvinqve,ADJcar,Case=Ind
S,sestertivs,ADJcar,Case=Ind|Numb=Plur
acratosque,acratvsqvescvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
iterum,itervm,ADV,Deg=Pos
late,late,ADV,Deg=Pos
conspexit,conspicio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
amoeno,amoenvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
S,sestertivs,ADJcar,Case=Acc|Numb=Plur
A,aeqvaginta,ADJcar,Case=Acc|Numb=Sing
eterna,eternvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
Christi,christvs,NOM2,Case=Gen|Numb=Sing
fluuios,flvvivs,NOM2,Case=Acc|Numb=Plur
quos,qvi,PROrel,Case=Acc|Numb=Plur
abluit,ablvo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
und,vnd,ADVint,MORPH=empty
A,avgenti,NOM2,Case=Abl|Numb=Sing
N,nonvs,ADJcar,Case=Ind
ec,ec,CONcoo,MORPH=empty
passus,patior,NOM4,Case=Acc|Numb=Plur|Voice=Dep
torpere,torpeo,VER,Mood=Inf|Tense=Pres|Voice=Act
diu,div,ADV,Deg=Pos
doctoris,doctor,NOM3,Case=Gen|Numb=Sing
acume,acvme,ADJqua,Deg=Pos
N,nonvs,ADJcar,Case=Ind
T,tres,ADJcar,Case=Acc|Numb=Plur
unc,vnc,ADV,Deg=Pos
sua,svvs,PROpos.ref,Case=Acc|Numb=Plur
Dauiticus,daviticvs,NOM2,Case=Nom|Numb=Sing
delectus,deligo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
plectra,plectrvm,NOM2,Case=Acc|Numb=Plur
poposci,posco,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act
T,trecenti,ADJcar,Case=Acc|Numb=Plur
I,vnvs,ADJcar,Case=Acc|Numb=Sing
rrita,rrior,ADJqua,Case=Acc|Numb=Plur
polluti,pollvo,VER,Case=Gen|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
contemnens,contemno,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
numina,nvmen,NOM3,Case=Acc|Numb=Plur
mund,mvndvs,NOM3,Case=Acc|Numb=Sing
I,vnvs,ADJcar,Case=Acc|Numb=Sing
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
S,sestertivs,ADJcar,Case=Acc|Numb=Plur
igna,igna,NOM1,Case=Nom|Numb=Sing
crucis,crvx,NOM3,Case=Gen|Numb=Sing
fronti,frons,NOM3,Case=Dat|Numb=Sing
ponit,pono,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
breuiterque,breviter,ADV,Deg=Pos
triumpho,trivmphvs,NOM2,Case=Abl|Numb=Sing
S,sestertivs,ADJcar,Case=Nom|Numb=Plur
T,tres,ADJcar,Case=Acc|Numb=Plur
angit,ango,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Christe,christes,NOM2,Case=Voc|Numb=Sing
tuos,tvvs,PROpos,Case=Acc|Numb=Plur
numerosaque,nvmerosvs,ADJqua,Case=Voc|Numb=Sing|Deg=Pos
praemia,praemivm,NOM2,Case=Acc|Numb=Plur
liba,libvm,NOM2,Case=Acc|Numb=Plur
T,trivs,ADJcar,Case=Gen|Numb=Plur|Person=3
.,qvinqvaginta,ADJcar,Case=Ind|Numb=Plur
E,eqve,ADJcar,Case=Abl|Numb=Sing
rgo,rgo,NOM2,Numb=Sing
dum,dvm,CONsub,MORPH=empty
uario,varivs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
decorat,decoro,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
sua,svvs,PROpos.ref,Case=Acc|Numb=Plur
rura,rvs,NOM3,Case=Acc|Numb=Plur
color,color,NOM3,Case=Nom|Numb=Sing
E,eqve,ADJcar,Case=Acc|Numb=Sing
S,sestertivs,NOM3,Case=Acc|Numb=Plur
tabunt,tabeo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
hi,hic,PROdem,Case=Nom|Numb=Plur
garrula,garrvlvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
dicti,dico,NOM2,Case=Nom|Numb=Plur|Mood=Par
testudine,testvdo,NOM3,Case=Abl|Numb=Sing
uersu,versvs,NOM4,Case=Abl|Numb=Sing
S,sestertivs,ADJcar,Case=Ind|Numb=Plur
.,qvinqvaginta,ADJcar,Case=Ind|Numb=Plur
