form,lemma,pos,morph
Sacrae,sacer,NOM1,Case=Gen|Numb=Sing
religionis,religio,NOM3,Case=Gen|Numb=Sing
fidus,fidvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
interpres,interpres,NOM3,Case=Nom|Numb=Sing
uniuersa,vniversvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
conponit,compono,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ut,vt,CONsub,MORPH=empty
peccatis,peccatvm,NOM2,Case=Dat|Numb=Plur
ulterius,vltra,ADJqua,Deg=Comp
locus,locvs,NOM2,Case=Nom|Numb=Sing
esse,svm,VER,Mood=Inf|Tense=Pres|Voice=Act
non,non,ADVneg,MORPH=empty
possit,possvm,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
nam,nam,CONcoo,MORPH=empty
quid,qvis,PROint,Case=Acc|Numb=Sing
aliud,alivs,PROind,Case=Acc|Numb=Sing
tanta,tantvs,PROdem,Case=Abl|Numb=Sing
morum,mos,NOM3,Case=Gen|Numb=Plur
sanctitate,sanctitas,NOM3,Case=Abl|Numb=Sing
promittis,promitto,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
nisi,nisi,CONsub,MORPH=empty
ut,vt,CONsub,MORPH=empty
uitam,vita,NOM1,Case=Acc|Numb=Sing
beatam,beatvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
submotis,svbmoveo,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
erroribus,error,NOM3,Case=Abl|Numb=Plur
agitemus,agito,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=1
in,in,PRE,MORPH=empty
quo,qvi,PROrel,Case=Abl|Numb=Sing
laudem,lavs,NOM3,Case=Acc|Numb=Sing
maximam,magnvs,ADJqua,Case=Acc|Numb=Sing|Deg=Sup
tuis,tvvs,PROpos,Case=Dat|Numb=Plur
uideo,video,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
conuenire,convenio,VER,Mood=Inf|Tense=Pres|Voice=Act
uirtutibus,virtvs,NOM3,Case=Dat|Numb=Plur
quod,qvod,CONsub,MORPH=empty
inperitam,imperitvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
mentem,mens,NOM3,Case=Acc|Numb=Sing
piis,pivs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
hortationibus,hortatio,NOM3,Case=Abl|Numb=Plur
inmutaris,immvto,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=2
et,et,CONcoo,MORPH=empty
ad,ad,PRE,MORPH=empty
optimam,bonvs,ADJqua,Case=Acc|Numb=Sing|Deg=Sup
traxeris,traho,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=2
rationem,ratio,NOM3,Case=Acc|Numb=Sing
.,vnvs,ADJcar,Case=Acc|Numb=Plur
ceterum,cetervm,ADV,Deg=Pos
non,non,ADVneg,MORPH=empty
ita,ita,ADV,Deg=Pos
mirabile,mirabilis,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
uideretur,video,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Pass|Person=3
si,si,CONsub,MORPH=empty
eruditos,ervditvs,ADJqua,Case=Acc|Numb=Plur
animos,animvs,NOM2,Case=Acc|Numb=Plur
infusa,infvndo,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
sapientia,sapientia,NOM1,Case=Abl|Numb=Sing
confirmasses,confirmo,VER,Numb=Sing|Mood=Sub|Tense=Pqp|Voice=Act|Person=2
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
enim,enim,CONcoo,MORPH=empty
prudentibus,prvdens,ADJqua,Case=Dat|Numb=Plur|Deg=Pos
uiris,vir,NOM2,Case=Dat|Numb=Plur
cum,cvm,PRE,MORPH=empty
deuotione,devotio,NOM3,Case=Abl|Numb=Sing
cognatio,cognatio,NOM3,Case=Nom|Numb=Sing
nec,nec,CONcoo,MORPH=empty
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
cito,cito,ADV,Deg=Pos
conueniens,conveniens,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
credulitati,credvlitas,NOM3,Case=Dat|Numb=Sing
rusticitas,rvsticitas,NOM3,Case=Nom|Numb=Sing
.,pes,ADJcar,Case=Gen|Numb=Sing
sic,sic,ADV,Deg=Pos
illi,ille,PROdem,Case=Nom|Numb=Plur
qui,qvi,PROrel,Case=Nom|Numb=Plur
figuras,figvra,NOM1,Case=Acc|Numb=Plur
animantium,animans,NOM3,Case=Gen|Numb=Plur
de,de,PRE,MORPH=empty
lapidibus,lapis,NOM3,Case=Abl|Numb=Plur
ducunt,dvco,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
difficilioris,difficilis,ADJqua,Case=Gen|Numb=Sing|Deg=Comp
operis,opvs,NOM3,Case=Gen|Numb=Sing
negotium,negotivm,NOM2,Case=Acc|Numb=Sing
gerunt,gero,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
si,si,CONsub,MORPH=empty
durissima,dvrvs,ADJqua,Case=Nom|Numb=Plur|Deg=Sup
saxa,saxvm,NOM2,Case=Acc|Numb=Plur
ferramentis,ferramentvm,NOM2,Case=Abl|Numb=Plur
