form,lemma,pos,morph
Quemadmodum,qvemadmodvm,NOM2,Case=Gen|Numb=Sing
inter,inter,PRE,MORPH=empty
pedites,pedes,NOM3,Case=Acc|Numb=Plur
centuria,centvria,NOM1,Case=Nom|Numb=Sing
uel,vel,CONcoo,MORPH=empty
manipulus,manipvlvs,NOM2,Case=Nom|Numb=Sing
appellatur,appello,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
ita,ita,ADV,Deg=Pos
inter,inter,PRE,MORPH=empty
equites,eqves,NOM3,Case=Acc|Numb=Plur
turma,tvrma,NOM1,Case=Nom|Numb=Sing
dicitur,dico,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
;,o,PRE,MORPH=empty
et,et,CONcoo,MORPH=empty
habet,habeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
una,vnvs,ADJcar,Case=Abl|Numb=Sing
turma,tvrma,NOM1,Case=Abl|Numb=Sing
equites,eqves,NOM3,Case=Acc|Numb=Plur
triginta,triginta,ADJcar,Case=Ind
duos,dvo,ADJcar,Case=Acc|Numb=Plur
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Huic,hvivs,NOM3,Case=Nom|Numb=Sing
qui,qvi,PROrel,Case=Nom|Numb=Sing
praeest,praesvm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
decurio,decvrio,NOM3,Case=Nom|Numb=Sing
nominatur,nomino,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Centum,centvs,NOM2,Case=Acc|Numb=Sing
enim,enim,CONcoo,MORPH=empty
decem,decem,ADJcar,Case=Ind
pedites,pedes,NOM3,Case=Nom|Numb=Plur
ab,ab,PRE,MORPH=empty
uno,vnvs,ADJcar,Case=Abl|Numb=Sing
centurione,centvrio,NOM3,Case=Abl|Numb=Sing
sub,svb,PRE,MORPH=empty
uno,vnvs,ADJcar,Case=Abl|Numb=Sing
uexillo,vexillvm,NOM2,Case=Abl|Numb=Sing
gubernantur,gvberno,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
;,,PRE,MORPH=empty
