form,lemma,pos,morph
Instituta,institvtvm,NOM1,Case=Nom|Numb=Sing
maiorum,maiores,NOM3,Case=Gen|Numb=Plur
partis,pars,NOM3,Case=Acc|Numb=Plur
armatae,armatvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
plenissime,plene,ADV,Deg=Sup
clementiam,clementia,NOM1,Case=Acc|Numb=Sing
uestram,vester,PROpos,Case=Acc|Numb=Sing
peritissimeque,perite,ADV,Deg=Sup
retinere,retineo,VER,Mood=Inf|Tense=Pres|Voice=Act
continuis,continvvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
declaratur,declaro,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
uictoriis,victoria,NOM1,Case=Abl|Numb=Plur
ac,ac,CONcoo,MORPH=empty
triumphis,trivmphvs,NOM2,Case=Abl|Numb=Plur
siquidem,siqvidem,CONsub,MORPH=empty
indubitata,indvbito,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
adprobatio,approbatio,NOM3,Case=Nom|Numb=Sing
artis,ars,NOM3,Case=Gen|Numb=Sing
sit,svm,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
rerum,res,NOM5,Case=Gen|Numb=Plur
semper,semper,ADV,Deg=Pos
effectus,effectvs,NOM4,Case=Nom|Numb=Plur
.,vnvs,ADJcar,Case=Acc|Numb=Sing
Verum,vervs,NOM2,Case=Acc|Numb=Sing
tranquillitas,tranqvillitas,NOM3,Case=Nom|Numb=Sing
tua,tvvs,PROpos,Case=Nom|Numb=Sing
imperator,imperator,NOM3,Case=Nom|Numb=Sing
inuicte,invictvs,ADJqua,Numb=Sing|Deg=Pos
altiore,altvs,ADJqua,Case=Abl|Numb=Sing|Deg=Comp
consilio,consilivm,NOM2,Case=Abl|Numb=Sing
quam,qvam,ADVrel,MORPH=empty
mens,mens,NOM3,Case=Nom|Numb=Sing
poterat,possvm,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
terrena,terrena,NOM2,Case=Acc|Numb=Plur
concipere,concipio,VER,Mood=Inf|Tense=Pres|Voice=Act
ex,ex,PRE,MORPH=empty
libris,liber,NOM2,Case=Abl|Numb=Plur
antiqua,antiqvvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
desiderat,desidero,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
cum,cvm,CONsub,MORPH=empty
ipsam,ipse,PROdem,Case=Acc|Numb=Sing
antiquitatem,antiqvitas,NOM3,Case=Acc|Numb=Sing
factis,factvm,NOM2,Case=Abl|Numb=Plur
recentibus,recens,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
antecedat,antecedo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Igitur,igitvr,VER,Numb=Sing
cum,cvm,CONsub,MORPH=empty
haec,hic,PROdem,Case=Acc|Numb=Sing
litteris,littera,NOM1,Case=Abl|Numb=Plur
breuiter,breviter,ADV,Deg=Pos
comprehendere,comprehendo,VER,Mood=Inf|Tense=Pres|Voice=Act
maiestati,maiestas,NOM3,Case=Dat|Numb=Sing
uestrae,vester,PROpos,Case=Dat|Numb=Sing
non,non,ADVneg,MORPH=empty
tam,tam,ADV,Deg=Pos
discenda,disco,VER,Case=Nom|Numb=Sing|Mood=Adj|Voice=Pass
quam,qvam,ADVrel,MORPH=empty
recognoscenda,recognosco,VER,Case=Acc|Numb=Plur|Mood=Adj|Voice=Pass
praeciperer,praecipio,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Pass|Person=1
certauit,certo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
saepius,saepe,ADV,Deg=Comp
deuotio,devotio,NOM3,Case=Nom|Numb=Sing
cum,cvm,PRE,MORPH=empty
pudore,pvdor,NOM3,Case=Abl|Numb=Sing
.,qvintvs,ADJcar,Case=Abl|Numb=Plur
Quid,qvis,PROint,Case=Nom|Numb=Sing
enim,enim,CONcoo,MORPH=empty
audacius,avdax,ADJqua,Numb=Sing|Deg=Comp
quam,qvam,ADVrel,MORPH=empty
domino,dominvs,NOM2,Case=Dat|Numb=Sing
ac,ac,CONcoo,MORPH=empty
principi,princeps,NOM3,Case=Dat|Numb=Sing
generis,genvs,NOM3,Case=Gen|Numb=Sing
humani,hvmanvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
domitori,domitor,NOM3,Case=Dat|Numb=Sing
omnium,omnis,PROind,Case=Gen|Numb=Plur
gentium,gens,NOM3,Case=Gen|Numb=Plur
barbararum,barbarvs,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
aliquid,aliqvis,PROind,Case=Acc|Numb=Sing
de,de,PRE,MORPH=empty
usu,vsvs,NOM4,Case=Abl|Numb=Sing
ac,ac,CONcoo,MORPH=empty
disciplina,disciplina,NOM1,Case=Abl|Numb=Sing
insinuare,insinvo,VER,Mood=Inf|Tense=Pres|Voice=Act
bellorum,bellvm,NOM2,Case=Gen|Numb=Plur
nisi,nisi,CONsub,MORPH=empty
forte,forte,ADV,Deg=Pos
quod,qvi,PROrel,Case=Acc|Numb=Sing
ipse,ipse,PROdem,Case=Nom|Numb=Sing
iussisset,ivbeo,VER,Numb=Sing|Mood=Sub|Tense=Pqp|Voice=Act|Person=3
fieri,fio,VER,Mood=Inf|Tense=Pres|Voice=Act
quod,qvi,PROrel,Case=Acc|Numb=Sing
ipse,ipse,PROdem,Case=Nom|Numb=Sing
gessisset,gero,VER,Numb=Sing|Mood=Sub|Tense=Pqp|Voice=Act|Person=3
Et,et,CONcoo,MORPH=empty
rursus,rvrsvs,ADV,Deg=Pos
tanti,tantvs,PROdem,Case=Gen|Numb=Sing
imperatoris,imperator,NOM3,Case=Gen|Numb=Sing
non,non,ADVneg,MORPH=empty
oboedire,obedio,VER,Mood=Inf|Tense=Pres|Voice=Act
praeceptis,praeceptvm,NOM2,Case=Abl|Numb=Plur
plenum,plenvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
sacrilegii,sacrilegivm,NOM2,Case=Gen|Numb=Sing
uidebatur,video,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Pass|Person=3
atque,atqve,CONcoo,MORPH=empty
periculi,pericvlvm,NOM2,Case=Gen|Numb=Sing
.,pes,ADJcar,Case=Gen|Numb=Plur
Miro,miro,NOM2,Case=Abl|Numb=Sing
itaque,itaqve,CONcoo,MORPH=empty
more,mos,NOM3,Case=Abl|Numb=Sing
in,in,PRE,MORPH=empty
