form,lemma,pos,morph
Nunc,nvnc,NOM3,Case=Voc|Numb=Sing
quod,qvi,PROrel,Case=Nom|Numb=Sing
uel,vel,ADV,MORPH=empty
maxime,magis,ADV,Deg=Sup
prouidendum,provideo,VER,Case=Nom|Numb=Sing|Mood=Adj|Voice=Pass
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
quemadmodum,qvemadmodvm,ADVint,MORPH=empty
sanitas,sanitas,NOM3,Case=Nom|Numb=Sing
custodiatur,cvstodio,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
exercitus,exercitvs,NOM4,Case=Nom|Numb=Sing
admonebo,admoneo,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=1
hoc,hic,PROdem,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
locis,locvs,NOM2,Case=Abl|Numb=Plur
aquis,aqva,NOM1,Case=Abl|Numb=Plur
tempore,tempvs,NOM3,Case=Abl|Numb=Sing
medicina,medicina,NOM1,Case=Nom|Numb=Sing
exercitio,exercitivm,NOM3,Case=Nom|Numb=Sing
.,vnvs,ADJcar,Case=Gen|Numb=Sing
Locis,loci,NOM2,Case=Abl|Numb=Plur
ne,ne,CONsub,MORPH=empty
in,in,PRE,MORPH=empty
pestilenti,pestilens,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
regione,regio,NOM3,Case=Abl|Numb=Sing
iuxta,ivxta,ADV,MORPH=empty
morbosas,morbosvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
paludes,palvs,NOM3,Case=Nom|Numb=Plur
ne,ne,CONsub,MORPH=empty
aridis,aridvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
et,et,CONcoo,MORPH=empty
sine,sine,PRE,MORPH=empty
opacitate,opacitas,NOM3,Case=Abl|Numb=Sing
arborum,arbor,NOM3,Case=Gen|Numb=Plur
campis,campvs,NOM2,Case=Abl|Numb=Plur
aut,avt,CONcoo,MORPH=empty
collibus,collis,NOM3,Case=Abl|Numb=Plur
ne,ne,CONsub,MORPH=empty
sine,sine,PRE,MORPH=empty
tentoriis,tentorivm,NOM2,Case=Abl|Numb=Plur
aestate,aestas,NOM3,Case=Abl|Numb=Sing
milites,miles,NOM3,Case=Nom|Numb=Plur
commorentur,commoror,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Dep|Person=3
ne,ne,CONsub,MORPH=empty
egressi,egredior,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Perf|Voice=Dep
tardius,tarde,ADV,Deg=Comp
et,et,CONcoo,MORPH=empty
calore,calor,NOM3,Case=Abl|Numb=Sing
solis,sol,NOM3,Case=Gen|Numb=Sing
et,et,CONcoo,MORPH=empty
fatigatione,fatigatio,NOM3,Case=Abl|Numb=Sing
itineris,iter,NOM3,Case=Gen|Numb=Sing
contrahant,contraho,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
morbum,morbvs,NOM2,Case=Acc|Numb=Sing
sed,sed,CONcoo,MORPH=empty
potius,potivs,ADV,Deg=Comp
in,in,PRE,MORPH=empty
aestu,aestvs,NOM4,Case=Abl|Numb=Sing
ante,ante,PRE,MORPH=empty
lucem,lvx,NOM3,Case=Acc|Numb=Sing
coepto,coepio,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
itinere,iter,NOM3,Case=Abl|Numb=Sing
ad,ad,PRE,MORPH=empty
destinata,destinatvm,NOM2,Case=Acc|Numb=Plur
perueniant,pervenio,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
ne,ne,CONsub,MORPH=empty
saeua,saevvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
hieme,hiems,NOM3,Case=Abl|Numb=Sing
iter,iter,NOM3,Case=Acc|Numb=Sing
per,per,PRE,MORPH=empty
niues,nix,NOM3,Case=Acc|Numb=Plur
ac,ac,CONcoo,MORPH=empty
pruinas,prvina,NOM1,Case=Acc|Numb=Plur
noctibus,nox,NOM3,Case=Abl|Numb=Plur
faciant,facio,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
aut,avt,CONcoo,MORPH=empty
lignorum,lignvm,NOM2,Case=Gen|Numb=Plur
patiantur,patior,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Dep|Person=3
inopiam,inopia,NOM1,Case=Acc|Numb=Sing
aut,avt,CONcoo,MORPH=empty
minor,parvvs,ADJqua,Case=Nom|Numb=Sing|Deg=Comp
illis,ille,PROdem,Case=Dat|Numb=Plur
uestium,vestis,NOM3,Case=Gen|Numb=Plur
suppetat,svppeto,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
copia,copia,NOM1,Case=Nom|Numb=Sing
;,o,PRE,MORPH=empty
nec,nec,CONcoo,MORPH=empty
sanitati,sanitas,NOM3,Case=Dat|Numb=Sing
enim,enim,CONcoo,MORPH=empty
nec,nec,CONcoo,MORPH=empty
expeditioni,expeditio,NOM3,Case=Dat|Numb=Sing
idoneus,idonevs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
miles,miles,NOM3,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
