form,lemma,pos,morph
Admotis,admotis,NOM3,Case=Gen|Numb=Sing
turribus,tvrris,NOM3,Case=Abl|Numb=Plur
funditores,fvnditor,NOM3,Case=Nom|Numb=Plur
lapidibus,lapis,NOM3,Case=Abl|Numb=Plur
sagittarii,sagittarivs,NOM2,Case=Nom|Numb=Plur
iaculis,iacvlvm,NOM2,Case=Abl|Numb=Plur
manuballistarii,manvballis,NOM2,Case=Nom|Numb=Plur
uel,vel,CONcoo,MORPH=empty
arcuballistarii,arcvballia,NOM2,Case=Nom|Numb=Plur
sagittis,sagitta,NOM1,Case=Abl|Numb=Plur
iaculatores,iacvlator,NOM3,Case=Nom|Numb=Plur
plumbatis,plvmbo,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
ac,ac,CONcoo,MORPH=empty
missibilibus,missibilis,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
e,ex,PRE,MORPH=empty
muris,mvrvs,NOM2,Case=Abl|Numb=Plur
submouent,svbmoveo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
homines,homo,NOM3,Case=Nom|Numb=Plur
.,qvadranta,ADJcar,Case=Acc|Numb=Plur
Hoc,hoc,NOM3,Case=Nom|Numb=Sing
facto,facio,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
scalis,scalae,NOM1,Case=Abl|Numb=Plur
appositis,appono,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
occupant,occvpo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ciuitatem,civitas,NOM3,Case=Acc|Numb=Sing
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Sed,sedes,NOM2,Case=Acc|Numb=Sing
qui,qvi,PROrel,Case=Nom|Numb=Plur
scalis,scalae,NOM1,Case=Abl|Numb=Plur
nituntur,nitor,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
frequenter,freqventer,ADV,Deg=Pos
periculum,pericvlvm,NOM2,Case=Acc|Numb=Sing
sustinent,svstineo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
exemplo,exemplvm,NOM2,Case=Abl|Numb=Sing
Capanei,capanevs,NOM2,Case=Gen|Numb=Sing
a,ab,PRE,MORPH=empty
quo,qvi,PROrel,Case=Abl|Numb=Sing
primum,primvm,ADJadv.ord,Deg=Sup
scalarum,scalae,NOM1,Case=Gen|Numb=Plur
oppugnatio,oppvgnatio,NOM3,Case=Nom|Numb=Sing
perhibetur,perhibeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
inuenta,invenio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Pass|Person=3
;,,PRE,MORPH=empty
qui,qvi,PROrel,Case=Nom|Numb=Sing
tanta,tantvs,PROdem,Case=Abl|Numb=Sing
ui,vis,NOM3,Case=Abl|Numb=Sing
occisus,occido,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
a,ab,PRE,MORPH=empty
Thebanis,thebani,NOM2,Case=Abl|Numb=Plur
ut,vt,CONsub,MORPH=empty
extinctus,exstingvo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
fulmine,fvlmen,NOM3,Case=Abl|Numb=Sing
diceretur,dico,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Pass|Person=3
.,qvadranta,ADJcar,Case=Acc|Numb=Plur
Et,et,CONcoo,MORPH=empty
ideo,ideo,ADV,Deg=Pos
sambuca,sambvca,NOM2,Case=Acc|Numb=Plur
