form,lemma,pos,morph
I,vnvs,ADJcar,Case=Acc|Numb=Sing
Ciuitates,civitas,NOM3,Case=Acc|Numb=Plur
aut,avt,CONcoo,MORPH=empty
natura,natvra,NOM1,Case=Abl|Numb=Sing
aut,avt,CONcoo,MORPH=empty
opere,opvs,NOM3,Case=Abl|Numb=Sing
debere,debeo,VER,Mood=Inf|Tense=Pres|Voice=Act
muniriII,mvnirivs,ADJcar,Case=Acc
Non,non,ADVint,MORPH=empty
directos,dirigo,VER,Case=Acc|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
sed,sed,CONcoo,MORPH=empty
angulosos,angvlosvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
muros,mvrvs,NOM2,Case=Acc|Numb=Plur
faciendosIII,faciendosio,NOM2,Case=Nom|Numb=Sing
Quemadmodum,qvemadmodvm,NOM2,Case=Gen|Numb=Sing
muris,mvrvs,NOM2,Case=Abl|Numb=Plur
e,ex,PRE,MORPH=empty
terra,terra,NOM1,Case=Abl|Numb=Sing
iungatur,ivngo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
adgestusIIII,adgestve,ADJcar,Case=Nom
De,decenti,NOM2,Case=Abl|Numb=Plur
cataractis,cataractvs,NOM2,Case=Abl|Numb=Plur
et,et,CONcoo,MORPH=empty
portis,porta,NOM1,Case=Abl|Numb=Plur
ne,ne,CONsub,MORPH=empty
noceantur,noceo,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
ab,ab,PRE,MORPH=empty
ignibusV,ignibvs,NOM4,Case=Abl|Numb=Sing
De,de,NOM2,Case=Abl|Numb=Sing
fossis,fossa,NOM2,Case=Abl|Numb=Plur
faciendisVI,facio,VER,Numb=Sing|Mood=Inf|Tense=Pres|Voice=Pass
Ne,ne,CONsub,Case=Ind
sagittis,sagitta,NOM1,Case=Abl|Numb=Plur
hostium,hostis,NOM3,Case=Gen|Numb=Plur
homines,homo,NOM3,Case=Nom|Numb=Plur
laedantur,laedo,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
in,in,PRE,MORPH=empty
muroVII,mvror,ADJcar,Case=Abl|Numb=Plur
Quibus,qvi,PROind,Case=Abl|Numb=Plur
modis,modvs,NOM2,Case=Abl|Numb=Plur
prouidendum,provideo,VER,Case=Nom|Numb=Sing|Mood=Adj|Voice=Pass
sit,svm,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
ne,ne,CONsub,MORPH=empty
famem,fames,NOM3,Case=Acc|Numb=Sing
patiantur,patior,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Dep|Person=3
obsessiVIII,obsessinta,ADJcar,Case=Ind
Quae,qvis,PROrel,Case=Nom|Numb=Sing
species,species,NOM5,Case=Nom|Numb=Plur
praeparandae,praeparo,VER,Case=Nom|Numb=Plur|Mood=Adj|Voice=Pass
sint,svm,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
pro,pro,PRE,MORPH=empty
defensione,defensio,NOM3,Case=Abl|Numb=Sing
murorumVIIII,mvrvs,ADJcar,Case=Ind
Quid,qvis,PROind,Case=Nom|Numb=Sing
faciendum,facio,VER,Case=Nom|Numb=Sing|Mood=Adj|Voice=Pass
sit,svm,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
si,si,CONsub,MORPH=empty
neruorum,nervvs,NOM2,Case=Gen|Numb=Plur
defuerit,desvm,VER,Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3
copiaX,copian,NOM6,Case=Ind
Quid,qvi,PROind,Case=Nom|Numb=Sing
faciendum,facio,VER,Case=Acc|Numb=Sing|Mood=Adj|Voice=Pass
ne,ne,CONsub,MORPH=empty
aquae,aqva,NOM1,Case=Nom|Numb=Plur
inopiam,inopia,NOM1,Case=Acc|Numb=Sing
patiantur,patior,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Dep|Person=3
obsessiXI,obsessinvs,CONcoo,MORPH=empty
Si,si,CONsub,Case=Nom
sales,sal,NOM3,Case=Acc|Numb=Plur
defuerintXII,defverinti,ADJord,Case=Nom
Quid,qvis,PROrel,Case=Nom|Numb=Sing
faciendum,facio,VER,Case=Nom|Numb=Sing|Mood=Adj|Voice=Pass
cum,cvm,PRE,MORPH=empty
primo,primvs,ADJord,Case=Abl|Numb=Sing|Deg=Sup
impetu,impetvs,NOM4,Case=Abl|Numb=Sing
uenitur,venio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
ad,ad,PRE,MORPH=empty
murosXIII,morvs,ADJord,Case=Ind|Deg=Pos
Enumeratio,envmerativs,ADJqua,Case=Nom|Numb=Sing
machinarum,machina,NOM1,Case=Gen|Numb=Plur
quibus,qvi,PROrel,Case=Dat|Numb=Plur
muri,mvrvs,NOM2,Case=Gen|Numb=Sing
oppugnanturXIIII,oppvgnanter,ADJord,Case=Ind|Deg=Pos
De,decemvir,NOM7,Case=Nom|Numb=Sing
ariete,aries,NOM3,Case=Abl|Numb=Sing
falce,falx,NOM3,Case=Abl|Numb=Sing
testudineXV,testvdines,ADJcar,Case=Ind
De,decenti,NOM7,Case=Nom|Numb=Sing
uineis,vinea,NOM1,Case=Abl|Numb=Plur
de,de,PRE,MORPH=empty
pluteis,plvtevs,NOM1,Case=Abl|Numb=Plur
de,de,PRE,MORPH=empty
aggereXVI,aggerexvs,ADJcar,Case=Abl|Numb=Sing|Deg=Pos
De,de,NOM7,Case=Abl|Numb=Sing
musculisXVII,mvscvlvs,NOM2,Case=Ind
De,decenti,NOM7,Case=Nom|Numb=Sing
turribus,tvrris,NOM3,Case=Abl|Numb=Plur
ambulatoriisXVIII,ambvlatorii,ADV,Deg=Pos
Quemadmodum,qvemadmodvm,NOM2,Case=Gen|Numb=Sing
ambulatoria,ambvlatorivs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
turris,tvrris,NOM3,Case=Nom|Numb=Sing
possit,possvm,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
incendiXVIIII,incendinvs,ADJcar,Case=Ind
Quemadmodum,qvemadmodvm,NOM2,Case=Gen|Numb=Sing
altitudo,altitvdo,NOM3,Case=Nom|Numb=Sing
muris,mvrvs,NOM2,Case=Abl|Numb=Plur
addaturXX,addo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass
Quo,qvi,PROrel,Case=Abl|Numb=Sing
pacto,pactvm,NOM2,Case=Abl|Numb=Sing
suffodiatur,svffodio,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
terra,terra,NOM1,Case=Abl|Numb=Sing
ut,vt,ADVrel,MORPH=empty
machina,machina,NOM1,Case=Nom|Numb=Sing
nocere,noceo,VER,Mood=Inf|Tense=Pres|Voice=Act
nil,nihil,PROind,Case=Ind
possitXXI,possiter,ADJcar,Case=Ind
De,decenti,NOM2,Case=Abl|Numb=Sing
scalis,scalae,NOM1,Case=Abl|Numb=Plur
sambuca,sambvcvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
exostra,exostra,ADJqua,Case=Acc|Numb=Plur
