form,lemma,pos,morph
Nunc,nvnc,NOM3,Case=Nom|Numb=Sing
ne,ne,CONsub,MORPH=empty
quid,qvis,PROind,Case=Nom|Numb=Sing
relinquatur,relinqvo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
ambiguum,ambigvvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
in,in,PRE,MORPH=empty
quibus,qvi,PROrel,Case=Abl|Numb=Plur
passionibus,passio,NOM3,Case=Abl|Numb=Plur
et,et,CONcoo,MORPH=empty
ex,ex,PRE,MORPH=empty
quibus,qvi,PROrel,Case=Abl|Numb=Plur
locis,locvs,NOM2,Case=Abl|Numb=Plur
sanguis,sangvis,NOM3,Case=Nom|Numb=Sing
emitti,emitto,VER,Mood=Inf|Tense=Pres|Voice=Pass
debeat,debeo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
indicabimus,indico,VER,Numb=Plur|Mood=Ind|Tense=Fut|Voice=Act|Person=1
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Morbidis,morbis,NOM3,Case=Gen|Numb=Sing
et,et,CONcoo,MORPH=empty
quibuscunque,qvicvmqve,PROrel,Case=Dat|Numb=Plur
totum,totvs,PROind,Case=Nom|Numb=Sing
corpus,corpvs,NOM3,Case=Nom|Numb=Sing
in,in,PRE,MORPH=empty
causa,cavsa,NOM1,Case=Abl|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
sicut,sicvt,ADVrel,MORPH=empty
febrientibus,febrio,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
de,de,PRE,MORPH=empty
matrice,matrices,NOM5,Case=Abl|Numb=Sing
detrahendus,detraho,VER,Case=Nom|Numb=Sing|Mood=Adj|Voice=Pass
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
sanguis,sangvis,NOM3,Case=Nom|Numb=Sing
.,vnvs,ADJcar,Case=Gen|Numb=Sing
Cephalargicis,cephalargici,NOM1,Case=Abl|Numb=Plur
autem,avtem,CONcoo,MORPH=empty
apiosis,apiosvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
insanis,insanvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
cardiacis,cardiacvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
caducis,cadvcvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
freneticis,freneticvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
distentis,distentvs,VER,Case=Abl|Numb=Plur|Voice=Pass
sideraticis,sideraticvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
rabiosis,rabiosvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
praecipitur,praecipio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
de,de,PRE,MORPH=empty
uenis,vena,NOM1,Case=Abl|Numb=Plur
auricularum,avricvla,NOM1,Case=Gen|Numb=Plur
sanguinem,sangvis,NOM3,Case=Acc|Numb=Sing
demere,demo,VER,Mood=Inf|Tense=Pres|Voice=Act
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Verumtamen,vervmtames,NOM3,Case=Nom|Numb=Sing
melius,bonvs,ADJqua,Case=Nom|Deg=Comp
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ut,vt,CONsub,MORPH=empty
de,de,PRE,MORPH=empty
temporibus,tempvs,NOM3,Case=Abl|Numb=Plur
quae,qvi,PROrel,Case=Nom|Numb=Plur
dextra,dextera,NOM1,Case=Nom|Numb=Sing
ac,ac,CONcoo,MORPH=empty
sinistra,sinister,NOM1,Case=Abl|Numb=Sing
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
detrahatur,detraho,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
id,is,PROdem,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
sub,svb,PRE,MORPH=empty
cauatura,cavatvra,NOM1,Case=Abl|Numb=Sing
temporum,tempvs,NOM3,Case=Gen|Numb=Plur
tribus,tres,ADJcar,Case=Abl|Numb=Plur
digitis,digitvs,NOM2,Case=Abl|Numb=Plur
ab,ab,PRE,MORPH=empty
oculo,ocvlvs,NOM2,Case=Abl|Numb=Sing
interpositis,interpono,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
inferius,infervs,ADJqua,Case=Nom|Numb=Sing|Deg=Comp
uena,vena,NOM1,Case=Nom|Numb=Sing
perquiritur,perqviro,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
et,et,CONcoo,MORPH=empty
ex,ex,PRE,MORPH=empty
utraque,vterqve,PROind,Case=Abl|Numb=Sing
parte,pars,NOM3,Case=Abl|Numb=Sing
sanguis,sangvis,NOM3,Case=Nom|Numb=Sing
emittitur,emitto,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
.,qvadrantal,ADJcar,Case=Acc|Numb=Sing
Eis,eis,NOM7,Case=Nom|Numb=Sing
uero,vero,CONcoo,MORPH=empty
quibus,qvi,PROrel,Case=Abl|Numb=Plur
suffusio,svffvsio,NOM3,Case=Nom|Numb=Sing
contigit,contingo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
oculorum,ocvlvs,NOM2,Case=Gen|Numb=Plur
uel,vel,CONcoo,MORPH=empty
cetera,cetera,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
uitia,vitivm,NOM2,Case=Acc|Numb=Plur
quae,qvi,PROrel,Case=Nom|Numb=Plur
oculis,ocvlvs,NOM2,Case=Abl|Numb=Plur
nocent,noceo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
inferiores,infervs,ADJqua,Case=Nom|Numb=Plur|Deg=Comp
uenae,vena,NOM1,Case=Nom|Numb=Plur
sub,svb,PRE,MORPH=empty
oculis,ocvlvs,NOM2,Case=Abl|Numb=Plur
positae,pono,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
quae,qvi,PROrel,Case=Nom|Numb=Plur
descendunt,descendo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
sub,svb,PRE,MORPH=empty
angulis,angvlvs,NOM1,Case=Abl|Numb=Plur
oculorum,ocvlvs,NOM2,Case=Gen|Numb=Plur
inferioribus,infervs,ADJqua,Case=Abl|Numb=Plur|Deg=Comp
quatuor,qvatvor,ADJcar,Case=Ind
digitis,digitvs,NOM2,Case=Abl|Numb=Plur
inferius,infervs,ADV,Deg=Comp
quam,qvam,ADVrel,MORPH=empty
oculi,ocvlvs,NOM2,Case=Nom|Numb=Plur
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
inciduntur,incido,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
