form,lemma,pos,morph
lasaris,laso,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
radices,radix,NOM3,Case=Acc|Numb=Plur
menta,mentvm,NOM2,Case=Acc|Numb=Plur
nepeta,nepeto,VER,Case=Abl|Numb=Sing|Mood=Imp|Tense=Perf|Voice=Pass
saluia,salvia,NOM1,Case=Abl|Numb=Sing
cupressu,cvpressvs,NOM4,Case=Abl|Numb=Sing
origanum,origanvs,NOM3,Case=Gen|Numb=Plur
zyniperum,zyniper,NOM2,Case=Gen|Numb=Plur
cepa,capa,NOM1,Case=Nom|Numb=Sing|Mood=Imp
gentima,gentimvs,ADJqua,Case=Voc|Numb=Sing|Deg=Pos
bacas,bacca,NOM1,Case=Acc|Numb=Plur
timmi,timmvs,NOM2,Case=Gen|Numb=Sing
coriandrum,coriandrvm,NOM2,Case=Acc|Numb=Sing
piretru,piretrvm,NOM4,Case=Abl|Numb=Sing
folia,folivm,NOM2,Case=Acc|Numb=Plur
citri,citrvm,NOM2,Case=Gen|Numb=Plur
pastinaca,pastinacvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
cepa,capa,NOM1,Case=Abl|Numb=Sing|Mood=Imp
Ascalonia,ascalonia,ADJqua,Case=Nom|Numb=Sing
radices,radix,NOM3,Case=Acc|Numb=Plur
iunci,ivncvs,NOM2,Case=Gen|Numb=Sing
anetu,anetvs,NOM4,Case=Abl|Numb=Sing
puleiu,pvlevs,NOM2,Case=Gen|Numb=Sing
ciperum,ciper,NOM2,Case=Gen|Numb=Plur
aliu,alivs,PROind,Case=Abl|Numb=Sing
osprea,osprevm,NOM2,Case=Nom|Numb=Plur|Mood=Imp
samsucu,samsvcvs,NOM2,Case=Abl|Numb=Sing
innula,innvla,NOM1,Case=Nom|Numb=Sing
silpium,silpe,NOM3,Case=Gen|Numb=Plur
cardamomum,cardamomvs,NOM2,Case=Acc|Numb=Sing
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
