form,lemma,pos,morph
Tubulum,tvbvlvs,NOM2,Case=Acc|Numb=Sing
praetorem,praetor,NOM3,Case=Acc|Numb=Sing
uideo,video,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
L.,lvcivs,NOM2,Case=Abl|Numb=Sing
Metello,metellvs,NOM2,Case=Abl|Numb=Sing
Q.,qvintvs,NOM2,Case=Abl|Numb=Sing
Maximo,maximvs,NOM2,Case=Abl|Numb=Sing
consulibus,consvl,NOM3,Case=Abl|Numb=Plur
.,vnvs,ADJcar,Case=Gen|Numb=Plur
nunc,nvnc,ADV,Deg=Pos
uelim,volo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=1
P.,pvblivs,NOM2,Case=Nom|Numb=Sing
Scaeuola,scaevola,NOM1,Case=Voc|Numb=Sing
pontifex,pontifex,NOM3,Case=Nom|Numb=Sing
maximus,magnvs,ADJqua,Case=Nom|Numb=Sing|Deg=Sup
quibus,qvi,PROrel,Case=Abl|Numb=Plur
consulibus,consvl,NOM3,Case=Abl|Numb=Plur
tribunus,tribvnvs,NOM2,Case=Nom|Numb=Sing
pl,plebe,ADV,Deg=Sup
.,mille,ADJcar,Case=Acc|Numb=Plur
equidem,eqvidem,ADV,Deg=Pos
puto,pvto,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
proximis,propior,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
Caepione,caepio,NOM3,Case=Abl|Numb=Sing
et,et,CONcoo,MORPH=empty
Pompeio,pompeivs,NOM2,Case=Abl|Numb=Sing
;,o,PRE,MORPH=empty
praetor,praetor,NOM3,Case=Abl|Numb=Sing
enim,enim,CONcoo,MORPH=empty
L.,lvcivs,NOM2,Case=Abl|Numb=Sing
Furio,fvrivs,NOM2,Case=Dat|Numb=Sing
Sex,sex,NOM3,Case=Nom|Numb=Sing
.,qvadranta,ADJcar,Case=Acc|Numb=Plur
Atilio,atilivs,NOM2,Case=Dat|Numb=Sing
.,qvinqvaginta,ADJcar,Case=Acc|Numb=Plur
dabis,do,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=2
igitur,igitvr,CONcoo,MORPH=empty
