form,lemma,pos,morph
Tuditanum,tvditanvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
istum,iste,PROdem,Case=Acc|Numb=Sing
proauum,proavvs,NOM2,Case=Acc|Numb=Sing
Hortensi,hortensivs,NOM2,Case=Gen|Numb=Sing
plane,plane,ADV,Deg=Pos
non,non,ADVneg,MORPH=empty
noram,nosco,VER,Numb=Sing|Mood=Ind|Tense=Pqp|Voice=Act|Person=1
et,et,CONcoo,MORPH=empty
filium,filivs,NOM2,Case=Acc|Numb=Sing
qui,qvi,PROrel,Case=Nom|Numb=Sing
tum,tvm,ADV,Deg=Pos
non,non,ADVneg,MORPH=empty
potuerat,possvm,VER,Numb=Sing|Mood=Ind|Tense=Pqp|Voice=Act|Person=3
esse,svm,VER,Mood=Inf|Tense=Pres|Voice=Act
legatus,legatvs,NOM2,Case=Nom|Numb=Sing
fuisse,svm,VER,Mood=Inf|Tense=Perf|Voice=Act
putaram,pvto,VER,Numb=Sing|Mood=Ind|Tense=Pqp|Voice=Act|Person=1
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Mummium,mvmmivs,NOM2,Case=Acc|Numb=Sing
fuisse,svm,VER,Mood=Inf|Tense=Perf|Voice=Act
ad,ad,PRE,MORPH=empty
Corinthum,corinthvs,NOM2,Case=Acc|Numb=Sing
pro,pro,PRE,MORPH=empty
certo,certvm,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
habeo,habeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
.,vnvs,ADJcar,Case=Acc|Numb=Plur
saepe,saepe,ADV,Deg=Pos
enim,enim,CONcoo,MORPH=empty
hic,hic,PROdem,Case=Nom|Numb=Sing|Deg=Pos
Spurius,spvrivs,NOM2,Case=Nom|Numb=Sing
qui,qvi,PROrel,Case=Nom|Numb=Sing
nuper,nvper,ADV,Deg=Pos
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
epistulas,epistola,NOM1,Case=Acc|Numb=Plur
mihi,ego,PROper,Case=Dat|Numb=Sing
pronuntiabat,pronvntio,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
uersiculis,versicvlvs,NOM2,Case=Abl|Numb=Plur
facetis,facetvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
ad,ad,PRE,MORPH=empty
familiaris,familiaris,NOM3,Case=Acc|Numb=Plur|Deg=Pos
missas,mitto,VER,Case=Acc|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
a,ab,PRE,MORPH=empty
Corintho,corinthvs,NOM2,Case=Abl|Numb=Sing
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
sed,sed,CONcoo,MORPH=empty
non,non,ADVneg,MORPH=empty
dubito,dvbito,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
quin,qvin,CONsub,MORPH=empty
fratri,frater,NOM3,Case=Dat|Numb=Sing
fuerit,svm,VER,Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3
legatus,legatvs,NOM2,Case=Nom|Numb=Sing
non,non,ADVneg,MORPH=empty
in,in,PRE,MORPH=empty
decem,decem,ADJcar,Case=Ind
.,pentvm,ADJcar,Case=Acc|Numb=Plur
atque,atqve,CONcoo,MORPH=empty
hoc,hic,PROdem,Case=Acc|Numb=Sing
etiam,etiam,ADV,Deg=Pos
accepi,accipio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
non,non,ADVneg,MORPH=empty
solitos,solitvs,ADJqua,Case=Acc|Numb=Plur
maiores,maiores,NOM3,Case=Acc|Numb=Plur
nostros,noster,PROpos,Case=Acc|Numb=Plur
eos,is,PROdem,Case=Acc|Numb=Plur
legare,lego,VER,Mood=Inf|Tense=Pres|Voice=Act
in,in,PRE,MORPH=empty
decem,decem,ADJcar,Case=Ind
qui,qvi,PROrel,Case=Nom|Numb=Plur
essent,svm,VER,Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=3
imperatorum,imperator,NOM3,Case=Gen|Numb=Plur
necessarii,necessarivs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
ut,vt,ADVrel,MORPH=empty
nos,nos,PROper,Case=Nom|Numb=Plur
ignari,ignarvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
pulcherrimorum,pvlcher,ADJqua,Case=Gen|Numb=Plur|Deg=Sup
