form,lemma,pos,morph
litteras,littera,NOM1,Case=Acc|Numb=Plur
abs,ab,PRE,MORPH=empty
te,tv,PROper,Case=Abl|Numb=Sing
M.,marcvs,NOM2,Case=Nom|Numb=Sing
Calenius,calenivs,NOM2,Case=Nom|Numb=Sing
ad,ad,PRE,MORPH=empty
me,ego,PROper,Case=Acc|Numb=Sing
attulit,affero,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
a.,ante,PRE,MORPH=empty
d.,dies,NOM5,Case=Voc|Numb=Sing
xiiii,xiivs,NOM2,Case=Gen|Numb=Plur
Kal,kalendae,NOM2,Case=Nom
.,pes,ADJcar,Case=Acc|Numb=Plur
Martias,martivs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
;,,PRE,MORPH=empty
in,in,PRE,MORPH=empty
quibus,qvi,PROrel,Case=Abl|Numb=Plur
litteris,littera,NOM1,Case=Abl|Numb=Plur
scribis,scribo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
tibi,tv,PROper,Case=Dat|Numb=Sing
in,in,PRE,MORPH=empty
animo,animvs,NOM2,Case=Abl|Numb=Sing
esse,svm,VER,Mood=Inf|Tense=Pres|Voice=Act
obseruare,observo,VER,Mood=Inf|Tense=Pres|Voice=Act
Caesarem,caesar,NOM3,Case=Acc|Numb=Sing
et,et,CONcoo,MORPH=empty
si,si,CONsub,MORPH=empty
secundum,secvndvm,PRE,Case=Acc|Deg=Pos
mare,mare,NOM3,Case=Acc|Numb=Sing
ad,ad,PRE,MORPH=empty
me,ego,PROper,Case=Acc|Numb=Sing
ire,eo,VER,Mood=Inf|Tense=Pres|Voice=Act
coepisset,coepio,VER,Numb=Sing|Mood=Sub|Tense=Pqp|Voice=Act|Person=3
confestim,confestim,ADV,Deg=Pos
in,in,PRE,MORPH=empty
Samnium,samnivs,NOM2,Case=Acc|Numb=Sing
ad,ad,PRE,MORPH=empty
me,ego,PROper,Case=Acc|Numb=Sing
uenturum,venio,VER,Case=Acc|Numb=Sing|Mood=Inf|Tense=Fut|Voice=Act
sin,sin,CONsub,MORPH=empty
autem,avtem,CONcoo,MORPH=empty
ille,ille,PROdem,Case=Nom|Numb=Sing
circum,circvm,PRE,Deg=Pos
istaec,istic,PROdem,Case=Acc|Numb=Plur
loca,locvs,NOM2,Case=Acc|Numb=Plur
commoraretur,commoror,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Dep|Person=3
te,tv,PROper,Case=Acc|Numb=Sing
