form,lemma,pos,morph
HAEC,haecvs,NOM7,Case=Nom|Numb=Sing
tua,tvvs,PROpos,Case=Nom|Numb=Sing
Persephone,persephone,NOM7,Case=Voc|Numb=Sing
maneat,maneo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
clementia,clementia,NOM1,Case=Nom|Numb=Sing
nec,nec,CONcoo,MORPH=empty
tu,tv,PROper,Case=Nom|Numb=Sing
Persephonae,persephone,NOM1,Case=Gen|Numb=Sing
coniunx,conivx,NOM3,Case=Nom|Numb=Sing
saeuior,saevvs,ADJqua,Case=Nom|Numb=Sing|Deg=Comp
esse,svm,VER,Mood=Inf|Tense=Pres|Voice=Act
uelis,volo,NOM2,Numb=Sing|Tense=Pres|Voice=Act|Person=2
.,vnvs,ADJcar,Case=Acc|Numb=Plur
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
apud,apvd,PRE,MORPH=empty
infernos,inferni,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
tot,tot,PROdem,Case=Ind
milia,mille,ADJcar,Case=Nom|Numb=Plur
formosarum,formosvs,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
pulchra,pvlcher,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
sit,svm,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
in,in,PRE,MORPH=empty
superis,svperi,NOM2,Case=Abl|Numb=Plur
si,si,CONsub,MORPH=empty
licet,licet,CONsub,Mood=Ind|Voice=Act|Person=3
una,vnvs,ADJcar,Case=Nom|Numb=Sing
locis,locvs,NOM2,Case=Abl|Numb=Plur
uobiscum,vobiscvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Iope,iope,NOM7,Case=Nom|Numb=Sing
uobiscum,vobiscvs,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
candida,candidvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
Tyro,tyrvs,NOM2,Case=Abl|Numb=Sing
uobiscum,vobiscvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
Europe,evrope,NOM7,Case=Nom|Numb=Sing
nec,nec,CONcoo,MORPH=empty
proba,probvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
Pasiphae,pasiphae,NOM1,Case=Gen|Numb=Sing
et,et,CONcoo,MORPH=empty
quot,qvot,PROrel,Case=Ind
Troia,troia,NOM1,Case=Nom|Numb=Sing
tulit,fero,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
uetus,vetvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
et,et,CONcoo,MORPH=empty
quot,qvot,PROrel,Case=Ind
Achaia,achaia,NOM1,Case=Nom|Numb=Sing
formas,forma,NOM1,Case=Acc|Numb=Plur
et,et,CONcoo,MORPH=empty
Thebae,thebae,NOM1,Case=Gen|Numb=Plur
et,et,CONcoo,MORPH=empty
Priami,priamvs,NOM2,Case=Gen|Numb=Sing
diruta,dirvo,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
regna,regnvm,NOM2,Case=Nom|Numb=Plur
senis,senex,NOM3,Case=Gen|Numb=Sing
et,et,CONcoo,MORPH=empty
quaecumque,qvicvmqve,PROrel,Case=Nom|Numb=Sing
erat,svm,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
in,in,PRE,MORPH=empty
numero,nvmervs,NOM2,Case=Abl|Numb=Sing
Romana,romanvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
puella,pvella,NOM1,Case=Nom|Numb=Sing
occidit,occido,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
has,hic,PROdem,Case=Acc|Numb=Plur
omnis,omnis,PROind,Case=Acc|Numb=Plur
ignis,ignis,NOM3,Case=Acc|Numb=Plur
auarus,avarvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
habet,habeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
nec,nec,CONcoo,MORPH=empty
forma,forma,NOM1,Case=Nom|Numb=Sing
aeternum,aeternvm,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
aut,avt,CONcoo,MORPH=empty
