form,lemma,pos,morph
T.,titvs,NOM2,Case=Nom|Numb=Sing
Quinctius,qvintivs,NOM2,Case=Nom|Numb=Sing
Capitolinus,capitolinvs,NOM2,Case=Nom|Numb=Sing
quartum,qvartvs,ADJord,Case=Acc|Numb=Sing|Deg=Pos
et,et,CONcoo,MORPH=empty
Agrippa,agrippa,NOM1,Case=Abl|Numb=Sing
Furius,fvrivs,NOM2,Case=Nom|Numb=Sing
consules,consvl,NOM3,Case=Nom|Numb=Plur
inde,inde,ADV,Deg=Pos
facti,facio,VER,Case=Nom|Numb=Plur|Mood=Ind|Tense=Perf|Voice=Pass
nec,nec,CONcoo,MORPH=empty
seditionem,seditio,NOM3,Case=Acc|Numb=Sing
domi,domvs,NOM2,Case=Loc|Numb=Sing
nec,nec,CONcoo,MORPH=empty
foris,foris,ADV,Deg=Pos
bellum,bellvm,NOM2,Case=Acc|Numb=Sing
acceperunt,accipio,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
;,o,PRE,MORPH=empty
sed,sed,CONcoo,MORPH=empty
inminebat,immineo,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
utrumque,vterqve,PROind,Case=Acc|Numb=Sing
.,pes,ADJcar,Case=Acc|Numb=Plur
iam,iam,ADV,Deg=Pos
non,non,ADVneg,MORPH=empty
ultra,vltra,PRE,Deg=Pos
discordia,discordia,NOM1,Case=Nom|Numb=Sing
ciuium,civis,NOM3,Case=Gen|Numb=Plur
reprimi,reprimo,VER,Mood=Inf|Tense=Pres|Voice=Pass
poterat,possvm,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
tribunis,tribvnvs,NOM2,Case=Abl|Numb=Plur
et,et,CONcoo,MORPH=empty
plebe,plebs,NOM6,Case=Abl|Numb=Sing
incitata,incito,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
in,in,PRE,MORPH=empty
patres,pater,NOM3,Case=Acc|Numb=Plur
cum,cvm,CONsub,MORPH=empty
dies,dies,NOM5,Case=Acc|Numb=Plur
alicui,aliqvis,PROind,Case=Dat|Numb=Sing
nobilium,nobilis,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
dicta,dictvm,NOM2,Case=Acc|Numb=Plur
nouis,novvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
semper,semper,ADV,Deg=Pos
certaminibus,certamen,NOM3,Case=Abl|Numb=Plur
contiones,contio,NOM3,Case=Acc|Numb=Plur
turbaret,tvrbo,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
ad,ad,PRE,MORPH=empty
quorum,qvi,PROrel,Case=Gen|Numb=Plur
primum,primvs,ADJord,Deg=Sup
strepitum,strepitvs,NOM4,Case=Acc|Numb=Sing
uelut,velvt,ADVrel,MORPH=empty
signo,signvm,NOM2,Case=Abl|Numb=Sing
accepto,accipio,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
arma,arma,NOM2,Case=Acc|Numb=Plur
cepere,capio,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
Aequi,aeqvi,NOM2,Case=Nom|Numb=Plur
ac,ac,CONcoo,MORPH=empty
Volsci,volsci,NOM2,Case=Nom|Numb=Sing
simul,simvl,ADV,Deg=Pos
quod,qvod,CONsub,MORPH=empty
persuaserant,persvadeo,VER,Numb=Plur|Mood=Ind|Tense=Pqp|Voice=Act|Person=3
iis,is,PROdem,Case=Dat|Numb=Plur
duces,dvx,NOM3,Case=Nom|Numb=Plur
cupidi,cvpidvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
praedarum,praeda,NOM1,Case=Gen|Numb=Plur
biennio,biennivm,NOM2,Case=Abl|Numb=Sing
ante,ante,PRE,MORPH=empty
dilectum,dilectvs,NOM4,Case=Acc|Numb=Sing
indictuniindictum,indictvndvs,ADJqua,Case=Acc|Numb=Sing
haberi,habeo,VER,Mood=Inf|Tense=Pres|Voice=Pass
non,non,ADVneg,MORPH=empty
potuisse,possvm,VER,Mood=Inf|Tense=Perf|Voice=Act
abnuente,abnvo,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
iam,iam,ADV,Deg=Pos
plebe,plebs,NOM6,Case=Abl|Numb=Sing
imperium,imperivm,NOM2,Case=Acc|Numb=Sing
;,o,PRE,MORPH=empty
eo,is,PROdem,Case=Abl|Numb=Sing
aduersus,adversvs,PRE,MORPH=empty
se,svi,PROref,Case=Acc|Numb=Sing
non,non,ADVneg,MORPH=empty
esse,svm,VER,Mood=Inf|Tense=Pres|Voice=Act
missos,mitto,VER,Case=Acc|Numb=Plur|Mood=Inf|Tense=Perf|Voice=Pass
exercitus,exercitvs,NOM4,Case=Acc|Numb=Plur
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
dissolui,dissolvo,VER,Mood=Inf|Tense=Pres|Voice=Pass
licentia,licentia,NOM1,Case=Abl|Numb=Sing
militandi,milito,VER,Case=Gen|Numb=Sing|Mood=Ger|Voice=Dep
morem,mos,NOM3,Case=Acc|Numb=Sing
nec,nec,CONcoo,MORPH=empty
pro,pro,PRE,MORPH=empty
communi,commvnis,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
iam,iam,ADV,Deg=Pos
patria,patria,NOM1,Case=Abl|Numb=Sing
Romam,roma,NOM1,Case=Acc|Numb=Sing
esse,svm,VER,Mood=Inf|Tense=Pres|Voice=Act
.,vnvs,ADJcar,Case=Acc|Numb=Plur
quidquid,qvisqvis,PROrel,Case=Nom|Numb=Sing
irarum,ira,NOM1,Case=Gen|Numb=Plur
simultatium,simvltas,NOM3,Case=Gen|Numb=Plur
-que,qvivis,CONcoo,MORPH=empty
cum,cvm,PRE,MORPH=empty
externis,externi,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
fuerit,svm,VER,Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3
in,in,PRE,MORPH=empty
ipsos,ipse,PROdem,Case=Acc|Numb=Plur
uerti,verto,VER,Mood=Inf|Tense=Pres|Voice=Pass
.,qvadrantal,ADJcar,Case=Ind|Numb=Plur
occaecatos,occaeco,VER,Case=Acc|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
lupos,lvpvs,NOM2,Case=Acc|Numb=Plur
intestina,intestinvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
rabie,rabies,NOM5,Case=Abl|Numb=Sing
opprimendi,opprimo,VER,Case=Gen|Numb=Sing|Mood=Ger|Voice=Act
occasionem,occasio,NOM3,Case=Acc|Numb=Sing
esse,svm,VER,Mood=Inf|Tense=Pres|Voice=Act
.,vnvs,ADJcar,Case=Acc|Numb=Plur
coniunctis,conivngo,ADJqua,Case=Abl|Numb=Plur|Deg=Pos|Mood=Par|Voice=Pass
exercitibus,exercitvs,NOM4,Case=Abl|Numb=Plur
Latinum,latinvs,NOM2,Case=Acc|Numb=Sing
primum,primvm,ADJadv.ord,Deg=Sup
agrum,ager,NOM2,Case=Nom|Numb=Sing
perpopulati,perpopvlor,VER,Case=Nom|Numb=Plur|Tense=Perf|Voice=Dep
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
;,o,PRE,MORPH=empty
deinde,deinde,ADV,Deg=Pos
postquam,postqvam,CONsub,MORPH=empty
ibi,ibi,ADV,Deg=Pos
nemo,nemo,PROind,Case=Nom|Numb=Sing
uindex,vindex,NOM3,Case=Nom|Numb=Sing
occurrebat,occvrro,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
tum,tvm,ADV,Deg=Pos
uero,vero,CONcoo,MORPH=empty
exultantibusexsultantibus,exsvltanto,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
belli,bellvm,NOM2,Case=Gen|Numb=Sing
auctoribus,avctor,NOM3,Case=Abl|Numb=Plur
ad,ad,PRE,MORPH=empty
moenia,moenia,NOM3,Case=Acc|Numb=Plur
ipsa,ipse,PROdem,Case=Acc|Numb=Plur
Romae,roma,NOM1,Case=Loc|Numb=Sing
populabundi,popvlabvndvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
regione,regio,NOM3,Case=Abl|Numb=Sing
portae,porta,NOM1,Case=Nom|Numb=Plur
Esquilinae,esqvilinvs,NOM1,Case=Gen|Numb=Sing
accessere,accedo,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
uastationem,vastatio,NOM3,Case=Acc|Numb=Sing
agrorum,ager,NOM2,Case=Gen|Numb=Plur
per,per,PRE,MORPH=empty
contumeliam,contvmelia,NOM1,Case=Acc|Numb=Sing
urbi,vrbs,NOM3,Case=Dat|Numb=Sing
ostentantes,ostento,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
.,qvinqvaginta,ADJcar,Case=Acc|Numb=Plur
unde,vnde,ADVrel,MORPH=empty
postquam,postqvam,CONsub,MORPH=empty
inulti,invltvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
praedam,praeda,NOM1,Case=Acc|Numb=Sing
prae,prae,PRE,MORPH=empty
se,svi,PROref,Case=Abl|Numb=Sing
agentes,ago,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
retro,retro,ADV,Deg=Pos
ad,ad,PRE,MORPH=empty
Corbionem,corbio,NOM3,Case=Acc|Numb=Sing
agmine,agmen,NOM3,Case=Abl|Numb=Sing
iere,eo,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
Quinctius,qvintivs,NOM2,Case=Nom|Numb=Sing
consul,consvl,NOM3,Case=Nom|Numb=Sing
ad,ad,PRE,MORPH=empty
contionem,contio,NOM3,Case=Acc|Numb=Sing
populum,popvlvs,NOM2,Case=Acc|Numb=Sing
uocauit,voco,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
