form,lemma,pos,morph
Nec,nec,NOM3,Case=Nom|Numb=Sing
fonte,fons,NOM3,Case=Abl|Numb=Sing
labra,labrvm,NOM2,Case=Acc|Numb=Plur
prolui,prolvo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
caballino,caballinvs,NOM2,Case=Dat|Numb=Sing
nec,nec,CONcoo,MORPH=empty
in,in,PRE,MORPH=empty
bicipiti,bicipes,NOM3,Case=Abl|Numb=Sing|Deg=Pos
somniasse,somnio,VER,Mood=Inf|Tense=Perf|Voice=Act
Parnaso,parnasvs,NOM2,Case=Dat|Numb=Sing
memini,memini,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
ut,vt,CONsub,MORPH=empty
repente,repente,ADV,Deg=Pos
sic,sic,ADV,Deg=Pos
poeta,poeta,NOM1,Case=Abl|Numb=Sing
prodirem,prodeo,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=1
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Heliconidas,heliconidae,NOM7,Case=Acc|Numb=Plur
-que,qvove,CONcoo,MORPH=empty
pallidam,pallidvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
-que,qvivis,ADV,MORPH=empty
Pirene,pirene,NOM2,Case=Voc|Numb=Sing
-ne,ne,CONsub,MORPH=empty
illis,ille,PROdem,Case=Abl|Numb=Plur
remitto,remitto,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
quorum,qvi,PROrel,Case=Gen|Numb=Plur
imagines,imago,NOM3,Case=Acc|Numb=Plur
lambunt,lambo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
hederae,hedera,NOM1,Case=Nom|Numb=Plur
sequaces,seqvax,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
ipse,ipse,PROdem,Case=Nom|Numb=Sing
semipaganus,semipaganvs,NOM2,Case=Nom|Numb=Sing
ad,ad,PRE,MORPH=empty
sacra,sacrvm,NOM2,Case=Acc|Numb=Plur|Deg=Pos
uatum,vates,NOM3,Case=Gen|Numb=Plur
carmen,carmen,NOM3,Case=Acc|Numb=Sing
adfero,affero,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
nostrum,noster,PROpos,Case=Acc|Numb=Sing
.,vnvs,ADJcar,Case=Acc|Numb=Plur
quis,qvis,PROint,Case=Nom|Numb=Sing
expediuit,expedio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
psittaco,psittacvs,VER,Numb=Sing|Voice=Act
suum,svvs,PROpos.ref,Case=Acc|Numb=Sing
chaere,chaervs,ADV,Numb=Sing
picam,pica,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=1
-que,qvavis,CONcoo,MORPH=empty
docuit,doceo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
uerba,verbvm,NOM2,Case=Acc|Numb=Plur
nostra,noster,PROpos,Case=Acc|Numb=Plur
conari,conor,VER,Mood=Inf|Tense=Pres|Voice=Dep
magister,magister,NOM2,Case=Nom|Numb=Sing
artis,ars,NOM3,Case=Gen|Numb=Sing
ingeni,ingenivm,NOM2,Case=Gen|Numb=Sing
-que,qvisqve,CONcoo,MORPH=empty
largitor,largitor,NOM3,Case=Nom|Numb=Sing
uenter,venter,NOM3,Case=Nom|Numb=Sing
negatas,nego,VER,Case=Acc|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
artifex,artifex,NOM3,Case=Nom|Numb=Sing
sequi,seqvor,VER,Mood=Inf|Tense=Pres|Voice=Dep
uoces,vox,NOM3,Case=Acc|Numb=Plur
;,o,INJ,MORPH=empty
quod,qvi,PROrel,Case=Acc|Numb=Sing
si,si,CONsub,MORPH=empty
dolosi,dolosvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
spes,spes,NOM5,Case=Nom|Numb=Sing
refulserit,refvlgeo,VER,Numb=Sing|Mood=Sub|Tense=Fut|Voice=Act|Person=3
nummi,nvmvs,NOM2,Case=Gen|Numb=Sing
coruos,corvvs,NOM2,Case=Acc|Numb=Plur
poetas,poeta,NOM1,Case=Acc|Numb=Plur
et,et,CONcoo,MORPH=empty
poetridas,poetridvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
picas,pica,VER,Case=Acc|Numb=Sing|Tense=Pres|Voice=Act|Person=2
cantare,canto,VER,Mood=Inf|Tense=Pres|Voice=Act
credas,credo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=2
Pegaseium,pegaseivs,NOM2,Case=Acc|Numb=Sing
nectar,nectar,NOM3,Case=Nom|Numb=Sing
.,vnvs,ADJcar,Case=Acc|Numb=Plur
