form,lemma,pos,morph
Adhuc,adhvc,NOM7,Case=Nom|Numb=Sing
supersunt,svpersvm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
multa,mvltvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
quae,qvi,PROrel,Case=Acc|Numb=Plur
possim,possvm,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=1
loqui,loqvor,VER,Mood=Inf|Tense=Pres|Voice=Dep
Et,et,CONcoo,MORPH=empty
copiosa,copiosvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
abundat,abvndo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
rerum,res,NOM5,Case=Gen|Numb=Plur
uarietas,varietas,NOM3,Case=Nom|Numb=Sing
;,o,PRE,MORPH=empty
Sed,sedes,NOM3,Case=Acc|Numb=Sing
temperatae,temperatvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
suaues,svavis,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
argutiae,argvtia,NOM1,Case=Nom|Numb=Plur
Immodicae,immodicvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
offendunt,offendo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.,qvinqvaginta,ADJcar,Case=Ind|Numb=Plur
Quare,qvaris,NOM3,Numb=Sing
uir,vir,NOM2,Case=Nom|Numb=Sing
sanctissime,sanctvs,ADJqua,Case=Voc|Numb=Sing|Deg=Sup
Particulo,particvlvs,NOM2,Case=Abl|Numb=Sing
chartis,charta,NOM1,Case=Abl|Numb=Plur
nomen,nomen,NOM3,Case=Acc|Numb=Sing
uicturum,vivo,VER,Case=Acc|Numb=Sing|Mood=Inf|Tense=Fut|Voice=Act
meis,mevs,PROpos,Case=Dat|Numb=Plur
Latinis,latinvs,NOM2,Case=Dat|Numb=Plur
dum,dvm,CONsub,MORPH=empty
manebit,maneo,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
pretium,pretivm,NOM2,Case=Acc|Numb=Sing
litteris,littera,NOM1,Case=Abl|Numb=Plur
Si,sivs,NOM2,Numb=Sing
non,non,ADVneg,MORPH=empty
ingenium,ingenivm,NOM2,Case=Acc|Numb=Sing
certe,certe,ADV,Deg=Pos
breuitatem,brevitas,NOM3,Case=Acc|Numb=Sing
approba,approbo,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
Quae,qva,PROrel,Case=Dat|Numb=Sing
commendari,commendo,VER,Mood=Inf|Tense=Pres|Voice=Pass
tanto,tanto,ADV,MORPH=empty
debet,debeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
iustius,ivste,ADJqua,Deg=Comp
Quanto,qvantvs,NOM2,Case=Dat|Numb=Sing
poetae,poeta,NOM1,Case=Nom|Numb=Sing
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
molesti,molestvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
ualidius,validvs,ADJqua,Case=Nom|Deg=Comp
.,vnvs,ADJcar,Case=Acc|Numb=Plur
