form,lemma,pos,morph
Aesopi,aesopvs,NOM2,Case=Gen|Numb=Sing
nomen,nomen,NOM3,Case=Acc|Numb=Sing
sicubi,sicvbi,CONsub,Deg=Pos
interposuero,interpono,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=1
Cui,cvivs,NOM2,Case=Gen|Numb=Sing
reddidi,reddo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
iam,iam,ADV,Deg=Pos
pridem,pridem,ADV,Deg=Pos
quicquid,qvisqvis,PROrel,Case=Acc|Numb=Sing
debui,debeo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=1
Auctoritatis,avctoritas,NOM3,Case=Gen|Numb=Sing
esse,svm,VER,Mood=Inf|Tense=Pres|Voice=Act
scito,scio,VER,Numb=Sing|Mood=Imp|Tense=Fut|Voice=Act|Person=2
gratia,gratia,NOM1,Case=Abl|Numb=Sing
Vt,vt,ADVint,Case=Ind
quidam,qvidam,PROind,Case=Nom|Numb=Plur
artifices,artifex,NOM3,Case=Acc|Numb=Plur
nostro,noster,PROpos,Case=Abl|Numb=Sing
faciunt,facio,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
saeculo,saecvlvm,NOM2,Case=Abl|Numb=Sing
Qui,qvi,PROrel,Case=Nom|Numb=Sing
pretium,pretivm,NOM2,Case=Acc|Numb=Sing
operibus,opvs,NOM3,Case=Abl|Numb=Plur
maius,magnvs,ADJqua,Case=Acc|Numb=Sing|Deg=Comp
inueniunt,invenio,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
nouis,novvs,ADJqua,Case=Dat|Numb=Plur|Deg=Pos
Si,sivs,NOM2,Case=Nom|Numb=Sing
marmori,marmor,NOM3,Case=Dat|Numb=Sing
ascripserunt,ascribo,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
Praxitele,praxiteles,NOM2,Case=Voc|Numb=Sing
-ne,one,CONsub,MORPH=empty
suo,svvs,PROpos.ref,Case=Abl|Numb=Sing
Trito,tritvs,NOM2,Case=Abl|Numb=Sing
Myronem,myron,NOM3,Case=Acc|Numb=Sing
argento,argentvm,NOM2,Case=Abl|Numb=Sing
tabulae,tabvla,NOM1,Case=Nom|Numb=Plur
Zeuxidem,zevxis,NOM3,Case=Acc|Numb=Sing
.,qvintvs,ADJcar,Case=Gen|Numb=Plur
Adeo,adeo,NOM2,Case=Dat|Numb=Sing
fucatae,fvco,VER,Case=Dat|Numb=Plur|Mood=Par|Tense=Perf
plus,mvltvm,ADV,Deg=Comp
uetustati,vetvstas,NOM3,Case=Dat|Numb=Sing
fauet,faveo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Inuidia,invidia,NOM1,Case=Nom|Numb=Sing
mordax,mordax,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
quam,qvam,ADVrel,MORPH=empty
bonis,bonvm,NOM2,Case=Abl|Numb=Plur
praesentibus,praesens,ADJqua,Case=Dat|Numb=Plur|Deg=Pos
.,vnvs,ADJcar,Case=Dat|Numb=Plur
Sed,sedes,NOM7,Numb=Sing
iam,iam,ADV,Deg=Pos
ad,ad,PRE,MORPH=empty
fabellam,fabella,NOM1,Case=Acc|Numb=Sing
talis,talis,PROdem,Case=Gen|Numb=Sing
exempli,exemplvm,NOM2,Case=Gen|Numb=Sing
feror,fero,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=1
.,vnvs,ADJcar,Case=Acc|Numb=Plur
