form,lemma,pos,morph
Vnam,vna,NOM1,Case=Acc|Numb=Sing
expetebant,expeto,VER,Numb=Plur|Mood=Ind|Tense=Impa|Voice=Act|Person=3
uirginem,virgo,NOM3,Case=Acc|Numb=Sing
iuuenes,ivvenis,NOM3,Case=Acc|Numb=Plur
duo,dvo,ADJcar,Case=Acc|Numb=Plur
;,o,INJ,MORPH=empty
Vicit,vinco,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
locuples,locvples,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
genus,genvs,NOM3,Case=Nom|Numb=Sing
et,et,CONcoo,MORPH=empty
formam,forma,NOM1,Case=Acc|Numb=Sing
pauperis,pavper,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
.,vnvs,ADJcar,Case=Gen|Numb=Sing
Vt,vt,ADJcar,MORPH=empty
nuptiarum,nvptiae,NOM1,Case=Gen|Numb=Plur
dictus,dico,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
aduenit,advenio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
dies,dies,NOM5,Case=Acc|Numb=Plur
Amans,amans,ADJqua,Case=Nom|Numb=Sing
dolorem,dolor,NOM3,Case=Acc|Numb=Sing
quia,qvia,CONsub,MORPH=empty
non,non,ADVneg,MORPH=empty
poterat,possvm,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
perpeti,perpetior,VER,Mood=Inf|Tense=Pres|Voice=Dep
Maerens,maerens,NOM3,Case=Nom|Numb=Sing
propinquos,propinqvi,NOM2,Case=Acc|Numb=Plur
contulit,confero,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
se,svi,PROref,Case=Acc|Numb=Sing
in,in,PRE,MORPH=empty
hortulos,hortvlvs,NOM2,Case=Acc|Numb=Plur
Quos,qvi,NOM2,Case=Acc|Numb=Plur
ultra,vltra,ADV,Deg=Pos
paulo,pavlo,ADV,Deg=Pos
uilla,villa,NOM1,Case=Abl|Numb=Sing
splendida,splendidvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
diuitis,dives,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
Erat,erat,VER,Numb=Sing|Tense=Pres|Person=3
acceptura,accipio,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Fut|Voice=Act
uirginem,virgo,NOM3,Case=Acc|Numb=Sing
e,ex,PRE,MORPH=empty
matris,mater,NOM3,Case=Gen|Numb=Sing
