form,lemma,pos,morph
lumina,lvmen,NOM3,Case=Acc|Numb=Plur
Nestorei,nestorevs,NOM2,Case=Gen|Numb=Sing
mitis,mitis,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
prudentia,prvdentia,NOM1,Case=Nom|Numb=Sing
Crispi,crispvs,NOM2,Case=Gen|Numb=Sing
et,et,CONcoo,MORPH=empty
Fabius,fabivs,NOM2,Case=Nom|Numb=Sing
Veiento,veiento,NOM3,Case=Nom|Numb=Sing
potentem,potens,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
signat,signo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
utrumque,vterqve,PROind,Case=Acc|Numb=Sing
purpura,pvrpvra,NOM1,Case=Abl|Numb=Sing
ter,ter,ADJadv.mul,MORPH=empty
memores,memor,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
implerunt,impleo,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
nomine,nomen,NOM3,Case=Abl|Numb=Sing
fastos,fasti,NOM2,Case=Acc|Numb=Plur
et,et,CONcoo,MORPH=empty
prope,prope,ADV,Deg=Pos
Caesareae,caesarevs,NOM1,Case=Dat|Numb=Sing|Deg=Pos
confinis,confinis,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
Acilius,acilivs,NOM2,Case=Nom|Numb=Sing
aulae,avla,NOM1,Case=Gen|Numb=Sing
.,qvadrantal,ADJcar,Case=Gen|Numb=Plur
