form,lemma,pos,morph
Commisso,commissvs,NOM2,Case=Dat|Numb=Sing
mihi,ego,PROper,Case=Dat|Numb=Sing
non,non,ADVneg,MORPH=empty
satis,satis,ADV,Deg=Pos
modestas,modestvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
quicumque,qvicvmqve,PROrel,Case=Nom|Numb=Sing
attulerit,affero,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
manus,manvs,NOM4,Case=Acc|Numb=Plur
agello,agellvs,NOM2,Case=Abl|Numb=Sing
is,is,PROdem,Case=Nom|Numb=Sing
me,ego,PROper,Case=Acc|Numb=Sing
sentiet,sentio,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
esse,svm,VER,Mood=Inf|Tense=Pres|Voice=Act
non,non,ADVneg,MORPH=empty
spadonem,spado,NOM3,Case=Acc|Numb=Sing
.,vnvs,ADJcar,Case=Acc|Numb=Sing
dicat,dico,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
forsitan,forsitan,ADV,Deg=Pos
haec,hic,PROdem,Case=Acc|Numb=Plur
sibi,svi,PROref,Case=Dat|Numb=Sing
ipse,ipse,PROdem,Case=Nom|Numb=Sing
nemo,nemo,PROind,Case=Nom|Numb=Sing
hic,hic,ADV,MORPH=empty
inter,inter,PRE,MORPH=empty
frutices,frvtex,NOM3,Case=Acc|Numb=Plur
loco,locvs,NOM2,Case=Abl|Numb=Sing
remoto,removeo,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
percisum,percido,VER,Case=Acc|Numb=Sing|Mood=Par|Tense=Fut|Voice=Pass
sciet,scio,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
esse,svm,VER,Mood=Inf|Tense=Pres|Voice=Act
me,ego,PROper,Case=Acc|Numb=Sing
sed,sed,CONcoo,MORPH=empty
errat,erro,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
magnis,magnvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
testibus,testis,NOM3,Case=Abl|Numb=Plur
ista,iste,PROdem,Case=Nom|Numb=Sing
res,res,NOM5,Case=Nom|Numb=Sing
agetur,ago,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Pass|Person=3
.,qvintvs,ADJcar,Case=Acc|Numb=Sing
