form,lemma,pos,morph
cisc.rrei,ciscarrevs,NOM2,Case=Nom|Numb=Plur
...,tres,ADJcar,Case=Acc|Numb=Plur
tre,tres,ADJcar,Case=Abl|Numb=Sing
........,malendaevm,NOM2,Case=Gen|Numb=Sing
rliti,rlio,VER,Numb=Plur
....,maelvs,NOM2,Case=Gen|Numb=Sing
umci,vmcvs,VER,MORPH=empty
..,mille,NOM2,Case=Acc|Numb=Sing
i.a,is,PROdem,Case=Abl|Numb=Sing
..,mille,NOM2,Case=Nom|Numb=Sing
n,ne,CONsub,MORPH=empty
.....,malenvs,NOM2,Case=Nom|Numb=Sing
e,ex,PRE,MORPH=empty
...,tior,NOM2,Case=Abl|Numb=Sing
m,mvm,ADV,MORPH=empty
.........,malendae,NOM1,Case=Abl|Numb=Sing
ra,ra,NOM1,Case=Abl|Numb=Sing
..........,malentae,NOM1,Case=Abl|Numb=Sing
e,ex,PRE,MORPH=empty
....,maereo,NOM2,Case=Abl|Numb=Sing
a,ab,PRE,MORPH=empty
.....,pvmervs,NOM2,Case=Abl|Numb=Sing
m,mam,ADV,MORPH=empty
.......,malendae,NOM1,Case=Abl|Numb=Sing
cc,cci,CONsub,MORPH=empty
...................,maitvs,NOM1,Case=Abl|Numb=Sing|Deg=Sup
r,ro,NOM3,Case=Abl|Numb=Sing
..................,mille,NOM1,Case=Gen|Numb=Sing|Deg=Sup
celo.t.t,celoo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Person=3
.......,malendola,NOM2,Case=Gen|Numb=Sing
itinti,itens,VER,Case=Dat|Numb=Sing|Mood=Par
........................,malendoe,NOM1,Case=Acc|Numb=Plur
e.e,eo,PROdem,Case=Nom|Numb=Plur
...........,mille,NOM1,Case=Nom|Numb=Plur|Deg=Sup
eres,svm,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=2
.......,malendola,NOM2,Case=Gen|Numb=Sing
em,hem,ADV,MORPH=empty
..............,malendaevm,NOM1,Case=Gen|Numb=Sing
cis.i,ciservir,NOM2,Case=Gen|Numb=Sing
.........................,mille,NOM2,Case=Acc|Numb=Sing
coii,coivs,NOM2,Case=Dat|Numb=Sing
...,trebienta,NOM2,Case=Abl|Numb=Plur
reite,reitvs,VER,Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2
...,treber,ADJcar,Case=Acc
i,eo,VER,Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act
......,mille,NOM2,Case=Acc|Numb=Plur
t,tv,CONcoo,MORPH=empty
...........,mille,NOM1,Case=Acc|Numb=Plur
c,ce,CONsub,MORPH=empty
..,mille,NOM2,Case=Nom|Numb=Sing
sis,svm,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=2
......,mille,NOM2,Case=Acc|Numb=Plur
ni,ni,CONsub,MORPH=empty
.....,malenvs,NOM2,Case=Acc|Numb=Plur
is,is,PROdem,Case=Nom|Numb=Plur
.........,malendae,NOM2,Case=Acc|Numb=Plur
ostenderent,ostendo,VER,Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=3
libelli,libellvs,NOM2,Case=Nom|Numb=Plur
..................,mille,NOM2,Case=Gen|Numb=Sing|Deg=Sup
..........,maleor,NOM2,Case=Abl|Numb=Sing|Deg=Sup
r,ros,NOM3,Case=Abl
.........,malenvs,NOM2,Case=Gen|Numb=Sing
