form,lemma,pos,morph
Senatui,senatvs,NOM2,Case=Gen|Numb=Sing
qui,qvi,PROrel,Case=Nom|Numb=Sing
censebat,censeo,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
nihil,nihil,PROind,Case=Ind
ipsum,ipse,PROdem,Case=Acc|Numb=Sing
facere,facio,VER,Mood=Inf|Tense=Pres|Voice=Act
nisi,nisi,CONsub,MORPH=empty
quod,qvi,CONsub,MORPH=empty
illa,ille,PROdem,Case=Nom|Numb=Plur
suasissent,svadeo,VER,Numb=Plur|Mood=Sub|Tense=Pqp|Voice=Act|Person=3
placuit,placeo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
id,is,PROdem,Case=Acc|Numb=Sing
quod,qvi,PROrel,Case=Nom|Numb=Sing
numquam,nvmqvam,ADVneg,MORPH=empty
alias,alias,ADV,Deg=Pos
pro,pro,PRE,MORPH=empty
collegio,collegivm,NOM2,Case=Abl|Numb=Sing
quid,qvis,PROint,Case=Nom|Numb=Sing
in,in,PRE,MORPH=empty
libris,liber,NOM2,Case=Abl|Numb=Plur
fatalibus,fatalis,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
scriptum,scribo,VER,Case=Nom|Numb=Sing|Mood=Sub|Tense=Perf|Voice=Pass
esset,svm,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
palam,palam,ADV,Deg=Pos
recitare,recito,VER,Mood=Inf|Tense=Pres|Voice=Act
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Constabat,consto,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
notari,noto,VER,Mood=Inf|Tense=Pres|Voice=Pass
carmine,carmen,NOM3,Case=Abl|Numb=Sing
Cinna,cinna,NOM1,Case=Abl|Numb=Sing
sex,sex,ADJcar,Case=Ind
-que,qvovs,CONcoo,MORPH=empty
tribunis,tribvnvs,NOM2,Case=Abl|Numb=Plur
patria,patria,NOM1,Case=Abl|Numb=Sing
pulsis,pello,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
tranquillum,tranqvillvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
otium,otivm,NOM2,Case=Acc|Numb=Sing
et,et,CONcoo,MORPH=empty
securitatem,secvritas,NOM3,Case=Acc|Numb=Sing
futuram,svm,VER,Case=Acc|Numb=Sing|Mood=Inf|Tense=Fut|Voice=Act
.,pes,ADJcar,Case=Acc|Numb=Sing
Et,et,CONcoo,MORPH=empty
erat,svm,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
auspicium,avspicivm,NOM2,Case=Nom|Numb=Sing
et,et,CONcoo,MORPH=empty
superiore,svpervs,ADJqua,Case=Abl|Numb=Sing|Deg=Comp
casu,casvs,NOM4,Case=Abl|Numb=Sing
Mario,marivs,NOM2,Case=Abl|Numb=Sing
oblatum,offero,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Pass
.,qvadranta,ADJcar,Case=Acc|Numb=Plur
Nam,nam,NOM1,MORPH=empty
cum,cvm,CONsub,MORPH=empty
de,de,PRE,MORPH=empty
conclaui,conclave,NOM2,Case=Abl|Numb=Sing
fugiens,fvgio,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
barbarus,barbarvs,NOM2,Case=Nom|Numb=Sing
apertum,apertvs,VER,Case=Acc|Numb=Sing|Deg=Pos
reliquisset,relinqvo,VER,Numb=Sing|Mood=Sub|Tense=Pqp|Voice=Act|Person=3
egressus,egredior,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Dep
uidet,video,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
asellum,asellvs,NOM2,Case=Acc|Numb=Sing
forte,forte,ADV,Deg=Pos
obiectis,obicio,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
