form,lemma,pos,morph
lis,lis,NOM3,Case=Nom|Numb=Sing
admonitus,admoneo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
contendere,contendo,VER,Mood=Inf|Tense=Pres|Voice=Act
refugit,refvgio,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
Et,et,CONcoo,MORPH=empty
Pompeius,pompeivs,NOM2,Case=Nom|Numb=Sing
annos,annvs,NOM2,Case=Acc|Numb=Plur
natus,nascor,VER,Case=Nom|Numb=Sing|Mood=Ind|Tense=Perf|Voice=Dep
XXV,qvinqve,ADJcar,Case=Ind
eques,eqves,NOM3,Case=Nom|Numb=Sing
Romanus,romanvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
quod,qvi,PROrel,Case=Acc
nemo,nemo,PROind,Case=Nom|Numb=Sing
antea,antea,ADV,Deg=Pos
pro,pro,PRE,MORPH=empty
praetore,praetor,NOM3,Case=Abl|Numb=Sing
ex,ex,PRE,MORPH=empty
Africa,africa,NOM1,Case=Abl|Numb=Sing
triumphauit,trivmpho,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
IIII,qvatvor,ADJcar,Case=Ind
idus,idvs,NOM4,Case=Acc|Numb=Plur
Martias,martivs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
Quidam,qvidam,PROind,Case=Acc|Numb=Sing
memorant,memoro,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
eo,is,PROdem,Case=Abl|Numb=Sing
die,dies,NOM5,Case=Abl|Numb=Sing
populum,popvlvs,NOM2,Case=Acc|Numb=Sing
Romanum,romanvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
elephantos,elephantvs,NOM2,Case=Acc|Numb=Plur
in,in,PRE,MORPH=empty
triumpho,trivmphvs,NOM2,Case=Abl|Numb=Sing
uidisse,video,VER,Mood=Inf|Tense=Perf|Voice=Act
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Sed,sed,NOM7,Case=Acc|Numb=Sing
cum,cvm,CONsub,MORPH=empty
urbem,vrbs,NOM3,Case=Acc|Numb=Sing
ingrederetur,ingredior,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Dep|Person=3
minorem,parvvs,ADJqua,Case=Acc|Numb=Sing|Deg=Comp
fuisse,svm,VER,Mood=Inf|Tense=Perf|Voice=Act
elephantis,elephantvs,NOM2,Case=Abl|Numb=Plur
quattuor,qvatvor,ADJcar,Case=Ind
ad,ad,PRE,MORPH=empty
currum,cvrrvs,NOM4,Case=Acc|Numb=Sing
iunctis,ivngo,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
portam,porta,NOM1,Case=Acc|Numb=Sing
triumphalem,trivmphalis,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
quamquam,qvamqvam,CONsub,MORPH=empty
bis,bis,ADJadv.mul,MORPH=empty
experirentur,experior,VER,Numb=Plur|Mood=Sub|Tense=Impa|Voice=Dep|Person=3
.,qvadranta,ADJcar,Case=Acc|Numb=Plur
Et,et,CONcoo,MORPH=empty
Licinius,licinivs,NOM2,Case=Nom|Numb=Sing
et,et,CONcoo,MORPH=empty
Terentius,terentivs,NOM2,Case=Nom|Numb=Sing
Luculli,lvcvllvs,NOM2,Case=Gen|Numb=Sing
fratres,frater,NOM3,Case=Nom|Numb=Plur
aediles,aedilis,NOM3,Case=Nom|Numb=Plur
curules,cvrvlis,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
munere,mvnvs,NOM3,Case=Abl|Numb=Sing
suo,svvs,PROpos.ref,Case=Abl|Numb=Sing
taurorum,tavrvs,NOM2,Case=Gen|Numb=Plur
proelium,proelivm,NOM2,Case=Acc|Numb=Sing
aduersus,adversvs,PRE,MORPH=empty
elephantos,elephantvs,NOM2,Case=Acc|Numb=Plur
dederunt,do,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
Id,idvs,ADJcar,Case=Acc|Numb=Sing
ante,ante,ADV,Deg=Pos
Claudius,clavdivs,NOM2,Case=Nom|Numb=Sing
aedilis,aedilis,NOM3,Case=Nom|Numb=Sing
in,in,PRE,MORPH=empty
circo,circvs,NOM2,Case=Abl|Numb=Sing
ludis,lvdvs,NOM2,Case=Abl|Numb=Plur
circensibus,circenses,NOM3,Case=Abl|Numb=Plur
exhibuerat,exhibeo,VER,Numb=Sing|Mood=Ind|Tense=Pqp|Voice=Act|Person=3
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Et,et,CONcoo,MORPH=empty
Volaterrani,volaterrani,NOM2,Case=Nom|Numb=Plur
se,svi,PROref,Case=Acc|Numb=Sing
