form,lemma,pos,morph
Gauium,gavivs,NOM2,Case=Acc|Numb=Sing
Bassum,bassvs,NOM2,Case=Acc|Numb=Sing
domine,dominvs,NOM2,Case=Voc|Numb=Sing
praefectum,praefectvs,NOM2,Case=Acc|Numb=Sing
orae,ora,NOM1,Case=Gen|Numb=Sing
Ponticae,ponticvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
integrum,integer,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
probum,probvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
industrium,indvstrivs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
atque,atqve,CONcoo,MORPH=empty
inter,inter,PRE,MORPH=empty
ista,iste,PROdem,Case=Acc|Numb=Plur
reuerentissimum,reverens,ADJqua,Case=Acc|Numb=Sing|Deg=Sup
mei,mevs,PROpos,Case=Gen|Numb=Sing
expertus,experior,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Dep
uoto,votvm,NOM2,Case=Abl|Numb=Sing
pariter,pariter,ADV,Deg=Pos
et,et,CONcoo,MORPH=empty
suffragio,svffragivm,NOM2,Case=Abl|Numb=Sing
prosequor,proseqvor,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=1
ea,is,PROdem,Case=Abl|Numb=Sing
fide,fides,NOM5,Case=Abl|Numb=Sing
quam,qvi,PROrel,Case=Acc|Numb=Sing
tibi,tv,PROper,Case=Dat|Numb=Sing
debeo,debeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
.,vnvs,ADJcar,Case=Acc|Numb=Plur
