form,lemma,pos,morph
Ego,ego,NOM3,Case=Nom|Numb=Sing
propter,propter,PRE,MORPH=empty
eos,is,PROdem,Case=Acc|Numb=Plur
qui,qvi,PROrel,Case=Nom|Numb=Plur
pro,pro,PRE,MORPH=empty
peccato,peccatvm,NOM2,Case=Abl|Numb=Sing
unius,vnvs,ADJcar,Case=Gen|Numb=Sing
animae,anima,NOM1,Case=Gen|Numb=Sing
totam,totvs,PROind,Case=Acc|Numb=Sing
domum,domvs,NOM6,Case=Acc|Numb=Sing
eius,is,PROdem,Case=Gen|Numb=Sing
id,is,PROdem,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
plurimas,mvltvs,ADJqua,Case=Acc|Numb=Plur|Deg=Sup
animas,anima,NOM1,Case=Acc|Numb=Plur
anathemate,anathemate,NOM3,Case=Abl|Numb=Plur
ligant,ligo,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
maxime,magis,ADV,Deg=Sup
ne,ne,CONsub,MORPH=empty
ibi,ibi,ADV,Deg=Pos
quisquam,qvisqvam,PROind,Case=Nom|Numb=Sing
sine,sine,PRE,MORPH=empty
baptismate,baptisma,NOM3,Case=Abl|Numb=Sing
de,de,PRE,MORPH=empty
corpore,corpvs,NOM3,Case=Abl|Numb=Sing
abscedat,abscedo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
utrum,vtrvm,ADVint,MORPH=empty
non,non,ADVneg,MORPH=empty
etiam,etiam,ADV,Deg=Pos
de,de,PRE,MORPH=empty
ecclesia,ecclesivm,ADJqua,Case=Abl|Numb=Plur
pellendi,pello,VER,Case=Gen|Numb=Sing|Mood=Adj|Voice=Act
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
qui,qvi,PROrel,Case=Nom|Numb=Plur
eo,eo,ADV,Deg=Pos
confugiunt,confvgio,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
ut,vt,CONsub,MORPH=empty
fidem,fides,NOM5,Case=Acc|Numb=Sing
fideiussoribus,fideivs,NOM3,Case=Dat|Numb=Plur
frangant,frango,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
adiuuante,adivvo,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
domino,dominvs,NOM2,Case=Abl|Numb=Sing
et,et,CONcoo,MORPH=empty
in,in,PRE,MORPH=empty
concilio,concilivm,NOM2,Case=Abl|Numb=Sing
nostro,noster,PROpos,Case=Abl|Numb=Sing
agere,ago,VER,Mood=Inf|Tense=Pres|Voice=Act
cupio,cvpio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
et,et,CONcoo,MORPH=empty
si,si,CONsub,MORPH=empty
opus,opvs,NOM6,Case=Ind
fuerit,svm,VER,Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3
ad,ad,PRE,MORPH=empty
sedem,sedes,NOM3,Case=Acc|Numb=Sing
apostolicam,apostolicvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
scribere,scribo,VER,Mood=Inf|Tense=Pres|Voice=Act
ut,vt,CONsub,MORPH=empty
in,in,PRE,MORPH=empty
his,hic,PROdem,Case=Abl|Numb=Plur
causis,cavsa,NOM1,Case=Abl|Numb=Plur
quid,qvis,PROint,Case=Acc|Numb=Sing
sequi,seqvor,VER,Mood=Inf|Tense=Pres|Voice=Dep
debeamus,debeo,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=1
concordi,concors,ADJqua,Case=Dat|Numb=Sing|Deg=Pos
omnium,omnis,PROind,Case=Gen|Numb=Plur
auctoritate,avctoritas,NOM3,Case=Abl|Numb=Sing
constituatur,constitvo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
atque,atqve,CONcoo,MORPH=empty
firmetur,firmo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
.,pes,ADJcar,Case=Acc|Numb=Plur
illud,ille,PROdem,Case=Acc|Numb=Sing
plane,plane,ADV,Deg=Pos
non,non,ADVneg,MORPH=empty
temere,temere,ADV,Deg=Pos
dixerim,dico,VER,Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=1
quod,qvod,CONsub,MORPH=empty
si,si,CONsub,MORPH=empty
quisquam,qvisqvam,PROind,Case=Nom|Numb=Sing
fidelium,fidelis,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
fuerit,svm,VER,Numb=Sing|Mood=Sub|Tense=Fut|Voice=Act|Person=3
anathematus,anathematvs,NOM4,Case=Nom|Numb=Sing
iniuste,inivste,ADV,Deg=Pos
ei,is,PROdem,Case=Dat|Numb=Sing
potius,potivs,ADV,Deg=Comp
oberit,obsvm,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
qui,qvi,PROrel,Case=Nom|Numb=Sing
faciet,facio,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3
quam,qvam,ADVrel,MORPH=empty
ei,is,PROdem,Case=Dat|Numb=Sing
qui,qvi,PROrel,Case=Nom|Numb=Sing
hanc,hic,PROdem,Case=Acc|Numb=Sing
patietur,patior,VER,Numb=Sing|Mood=Ind|Tense=Fut|Voice=Dep|Person=3
iniuriam,inivria,NOM1,Case=Acc|Numb=Sing
.,vnvs,ADJcar,Case=Acc|Numb=Plur
spiritus,spiritvs,NOM4,Case=Nom|Numb=Sing
enim,enim,CONcoo,MORPH=empty
sanctus,sanctvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
habitans,habito,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
in,in,PRE,MORPH=empty
sanctis,sanctvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
per,per,PRE,MORPH=empty
quem,qvi,PROrel,Case=Acc|Numb=Sing
quisque,qvisqve,PROind,Case=Nom|Numb=Sing
ligatur,ligo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
aut,avt,CONcoo,MORPH=empty
soluitur,solvo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
inmeritam,immeritvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
nnlli,nollio,VER,Mood=Inf|Tense=Pres|Voice=Pass
ingerit,ingero,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
poenam,poena,NOM1,Case=Acc|Numb=Sing
per,per,PRE,MORPH=empty
eum,is,PROdem,Case=Acc|Numb=Sing
quippe,qvippe,CONcoo,MORPH=empty
diffunditur,diffvndo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
caritas,caritas,NOM3,Case=Nom|Numb=Sing
in,in,PRE,MORPH=empty
cordibus,cor,NOM3,Case=Abl|Numb=Plur
nostris,noster,PROpos,Case=Abl|Numb=Plur
quae,qvi,PROrel,Case=Nom|Numb=Sing
non,non,ADVneg,MORPH=empty
agit,ago,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
perperam,perperam,ADV,Deg=Pos
.,vnvs,ADJcar,Case=Acc|Numb=Plur
