form,lemma,pos,morph
In,vnvs,ADJcar,Case=Nom
quibusdam,qvidam,PROind,Case=Abl|Numb=Plur
libris,liber,NOM2,Case=Abl|Numb=Plur
contra,contra,PRE,MORPH=empty
epistulam,epistola,NOM1,Case=Acc|Numb=Sing
Parmeniani,parmenianvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
Donatistarum,donatista,NOM1,Case=Gen|Numb=Plur
Carthaginiensis,carthaginienses,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
episcopi,episcopivs,NOM3,Case=Dat|Numb=Sing
successoris,svccessor,NOM3,Case=Gen|Numb=Sing
-que,qvovs,CONcoo,MORPH=empty
Donati,donativs,NOM3,Case=Gen|Numb=Sing
quaestio,qvaestio,NOM3,Case=Nom|Numb=Sing
noua,novvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
uersatur,versor,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
et,et,CONcoo,MORPH=empty
soluitur,solvo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
utrum,vtrvm,ADVint,MORPH=empty
in,in,PRE,MORPH=empty
unitate,vnitas,NOM3,Case=Abl|Numb=Sing
eorundem,idem,PROdem,Case=Gen|Numb=Plur
communione,commvnio,NOM3,Case=Abl|Numb=Sing
sacramentorum,sacramentvm,NOM2,Case=Gen|Numb=Plur
mali,malvm,NOM2,Case=Nom|Numb=Plur
contaminent,contamino,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
bonos,boni,NOM2,Case=Acc|Numb=Plur
et,et,CONcoo,MORPH=empty
quemadmodum,qvemadmodvm,ADVrel,MORPH=empty
non,non,ADVneg,MORPH=empty
contaminent,contamino,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
disputatur,dispvto,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
propter,propter,PRE,MORPH=empty
ecclesiam,ecclesia,NOM1,Case=Acc|Numb=Sing
toto,totvs,PROind,Case=Abl|Numb=Sing
orbe,orbis,NOM3,Case=Abl|Numb=Sing
diffusam,diffvndo,VER,Case=Acc|Numb=Sing|Mood=Par|Tense=Perf
cui,qvi,PROrel,Case=Dat|Numb=Sing
calumniando,calvmnior,VER,Case=Abl|Numb=Sing|Mood=Ger|Voice=Act
scisma,scisma,NOM1,Case=Abl|Numb=Sing
fecerunt,facio,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
.,qvadranta,ADJcar,Case=Acc|Numb=Plur
In,vnvs,ADJcar,Case=Acc
quorum,qvi,PROrel,Case=Gen|Numb=Plur
libro,liber,NOM2,Case=Abl|Numb=Sing
tertio,tertivs,ADJadv.ord,Case=Abl|Numb=Sing|Deg=Pos
cum,cvm,CONsub,MORPH=empty
dissereretur,dissero,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Pass|Person=3
quomodo,qvomodo,ADVint,MORPH=empty
sit,svm,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
accipiendum,accipio,VER,Case=Nom|Numb=Sing|Mood=Adj|Voice=Pass
quod,qvi,PROrel,Case=Nom|Numb=Sing
ait,aio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
apostolus,apostolvs,NOM2,Case=Nom|Numb=Sing
auferte,avfero,VER,Numb=Plur|Mood=Imp|Tense=Pres|Voice=Act|Person=2
malum,malvm,NOM2,Case=Acc|Numb=Sing|Deg=Pos
ex,ex,PRE,MORPH=empty
uobis,vos,PROper,Case=Abl|Numb=Plur
ipsis,ipse,PROdem,Case=Abl|Numb=Plur
illud,ille,PROdem,Case=Acc|Numb=Sing
