form,lemma,pos,morph
HORMISDA,hormis,NOM1,Case=Nom|Numb=Sing
ANASTASIO,anastasivs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
AVGVSTO,avgvstvs,NOM2,Case=Dat|Numb=Sing
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
PER,per,ADJcar,Case=Nom
ENNODIVM,entorimvs,ADJcar,Case=Nom|Numb=Sing
ET,etqvi,CONcoo,Case=Nom
FORTVNATVM,fvrtvnatvs,NOM2,Case=Nom|Numb=Sing
EPISCOPOS,episcopes,NOM7,Case=Nom|Numb=Sing
VENANTIVS,venantivs,NOM2,Case=Nom|Numb=Sing
PRESBVTERVS,presbotervs,NOM2,Case=Nom|Numb=Sing
VITALEM,septamaginla,ADJcar,Case=Ind|Numb=Sing
DIACONVS,dianonvs,NOM2,Case=Nom|Numb=Sing
ET,etqvam,CONcoo,MORPH=empty
HILARVM,qvatvor,ADJcar,Case=Acc|Numb=Sing
NOTARIVM,notarivs,ADJcar,Case=Acc|Numb=Sing
.,qvintvs,ADJcar,Case=Ind|Numb=Plur
Bene,bene,NOM2,Case=Voc|Numb=Sing
atque,atqve,CONcoo,MORPH=empty
utiliter,vtiliter,ADV,Deg=Pos
serenitas,serenitas,NOM3,Case=Nom|Numb=Sing
uestra,vester,PROpos,Case=Nom|Numb=Sing
curam,cvra,NOM1,Case=Acc|Numb=Sing
principalis,principalis,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
acuminis,acvmen,NOM3,Case=Gen|Numb=Sing
non,non,ADVneg,MORPH=empty
tantum,tantvm,ADV,Deg=Pos
in,in,PRE,MORPH=empty
administrando,administro,VER,Case=Abl|Numb=Sing|Mood=Ger|Voice=Act
rei,res,NOM5,Case=Gen|Numb=Sing
publicae,pvblicvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
exercet,exerceo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
officio,officivm,NOM2,Case=Abl|Numb=Sing
sed,sed,CONcoo,MORPH=empty
melioribus,bonvs,ADJqua,Case=Dat|Numb=Plur|Deg=Comp
eam,is,PROdem,Case=Acc|Numb=Sing
nobilitans,nobilito,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
institutis,institvtvm,NOM2,Case=Abl|Numb=Plur
per,per,PRE,MORPH=empty
curam,cvra,NOM1,Case=Acc|Numb=Sing
redintegrandae,redintegro,VER,Case=Gen|Numb=Sing|Mood=Adj|Voice=Pass
unitatis,vnitas,NOM3,Case=Gen|Numb=Sing
auctorem,avctor,NOM3,Case=Acc|Numb=Sing
uenerandi,venerandvs,VER,Case=Gen|Numb=Sing
placat,placo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
imperii,imperivm,NOM2,Case=Gen|Numb=Sing
.,vnvs,ADJcar,Case=Gen|Numb=Plur
certi,certvm,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
enim,enim,CONcoo,MORPH=empty
de,de,PRE,MORPH=empty
tutela,tvtela,NOM1,Case=Abl|Numb=Sing
regnantes,regno,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
si,si,CONsub,MORPH=empty
nulla,nvllvs,PROind,Case=Nom|Numb=Sing
isdem,idem,PROdem,Case=Abl|Numb=Plur
praesidentibus,praesidens,VER,Case=Abl|Numb=Plur|Tense=Pres|Voice=Act
ecclesiae,ecclesia,NOM1,Case=Nom|Numb=Plur
castitas,castitas,NOM3,Case=Nom|Numb=Sing
importuna,importvnvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
diaboli,diabolvm,NOM2,Case=Gen|Numb=Sing
commixtione,commixtio,NOM3,Case=Abl|Numb=Sing
maculetur,macvlo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
.,qvintvs,ADJcar,Case=Gen|Numb=Sing
unde,vnde,ADVrel,MORPH=empty
enim,enim,CONcoo,MORPH=empty
potest,possvm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
fieri,fio,VER,Mood=Inf|Tense=Pres|Voice=Act
ut,vt,CONsub,MORPH=empty
nitidas,nitidvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
pro,pro,PRE,MORPH=empty
principibus,princeps,NOM3,Case=Abl|Numb=Plur
ad,ad,PRE,MORPH=empty
deum,devs,NOM2,Case=Acc|Numb=Sing
nostrum,noster,PROpos,Case=Acc|Numb=Plur
preces,prex,NOM3,Case=Acc|Numb=Plur
dirigat,dirigo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
si,si,CONsub,MORPH=empty
