form,lemma,pos,morph
Cum,cvm,NOM2,Case=Acc|Numb=Sing
uirtutem,virtvs,NOM3,Case=Acc|Numb=Sing
perfectionis,perfectio,NOM3,Case=Gen|Numb=Sing
uestrae,vester,PROpos,Case=Gen|Numb=Sing
qua,qvi,PROrel,Case=Abl|Numb=Sing
uelut,velvt,ADVrel,MORPH=empty
magna,magnvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
quaedam,qvidam,PROind,Case=Nom|Numb=Plur
luminaria,lvminarivs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
in,in,PRE,MORPH=empty
hoc,hic,PROdem,Case=Abl|Numb=Sing
mundo,mvndvs,NOM2,Case=Abl|Numb=Sing
admirabili,admirabilis,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
claritate,claritas,NOM3,Case=Abl|Numb=Sing
fulgetis,fvlgeo,VER,Case=Abl|Numb=Plur
multi,mvltvs,NOM2,Case=Nom|Numb=Plur
sanctorum,sanctvs,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
qui,qvi,PROrel,Case=Nom|Numb=Plur
uestro,vester,PROpos,Case=Abl|Numb=Sing
erudiuntur,ervdio,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
exemplo,exemplvm,NOM2,Case=Abl|Numb=Sing
uix,vix,ADV,Deg=Pos
queant,qveo,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=3
aemulari,aemvlor,VER,Mood=Inf|Tense=Pres|Voice=Dep
tamen,tamen,ADV,Deg=Pos
uos,vos,PROper,Case=Nom|Numb=Plur
o,o,INJ,MORPH=empty
sancti,sanctvs,ADJqua,Case=Voc|Numb=Plur|Deg=Pos
fratres,frater,NOM3,Case=Nom|Numb=Plur
Honorate,honorates,NOM3,Case=Voc|Numb=Sing
et,et,CONcoo,MORPH=empty
Eucheri,evcherivs,NOM2,Case=Voc|Numb=Sing
tanta,tantvs,PROdem,Case=Nom|Numb=Plur
illorum,ille,PROdem,Case=Gen|Numb=Plur
sublimium,svblimis,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
uirorum,vir,NOM2,Case=Gen|Numb=Plur
a,ab,PRE,MORPH=empty
quibus,qvi,PROrel,Case=Abl|Numb=Plur
prima,primvs,ADJord,Case=Abl|Numb=Sing|Deg=Sup
anachore,anachor,NOM3,Case=Abl|Numb=Sing
.,vnvs,ADJcar,Case=Abl|Numb=Plur
seos,sevs,PROpos,Case=Acc|Numb=Plur
instituta,institvo,VER,Case=Acc|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
suscepimus,svscipio,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1
