form,lemma,pos,morph
Absolutis,absolvta,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
dudum,dvdvm,ADV,Deg=Pos
collationum,collatio,NOM3,Case=Gen|Numb=Plur
spiritalium,spiritalis,NOM3,Case=Gen|Numb=Plur
libellis,libellvs,NOM2,Case=Abl|Numb=Plur
sensu,sensvs,NOM4,Case=Abl|Numb=Sing
magis,magis,ADV,Deg=Comp
quam,qvam,ADVrel,MORPH=empty
sermone,sermo,NOM3,Case=Abl|Numb=Sing
insignibus,insigne,ADJqua,Case=Abl|Numb=Plur
quia,qvia,CONsub,MORPH=empty
alto,altvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
sanctorum,sanctvs,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
uirorum,vir,NOM2,Case=Gen|Numb=Plur
sensui,sensvs,NOM4,Case=Dat|Numb=Sing
sermo,sermo,NOM3,Case=Nom|Numb=Sing
nostrae,noster,PROpos,Case=Gen|Numb=Sing
inperitiae,imperitia,NOM1,Case=Gen|Numb=Sing
impar,impar,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
fuit,svm,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
cogitaram,cogito,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=1
et,et,CONcoo,MORPH=empty
propemodum,propemodvm,ADV,Deg=Pos
onstitueram,onstitvo,VER,Numb=Sing|Mood=Ind|Tense=Pqp|Voice=Act|Person=1
post,post,PRE,MORPH=empty
illum,ille,PROdem,Case=Acc|Numb=Sing
proditae,prodo,VER,Case=Gen|Numb=Sing|Mood=Ind|Tense=Perf|Voice=Pass
inscientiae,inscientia,NOM1,Case=Gen|Numb=Sing
pudorem,pvdor,NOM3,Case=Acc|Numb=Sing
ita,ita,ADV,Deg=Pos
me,ego,PROper,Case=Acc|Numb=Sing
in,in,PRE,MORPH=empty
portu,portvs,NOM4,Case=Abl|Numb=Sing
silentii,silentivm,NOM2,Case=Gen|Numb=Sing
collocare,colloco,VER,Mood=Inf|Tense=Pres|Voice=Act
ut,vt,CONsub,MORPH=empty
excusarem,excvso,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=1
quantum,qvantvm,PROrel,Case=Nom|Numb=Sing
in,in,PRE,MORPH=empty
me,ego,PROper,Case=Abl|Numb=Sing
esset,svm,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
per,per,PRE,MORPH=empty
taciturnitatis,tacitvrnitas,NOM3,Case=Gen|Numb=Sing
uerecundiam,verecvndia,NOM1,Case=Acc|Numb=Sing
loquacitatis,loqvacitas,NOM3,Case=Gen|Numb=Sing
audaciam,avdacia,NOM1,Case=Acc|Numb=Sing
.,vnvs,ADJcar,Case=Gen|Numb=Plur
sed,sed,CONcoo,MORPH=empty
uicisti,vinco,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=2
propositum,propositvm,NOM2,Case=Acc|Numb=Sing
ac,ac,CONcoo,MORPH=empty
sententiam,sententia,NOM1,Case=Acc|Numb=Sing
meam,mevs,PROpos,Case=Acc|Numb=Sing
