form,lemma,pos,morph
Congruit,congrvitai,NOM2,Numb=Sing|Person=3
in,in,PRE,MORPH=empty
Pascha,pascha,NOM1,Case=Abl|Numb=Sing
die,dies,NOM5,Case=Abl|Numb=Sing
felicissimo,felix,ADJqua,Case=Abl|Numb=Sing|Deg=Sup
nostro,noster,PROpos,Case=Abl|Numb=Sing
Laetentur,laetentvrvs,NOM7,Case=Gen|Numb=Plur
et,et,CONcoo,MORPH=empty
illi,ille,PROdem,Case=Nom|Numb=Plur
qui,qvi,PROrel,Case=Nom|Numb=Plur
postulant,postvlo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
sumpta,svmo,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
diurna,divrnvs,ADJqua,Case=Nom|Numb=Plur|Deg=Pos
Erogetur,erogo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Dep|Person=3
eis,is,PROdem,Case=Dat|Numb=Plur
quod,qvi,PROrel,Case=Nom|Numb=Sing
sufficit,svfficio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
uinum,vinvm,NOM2,Case=Acc|Numb=Sing
et,et,CONcoo,MORPH=empty
esca,esca,NOM1,Case=Nom|Numb=Sing
.,qvintvs,ADJcar,Case=Gen|Numb=Plur
Bespicite,bespicitvs,NOM2,Case=Voc|Numb=Sing
forte,forte,ADV,Deg=Pos
quoniam,qvoniam,CONsub,MORPH=empty
memorentur,memoro,VER,Numb=Plur|Mood=Ind|Tense=Fut|Voice=Pass|Person=3
ista,iste,PROdem,Case=Acc|Numb=Plur
pro,pro,PRE,MORPH=empty
uobis,vos,PROper,Case=Abl|Numb=Plur
In,invs,ADJcar,Case=Acc
modico,modicvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
sumpto,svmo,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
deficitis,deficio,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=2
Christo,christvs,NOM2,Case=Dat|Numb=Sing
donare,dono,VER,Mood=Inf|Tense=Pres|Voice=Act
.,vnvs,ADJcar,Case=Acc|Numb=Plur
Cum,cvm,NOM2,Case=Nom|Numb=Sing
ipsi,ipse,PROdem,Case=Nom|Numb=Plur
non,non,ADVneg,MORPH=empty
facitis,facio,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=2
quo,qvis,PROint,Case=Abl|Numb=Sing
modo,modvs,NOM2,Case=Abl|Numb=Sing|Deg=Pos
suadere,svadeo,VER,Mood=Inf|Tense=Pres|Voice=Act
potestis,possvm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=2
Iustitiam,ivstitia,NOM1,Case=Acc|Numb=Sing
.,vnvs,ADJcar,Case=Acc|Numb=Plur
legis,lex,NOM3,Case=Gen|Numb=Sing
talibus,talis,PROdem,Case=Abl|Numb=Plur
uel,vel,CONcoo,MORPH=empty
semel,semel,ADJadv.mul,MORPH=empty
in,in,PRE,MORPH=empty
anno,annvs,NOM2,Case=Abl|Numb=Sing
Sic,sic,ADV,Deg=Pos
merito,merito,ADV,Deg=Pos
surgunt,svrgo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
blasphemia,blasphemivm,NOM2,Case=Nom|Numb=Plur
saepe,saepe,ADV,Deg=Pos
de,de,PRE,MORPH=empty
uobis,vos,PROper,Case=Abl|Numb=Plur
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
