form,lemma,pos,morph
Credo,credo,NOM3,Case=Voc|Numb=Sing
te,tv,PROper,Case=Acc|Numb=Sing
retinere,retineo,VER,Mood=Inf|Tense=Pres|Voice=Act
sanctissime,sancte,ADV,Case=Voc|Deg=Sup
Cypriane,cyprianvs,ADJqua,Case=Voc|Numb=Sing|Deg=Pos
quae,qvis,PROint,Case=Nom|Numb=Sing
nobis,nos,PROper,Case=Dat|Numb=Plur
fuerit,svm,VER,Numb=Sing|Mood=Sub|Tense=Perf|Voice=Act|Person=3
apud,apvd,PRE,MORPH=empty
oratorem,orator,NOM3,Case=Acc|Numb=Sing
garrulitas,garrvlitas,NOM3,Case=Nom|Numb=Sing
unus,vnvs,ADJcar,Case=Nom|Numb=Sing
sensus,sensvs,NOM4,Case=Nom|Numb=Sing
una,vnvs,ADJcar,Case=Nom|Numb=Sing
cogitatio,cogitatio,NOM3,Case=Nom|Numb=Sing
indiuidua,individvvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
lectio,lectio,NOM3,Case=Nom|Numb=Sing
.,vnvs,ADJcar,Case=Gen|Numb=Sing
quare,qvare,ADVrel,MORPH=empty
non,non,ADVneg,MORPH=empty
et,et,CONcoo,MORPH=empty
in,in,PRE,MORPH=empty
diuina,divinvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
lectione,lectio,NOM3,Case=Abl|Numb=Sing
ita,ita,ADV,Deg=Pos
animis,animvs,NOM2,Case=Abl|Numb=Plur
roboramur,roboro,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=1
aut,avt,CONcoo,MORPH=empty
non,non,ADVneg,MORPH=empty
ea,is,PROdem,Case=Nom|Numb=Sing
semper,semper,ADV,Deg=Pos
nobis,nos,PROper,Case=Dat|Numb=Plur
fuit,svm,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
cogitatio,cogitatio,NOM3,Case=Nom|Numb=Sing
sicut,sicvt,ADVrel,MORPH=empty
promittebas,promitto,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=2
ut,vt,CONsub,MORPH=empty
simul,simvl,ADV,Deg=Pos
crederemus,credo,VER,Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=1
