form,lemma,pos,morph
Pasiphae,pasiphae,NOM1,Case=Gen|Numb=Sing
niueum,nivevs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
linquens,linqvo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
nec,nec,CONcoo,MORPH=empty
in,in,PRE,MORPH=empty
arte,ars,NOM3,Case=Abl|Numb=Sing
iuuencum,ivvencvs,NOM2,Case=Acc|Numb=Sing
Diffusis,diffvsvs,ADJqua,Case=Abl|Numb=Plur
collo,collvm,NOM2,Case=Abl|Numb=Sing
manibus,manvs,NOM4,Case=Abl|Numb=Plur
petis,peto,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
oscula,oscvlvm,NOM2,Case=Acc|Numb=Plur
supplex,svpplex,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
Pulcrior,pvlcher,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
et,et,CONcoo,MORPH=empty
certis,certvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
inludis,illvdo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
ficta,fingo,ADJqua,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
puellis,pvella,NOM1,Case=Abl|Numb=Plur
Candidus,candidvs,NOM2,Case=Nom|Numb=Sing
argentum,argentvm,NOM2,Case=Acc|Numb=Sing
superat,svpero,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
bos,bos,NOM3,Case=Nom|Numb=Sing
luce,lvx,NOM3,Case=Abl|Numb=Sing
coloris,color,NOM3,Case=Gen|Numb=Sing
Viuit,vivo,VER,Case=Gen|Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
amor,amor,NOM3,Case=Nom|Numb=Sing
taurus,tavrvs,NOM2,Case=Nom|Numb=Sing
mulier,mvlier,NOM3,Case=Nom|Numb=Sing
sine,sine,PRE,MORPH=empty
corpore,corpvs,NOM3,Case=Abl|Numb=Sing
uero,vero,CONcoo,MORPH=empty
.,qvadrantal,ADJcar,Case=Gen|Numb=Plur
