form,lemma,pos,morph
Ex,ex,ADJcar,Case=Nom
prioris,prior,ADJord,Case=Gen|Numb=Sing|Deg=Comp
libri,liber,NOM2,Case=Gen|Numb=Sing
de,de,PRE,MORPH=empty
gratia,gratia,NOM1,Case=Abl|Numb=Sing
capite,capvt,NOM3,Case=Abl|Numb=Sing
XIIII,decimvs,ADJord,Case=Ind|Numb=Sing
sub,svb,PRE,MORPH=empty
finem,finis,NOM3,Case=Acc|Numb=Sing
lacunoso,lacvnosvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
uerba,verbvm,NOM2,Case=Nom|Numb=Plur
desumpta,desvmo,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
quae,qvi,PROrel,Case=Nom|Numb=Plur
Ioannes,ioannes,NOM3,Case=Nom|Numb=Plur
Maxentius,maxentivs,NOM2,Case=Nom|Numb=Sing
in,in,PRE,MORPH=empty
libello,libellvs,NOM2,Case=Abl|Numb=Sing
cui,qvi,PROrel,Case=Dat|Numb=Sing
inscribitur,inscribo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
ad,ad,PRE,MORPH=empty
epistulam,epistola,NOM1,Case=Acc|Numb=Sing
Hormisdae,hormisdae,NOM1,Case=Gen|Numb=Sing
responsio,responsivm,NOM2,Case=Nom|Numb=Sing
Migne,mignvs,NOM2,Case=Nom|Numb=Sing
Patrologia,patrologia,NOM1,Case=Nom|Numb=Sing
Graeca,graecvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
LXXXVI,sex,ADJcar,Case=Ind|Numb=Sing
p.,pes,NOM3,Case=Acc|Numb=Plur
affert,affero,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
cf,csis,PRE,MORPH=empty
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
quae,qvi,PROrel,Case=Acc|Numb=Plur
exposuimus,expono,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1
in,in,PRE,MORPH=empty
libro,liber,NOM2,Case=Abl|Numb=Sing
Studie,stvdie,NOM5,Case=Voc|Numb=Sing
-ne,ne,CONsub,MORPH=empty
Vber,vber,NOM2,Case=Nom|Numb=Sing
die,dies,NOM5,Case=Abl|Numb=Sing
Schrifte,schrifes,ADJqua,Case=Voc|Numb=Sing|Deg=Pos
-ne,ne,CONsub,MORPH=empty
des,do,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=2
Bischofes,bischofes,NOM7,Case=Nom|Numb=Sing
uo,vos,PROper,Numb=Sing
-ne,ne,INJ,MORPH=empty
Reii,reivs,NOM2,Case=Gen|Numb=Sing
Faustus,favstvs,NOM2,Case=Nom|Numb=Sing
p.,pes,NOM3,Case=Acc|Numb=Plur
sq,s,CONsub,MORPH=empty
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Rursus,rvrsvs,NOM2,Case=Nom|Numb=Sing
in,in,PRE,MORPH=empty
capite,capvt,NOM3,Case=Abl|Numb=Sing
eiusdem,idem,PROdem,Case=Gen|Numb=Sing
libri,liber,NOM2,Case=Gen|Numb=Sing
XV,qvindecim,ADJcar,Case=Ind
agens,ago,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
scil,scil,ADV,MORPH=empty
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
Faustus,favstvs,NOM2,Case=Nom|Numb=Sing
contra,contra,PRE,MORPH=empty
eos,is,PROdem,Case=Acc|Numb=Plur
qui,qvi,PROrel,Case=Nom|Numb=Plur
non,non,ADVneg,MORPH=empty
generale,generalis,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
sed,sed,CONcoo,MORPH=empty
speciale,specialis,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
asserunt,assero,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
donum,donvm,NOM2,Case=Acc|Numb=Sing
esse,svm,VER,Mood=Inf|Tense=Pres|Voice=Act
credulitatis,credvlitas,NOM3,Case=Gen|Numb=Sing
ita,ita,ADV,Deg=Pos
inter,inter,PRE,MORPH=empty
cetera,cetera,NOM2,Case=Acc|Numb=Plur
loquitur,loqvor,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
sed,sed,CONcoo,MORPH=empty
dicis,dico,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=2
inquit,inqvio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
quia,qvia,CONsub,MORPH=empty
non,non,ADVneg,MORPH=empty
omnibus,omnis,PROind,Case=Dat|Numb=Plur
detur,do,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
sed,sed,CONcoo,MORPH=empty
donum,donvm,NOM2,Case=Nom|Numb=Sing
sit,svm,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
personale,personalis,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
credulitas,credvlitas,NOM3,Case=Nom|Numb=Sing
et,et,CONcoo,MORPH=empty
illis,ille,PROdem,Case=Dat|Numb=Plur
tantum,tantvm,PROdem,Deg=Pos
credere,credo,VER,Mood=Inf|Tense=Pres|Voice=Act
suppetat,svppeto,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
quibus,qvi,PROrel,Case=Dat|Numb=Plur
deus,devs,NOM2,Case=Nom|Numb=Sing
specialiter,specialiter,ADV,Deg=Pos
donauit,dono,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
ut,vt,CONsub,MORPH=empty
crederent,credo,VER,Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=3
.,qvinqvaginta,ADJcar,Case=Acc|Numb=Plur
non,non,ADVneg,MORPH=empty
ita,ita,ADV,Deg=Pos
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.,pes,ADJcar,Case=Nom|Numb=Sing
nam,nam,CONcoo,MORPH=empty
dum,dvm,CONsub,MORPH=empty
eam,is,PROdem,Case=Acc|Numb=Sing
dominus,dominvs,NOM2,Case=Nom|Numb=Sing
etiam,etiam,ADV,Deg=Pos
ab,ab,PRE,MORPH=empty
incredulis,incredvlvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
exigit,exigo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
omnibus,omnis,PROind,Case=Dat|Numb=Plur
eam,is,PROdem,Case=Acc|Numb=Sing
insertam,insero,ADJqua,Case=Acc|Numb=Sing
esse,svm,VER,Mood=Inf|Tense=Pres|Voice=Act
demonstrat,demonstro,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.,vnvs,ADJcar,Case=Acc|Numb=Plur
cui,qvi,PROrel,Case=Dat|Numb=Sing
autem,avtem,CONcoo,MORPH=empty
etiam,etiam,ADV,Deg=Pos
ipsa,ipse,PROdem,Case=Nom|Numb=Sing
naturae,natvra,NOM1,Case=Gen|Numb=Sing
lege,lex,NOM3,Case=Abl|Numb=Sing
non,non,ADVneg,MORPH=empty
suppetat,svppeto,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
credere,credo,VER,Mood=Inf|Tense=Pres|Voice=Act
quando,qvando,CONsub,MORPH=empty
et,et,CONcoo,MORPH=empty
daemones,daemo,VER,Case=Acc|Numb=Plur
credunt,credo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
contremiscunt,contremisco,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Eodem,eodes,NOM3,Case=Acc|Numb=Sing
loco,locvs,NOM2,Case=Abl|Numb=Sing
Maxentius,maxentivs,NOM2,Case=Nom|Numb=Sing
Migne,mignvs,NOM2,Case=Abl|Numb=Sing
l.,littera,NOM2,Case=Gen|Numb=Sing
c.,condo,NOM2,Case=Gen|Numb=Sing
p.,pes,NOM3,Case=Gen|Numb=Sing
posterioris,postervs,ADJqua,Case=Gen|Numb=Sing|Deg=Comp
libri,liber,NOM2,Case=Gen|Numb=Sing
Fausti,favstvs,NOM2,Case=Gen|Numb=Sing
de,de,PRE,MORPH=empty
gratia,gratia,NOM1,Case=Abl|Numb=Sing
caput,capvt,NOM3,Case=Acc|Numb=Sing
XI,vndecimvs,ADJcar,Case=Ind
hodie,hodie,ADV,Deg=Pos
maxima,magnvs,ADJqua,Case=Abl|Numb=Sing|Deg=Sup
ex,ex,PRE,MORPH=empty
parte,pars,NOM3,Case=Abl|Numb=Sing
deperditum,deperditvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
respicere,respicio,VER,Mood=Inf|Tense=Pres|Voice=Act
uidetur,video,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
dicens,dico,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
cf,csis,PRE,MORPH=empty
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
quae,qvi,PROrel,Case=Acc|Numb=Plur
exposuimus,expono,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1
in,in,PRE,MORPH=empty
libro,liber,NOM2,Case=Abl|Numb=Sing
supra,svpra,ADV,Deg=Pos
laudato,lavdo,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
p.,pes,NOM3,Case=Acc|Numb=Plur
sq,sqv,CONsub,MORPH=empty
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Vnde,vnde,NOM2,Case=Voc|Numb=Sing
et,et,CONcoo,MORPH=empty
in,in,PRE,MORPH=empty
libr,liber,NOM2,Case=Acc|Numb=Sing
i,eo,VER,Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2
secundi,secvndvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
capitul,capitvlvm,NOM2,Case=Acc|Numb=Sing
o,o,INJ,MORPH=empty
undecimo,vndecimvs,ADJord,Case=Abl|Numb=Sing|Deg=Pos
per,per,PRE,MORPH=empty
naturalem,natvralis,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
uigorem,vigor,NOM3,Case=Acc|Numb=Sing
absque,absqve,CONcoo,MORPH=empty
gratiae,gratia,NOM1,Case=Gen|Numb=Sing
adiutorio,adivtorivm,NOM2,Case=Abl|Numb=Sing
multos,mvltvs,ADJqua,Case=Acc|Numb=Plur
non,non,ADVneg,MORPH=empty
solum,solvm,ADV,Deg=Pos
ante,ante,PRE,MORPH=empty
aduentum,adventvs,NOM4,Case=Acc|Numb=Sing
domini,dominvs,NOM2,Case=Gen|Numb=Sing
uerum,vervm,CONcoo,MORPH=empty
etiam,etiam,ADV,Deg=Pos
et,et,CONcoo,MORPH=empty
ante,ante,PRE,MORPH=empty
legem,lex,NOM3,Case=Acc|Numb=Sing
litterae,littera,NOM1,Case=Nom|Numb=Plur
saluatos,salvatvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
atque,atqve,CONcoo,MORPH=empty
ad,ad,PRE,MORPH=empty
plenam,plenvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
cordis,cor,NOM3,Case=Gen|Numb=Sing
puritatem,pvritas,NOM3,Case=Acc|Numb=Sing
perfectam,perficio,ADJqua,Case=Acc|Numb=Sing|Deg=Pos|Tense=Perf
-que,qvovs,CONcoo,MORPH=empty
iustitiam,ivstitia,NOM1,Case=Acc|Numb=Sing
peruenisse,pervenio,VER,Mood=Inf|Tense=Perf|Voice=Act
filios,filivs,NOM2,Case=Acc|Numb=Plur
dei,devs,NOM2,Case=Gen|Numb=Sing
fieri,fio,VER,Mood=Inf|Tense=Pres|Voice=Act
meruisse,mereo,VER,Mood=Inf|Tense=Perf|Voice=Act
impudenter,impvdenter,ADV,Deg=Pos
et,et,CONcoo,MORPH=empty
procaciter,procaciter,ADV,Deg=Pos
asseuerat,assero,VER,Numb=Sing|Mood=Ind|Tense=Pqp|Voice=Act|Person=3
scil,scil,ADV,Numb=Sing
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
Faustus,favstvs,NOM2,Case=Nom|Numb=Sing
,,PRE,MORPH=empty
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
