form,lemma,pos,morph
Quod,qvi,PROrel,Case=Acc|Numb=Sing
pro,pro,PRE,MORPH=empty
sollicitudine,sollicitvdo,NOM3,Case=Abl|Numb=Sing
pastorali,pastoralis,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
beate,beatvs,ADV,Deg=Pos
papa,papa,NOM1,Case=Abl|Numb=Sing
Leonti,leon,NOM2,Case=Dat|Numb=Sing
in,in,PRE,MORPH=empty
condemnando,condemno,VER,Case=Abl|Numb=Sing|Mood=Adj|Voice=Act
praedestinationis,praedestinatio,NOM3,Case=Gen|Numb=Sing
errore,error,NOM3,Case=Abl|Numb=Sing
concilium,concilivm,NOM2,Case=Acc|Numb=Sing
summorum,svpervs,ADJqua,Case=Gen|Numb=Plur|Deg=Sup
antistitum,antistitvs,NOM4,Case=Acc|Numb=Sing
congregastis,congrego,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=2
uniuersis,vniversvs,NOM2,Case=Abl|Numb=Plur
Galliarum,gallia,NOM1,Case=Gen|Numb=Plur
ecclesiis,eqclesia,ADJqua,Case=Abl|Numb=Plur
praestitistis,praesto,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=2
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
quod,qvi,PROrel,Numb=Sing
uero,vero,CONcoo,MORPH=empty
ad,ad,PRE,MORPH=empty
ordinanda,ordino,VER,Case=Acc|Numb=Plur|Mood=Adj|Voice=Pass
ea,is,PROdem,Case=Acc|Numb=Plur
quae,qvi,PROrel,Case=Acc|Numb=Plur
conlatione,collatio,NOM3,Case=Abl|Numb=Sing
publica,pvblicvs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
doctissime,docte,ADV,Deg=Sup
protulistis,profero,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=2
operam,opera,NOM1,Case=Acc|Numb=Sing
infirmis,infirmvs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
humeris,hvmervs,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=2
curam,cvra,NOM1,Case=Acc|Numb=Sing
-que,qvove,CONcoo,MORPH=empty
mandastis,mando,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=2
parum,parvm,ADV,MORPH=empty
ut,vt,ADVrel,MORPH=empty
reor,reor,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=1
tanto,tantvs,PROdem,Case=Abl|Numb=Sing
negotio,negotivm,NOM2,Case=Dat|Numb=Sing
parum,parvm,ADV,Deg=Pos
sanctae,sanctvs,ADJqua,Case=Dat|Numb=Sing|Deg=Pos
existimationi,existimatio,NOM3,Case=Dat|Numb=Sing
uestrae,vester,PROpos,Case=Dat|Numb=Sing
consuluistis,consvlo,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=2
me,ego,PROper,Case=Acc|Numb=Sing
iudicio,ivdicivm,NOM2,Case=Abl|Numb=Sing
caritatis,caritas,NOM3,Case=Gen|Numb=Sing
uos,vos,PROper,Case=Acc|Numb=Plur
periculo,pericvlvm,NOM2,Case=Abl|Numb=Sing
electionis,electio,NOM3,Case=Gen|Numb=Sing
onerastis,onero,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=2
.,vnvs,ADJcar,Case=Acc|Numb=Sing
quia,qvia,CONsub,MORPH=empty
ergo,ergo,CONcoo,MORPH=empty
.,vnvs,ADJcar,Case=Acc|Numb=Plur
et,et,CONcoo,MORPH=empty
uestram,vester,PROpos,Case=Acc|Numb=Sing
laborare,laboro,VER,Mood=Inf|Tense=Pres|Voice=Act
personam,persona,NOM1,Case=Acc|Numb=Sing
sub,svb,PRE,MORPH=empty
