form,lemma,pos,morph
In,vnvs,ADJcar,Case=Acc
finem,finis,NOM3,Case=Acc|Numb=Sing
ne,ne,CONsub,MORPH=empty
disperdas,disperdo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=2
Dauid,davivs,NOM3,Case=Nom|Numb=Sing
in,in,PRE,MORPH=empty
tituli,titvlvs,NOM2,Case=Gen|Numb=Sing
inscriptione,inscriptio,NOM3,Case=Abl|Numb=Sing
.,qvinqvaginta,ADJcar,Case=Abl|Numb=Plur
Siuere,sivervs,NOM2,Case=Voc|Numb=Sing
utiqueiustitiasloquimini,vtiqvei,ADV,Deg=Pos
iusta,ivstvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
iudicate,ivdico,VER,Numb=Plur|Mood=Imp|Tense=Pres|Voice=Act|Person=2
filii,filivs,NOM2,Case=Gen|Numb=Plur
hominum,homo,NOM3,Case=Gen|Numb=Plur
et,et,CONcoo,MORPH=empty
reliqua,reliqvvm,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
De,de,NOM2,Case=Nom|Numb=Sing
superioris,svpervs,ADJqua,Case=Gen|Numb=Sing|Deg=Comp
psalmi,psalmvs,NOM2,Case=Gen|Numb=Sing
superscriptione,svperscriptio,NOM3,Case=Abl|Numb=Sing
sola,solvs,PROind,Case=Abl|Numb=Sing
deest,desvm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
significatio,significatio,NOM3,Case=Nom|Numb=Sing
aliqua,aliqvis,PROind,Case=Nom|Numb=Sing
gestorum,gero,VER,Case=Gen|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
.,qvintvs,ADJcar,Case=Gen|Numb=Plur
nam,nam,CONcoo,MORPH=empty
et,et,CONcoo,MORPH=empty
in,in,PRE,MORPH=empty
finem,finis,NOM3,Case=Acc|Numb=Sing
et,et,CONcoo,MORPH=empty
ne,ne,ADVneg,MORPH=empty
disperdas,disperdo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=2
et,et,CONcoo,MORPH=empty
tituli,titvlvs,NOM2,Case=Gen|Numb=Sing
inscriptio,inscriptio,NOM3,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.,vnvs,ADJcar,Case=Gen|Numb=Sing
neque,neqve,CONcoo,MORPH=empty
enim,enim,CONcoo,MORPH=empty
psalmus,psalmvs,NOM2,Case=Nom|Numb=Sing
quicquam,qvisqvam,PROind,Case=Nom|Numb=Sing
per,per,PRE,MORPH=empty
rerum,res,NOM5,Case=Gen|Numb=Plur
gesta,gero,VER,Case=Acc|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
continet,contineo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
prophetiae,prophetiae,NOM1,Case=Gen|Numb=Sing
ut,vt,ADVrel,MORPH=empty
sicut,sicvt,ADVrel,MORPH=empty
ceteris,ceteri,NOM2,Case=Dat|Numb=Plur
sanctus,sanctvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
Dauid,davivs,NOM3,Case=Nom|Numb=Sing
et,et,CONcoo,MORPH=empty
dictis,dictvm,NOM2,Case=Abl|Numb=Plur
prophetet,propheto,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
gestis,gero,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
sed,sed,CONcoo,MORPH=empty
increpatio,increpatio,NOM3,Case=Nom|Numb=Sing
in,in,PRE,MORPH=empty
impios,impivs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
et,et,CONcoo,MORPH=empty
denuntiatio,denvntiatio,NOM3,Case=Nom|Numb=Sing
iudicii,ivdicivm,NOM2,Case=Gen|Numb=Sing
dei,devs,NOM2,Case=Gen|Numb=Sing
in,in,PRE,MORPH=empty
peccatores,peccator,NOM3,Case=Acc|Numb=Plur
et,et,CONcoo,MORPH=empty
retributio,retribvtio,NOM3,Case=Nom|Numb=Sing
laetitiae,laetitia,NOM1,Case=Gen|Numb=Sing
in,in,PRE,MORPH=empty
sanctos,sanctvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
et,et,CONcoo,MORPH=empty
fructus,frvctvs,NOM4,Case=Nom|Numb=Plur
homini,homo,NOM3,Case=Dat|Numb=Sing
iustitiae,ivstitia,NOM1,Case=Gen|Numb=Sing
continetur,contineo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
