form,lemma,pos,morph
Exempla,exempla,NOM1,Case=Nom|Numb=Sing
tractatuum,tracto,VER,Numb=Sing|Mood=Inf|Tense=Perf|Voice=Pass
mutilatorum,mvtilatvs,ADJqua,Case=Gen|Numb=Plur
uel,vel,CONcoo,MORPH=empty
Hilario,hilarivs,NOM2,Case=Dat|Numb=Sing
falso,falso,ADV,Deg=Pos
adscriptorum,ascribo,VER,Case=Gen|Numb=Plur|Tense=Perf|Voice=Pass
.,qvinqvaginta,ADJcar,Case=Acc|Numb=Plur
cf,cfe,PRE,MORPH=empty
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
praef,praefe,NOM3,MORPH=empty
.,qvintvs,ADJcar,Case=Ind|Numb=Plur
et,et,CONcoo,MORPH=empty
Acad,acad,NOM7,Case=Acc|Numb=Sing
.,qvinqvaginta,ADJcar,Case=Acc|Numb=Plur
p.,pes,NOM3,Case=Acc|Numb=Plur
sq,s,CONsub,MORPH=empty
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
,,PRE,MORPH=empty
.,pentvm,ADJcar,Case=Acc|Numb=Plur
In,vnvs,ADJcar,Case=Ind
finem,finis,NOM3,Case=Acc|Numb=Sing
psalmus,psalmvs,NOM2,Case=Nom|Numb=Sing
Dauid,davivs,NOM7,Case=Nom|Numb=Sing
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
Exaudi,exavdivs,NOM2,Case=Gen|Numb=Sing
deus,devs,NOM2,Case=Nom|Numb=Sing
orationem,oratio,NOM3,Case=Acc|Numb=Sing
meam,mevs,PROpos,Case=Acc|Numb=Sing
dum,dvm,CONsub,MORPH=empty
deprecor,deprecor,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Dep|Person=1
ad,ad,PRE,MORPH=empty
te,tv,PROper,Case=Acc|Numb=Sing
a,ab,PRE,MORPH=empty
timore,timor,NOM3,Case=Abl|Numb=Sing
inimici,inimicvs,NOM2,Case=Gen|Numb=Sing
er,er,NOM5,Numb=Sing
-ue,qve,NOM3,Case=Abl|Numb=Sing|Mood=Imp
animam,anima,NOM1,Case=Acc|Numb=Sing
meam,mevs,PROpos,Case=Acc|Numb=Sing
.,vnvs,ADJcar,Case=Acc|Numb=Plur
scrutati,scrvtatvs,ADJqua,Case=Nom|Numb=Plur|Voice=Dep
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
iniquitates,iniqvitas,NOM3,Case=Nom|Numb=Plur
defecerunt,deficio,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
scrutantes,scrvtor,VER,Case=Nom|Numb=Plur|Mood=Par|Tense=Pres|Voice=Dep
scrutinio,scrvtinivm,NOM2,Case=Abl|Numb=Sing
.,pes,ADJcar,Case=Gen|Numb=Plur
spiritus,spiritvs,NOM4,Case=Nom|Numb=Sing
enim,enim,CONcoo,MORPH=empty
prophetalis,prophetalis,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
qui,qvi,PROrel,Case=Nom|Numb=Sing
per,per,PRE,MORPH=empty
Dauid,davivs,NOM3,Case=Acc|Numb=Sing
loquebatur,loqvor,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Dep|Person=3
audiens,avdio,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
omnia,omnis,PROind,Case=Acc|Numb=Plur
et,et,CONcoo,MORPH=empty
sciens,sciens,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
uniuersa,vniversvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
hoc,hic,PROdem,Case=Abl|Numb=Sing
in,in,PRE,MORPH=empty
loco,locvs,NOM2,Case=Abl|Numb=Sing
non,non,ADVneg,MORPH=empty
solum,solvm,ADV,Deg=Pos
Iudseorum,ivdsei,NOM2,Case=Gen|Numb=Plur
malignam,malignvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
conspirationem,conspiratio,NOM3,Case=Acc|Numb=Sing
