form,lemma,pos,morph
Igitur,igitvr,NOM4,Case=Nom|Numb=Sing
Galli,galli,NOM2,Case=Nom|Numb=Sing
duce,dvx,NOM3,Case=Abl|Numb=Sing
Belgio,belgivm,NOM2,Case=Abl|Numb=Sing
ad,ad,PRE,MORPH=empty
temptandos,tento,VER,Case=Acc|Numb=Plur|Mood=Adj|Voice=Pass
Macedonum,macedones,NOM3,Case=Gen|Numb=Plur
animos,animvs,NOM2,Case=Acc|Numb=Plur
legatos,legatvs,NOM2,Case=Acc|Numb=Plur
ad,ad,PRE,MORPH=empty
Ptolomeum,ptolemevs,NOM2,Case=Acc|Numb=Sing
mittunt,mitto,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
offerentes,offero,VER,Case=Acc|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
pacem,pax,NOM3,Case=Acc|Numb=Sing
si,si,CONsub,MORPH=empty
emere,emo,VER,Mood=Inf|Tense=Pres|Voice=Act
uelit,volo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
;,o,PRE,MORPH=empty
sed,sed,CONcoo,MORPH=empty
Ptolomeus,ptolemevs,NOM2,Case=Nom|Numb=Sing
inter,inter,PRE,MORPH=empty
suos,svvs,PROpos.ref,Case=Acc|Numb=Plur
belli,bellvm,NOM2,Case=Gen|Numb=Sing
metu,metvs,NOM4,Case=Abl|Numb=Sing
pacem,pax,NOM3,Case=Acc|Numb=Sing
Gallos,galli,NOM2,Case=Acc|Numb=Plur
petere,peto,VER,Mood=Inf|Tense=Pres|Voice=Act
gloriatus,glorior,VER,Case=Nom|Numb=Sing|Tense=Perf|Voice=Dep
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
.,vnvs,ADJcar,Case=Acc|Numb=Sing
Nec,nec,NOM3,Case=Nom|Numb=Sing
minus,parvm,ADV,Deg=Comp
ferociter,ferociter,ADV,Deg=Pos
se,svi,PROref,Case=Acc|Numb=Sing
legatis,legatvs,NOM2,Case=Dat|Numb=Plur
quam,qvam,ADVrel,MORPH=empty
inter,inter,PRE,MORPH=empty
amicos,amicvs,NOM2,Case=Acc|Numb=Plur
iactauit,iacto,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
aliter,aliter,ADV,Deg=Pos
se,svi,PROref,Case=Acc|Numb=Sing
pacem,pax,NOM3,Case=Acc|Numb=Sing
daturum,do,VER,Case=Acc|Numb=Sing|Mood=Inf|Tense=Fut|Voice=Act
negando,nego,VER,Case=Abl|Numb=Sing|Mood=Ger|Voice=Act
nisi,nisi,CONsub,MORPH=empty
principes,princeps,NOM3,Case=Acc|Numb=Plur
suos,svvs,PROpos.ref,Case=Acc|Numb=Plur
obsides,obses,NOM3,Case=Acc|Numb=Plur
dederint,do,VER,Numb=Plur|Mood=Sub|Tense=Perf|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
arma,arma,NOM2,Case=Acc|Numb=Plur
tradiderint,trado,VER,Numb=Plur|Mood=Sub|Tense=Perf|Voice=Act|Person=3
;,,PRE,MORPH=empty
non,non,ADVneg,MORPH=empty
enim,enim,CONcoo,MORPH=empty
fidem,fides,NOM5,Case=Acc|Numb=Sing
se,svi,PROref,Case=Acc|Numb=Sing
nisi,nisi,CONsub,MORPH=empty
inermibus,inermis,ADJqua,Case=Dat|Numb=Plur|Deg=Pos
