form,lemma,pos,morph
Primis,primae,NOM3,Case=Nom|Numb=Sing
mensis,mensis,NOM1,Case=Acc|Numb=Plur
post,post,PRE,MORPH=empty
epulas,epvlae,NOM1,Case=Acc|Numb=Plur
iam,iam,ADV,Deg=Pos
remotis,removeo,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
et,et,CONcoo,MORPH=empty
discursum,discvrro,NOM4,Case=Acc|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
uariantibus,vario,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
poculis,pocvlvm,NOM2,Case=Abl|Numb=Plur
minutioribus,minvtvs,ADJqua,Case=Abl|Numb=Plur|Deg=Comp
Praetextatus,praetextatvs,NOM2,Case=Nom|Numb=Sing
Solet,soleo,VER,Numb=Sing|Mood=Ind|Person=3
cibus,cibvs,NOM2,Case=Nom|Numb=Sing
inquit,inqvio,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
cum,cvm,CONsub,MORPH=empty
sumitur,svmo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
tacitos,tacitvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
efficere,efficio,VER,Mood=Inf|Tense=Pres|Voice=Act
potus,poto,NOM4,Case=Acc|Numb=Plur
loquaces,loqvax,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
at,at,CONcoo,MORPH=empty
nos,nos,PROper,Case=Acc|Numb=Plur
et,et,CONcoo,MORPH=empty
inter,inter,PRE,MORPH=empty
pocula,pocvlvm,NOM2,Case=Acc|Numb=Plur
silemus,sileo,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=1
tamquam,tamqvam,CONsub,MORPH=empty
debeat,debeo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
seriis,serivs,ADJqua,Case=Abl|Numb=Plur|Deg=Pos
uel,vel,CONcoo,MORPH=empty
etiam,etiam,ADV,Deg=Pos
philosophis,philosophvs,NOM2,Case=Dat|Numb=Plur
carere,careo,VER,Mood=Inf|Tense=Pres|Voice=Act
tractatibus,tractatvs,NOM3,Case=Abl|Numb=Plur
tale,talis,PROdem,Case=Acc|Numb=Sing
conuiuium,convivivm,NOM2,Case=Acc|Numb=Sing
.,vnvs,ADJcar,Case=Gen|Numb=Plur
Et,et,CONcoo,MORPH=empty
Symmachus,symmachvs,NOM2,Case=Nom|Numb=Sing
Verumne,vervmnvs,NOM2,Case=Voc|Numb=Sing
