form,lemma,pos,morph
Pastillus,pastillvs,NOM2,Case=Nom|Numb=Sing
ad,ad,PRE,MORPH=empty
coeliacos,coeliacvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
et,et,CONcoo,MORPH=empty
torminosos,torminosvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
optime,bene,ADV,Deg=Sup
faciens,facio,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
Acaciae,acacia,NOM1,Case=Dat|Numb=Sing
balausti,balavstvs,ADJqua,Case=Gen|Numb=Sing|Deg=Pos
id,is,PROdem,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
mali,malvm,NOM2,Case=Gen|Numb=Sing
granati,granatvs,ADJqua,Case=Gen|Numb=Sing
quod,qvi,PROrel,Case=Nom|Numb=Sing
cytinum,cytinvs,NOM2,Case=Nom|Numb=Sing
uocatur,voco,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
germe,germe,NOM3,Numb=Sing
-ne,one,CONsub,MORPH=empty
antequam,anteqvam,CONsub,MORPH=empty
florescat,floresco,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
hypocistidos,hypocistivs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
opii,opivm,NOM2,Case=Gen|Numb=Sing
singulorum,singvlvs,ADJdis,Case=Gen|Numb=Plur
denarios,denarivs,NOM2,Case=Acc|Numb=Plur
quinos,qvinvs,PROind,Case=Acc|Numb=Plur
alterci,altercvs,ADJqua,Case=Dat|Numb=Sing|Deg=Pos
cretae,creta,NOM1,Case=Gen|Numb=Sing
Samiae,samivs,NOM1,Case=Gen|Numb=Sing
singulorum,singvlvs,ADJdis,Case=Gen|Numb=Plur
denarios,denarivs,NOM2,Case=Acc|Numb=Plur
senos,senvs,ADJdis,Case=Acc|Numb=Plur
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
His,his,NOM7,Case=Nom|Numb=Sing
bene,bene,ADV,Deg=Pos
tunsis,tvndo,VER,Case=Abl|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
et,et,CONcoo,MORPH=empty
cretis,cres,ADJqua,Case=Abl|Numb=Plur
ex,ex,PRE,MORPH=empty
uino,vinvm,NOM2,Case=Abl|Numb=Sing
myrteo,myrtevs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
fiunt,fio,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
pastilli,pastillvs,NOM2,Case=Nom|Numb=Plur
denariorum,denarivs,NOM2,Case=Gen|Numb=Plur
singulorum,singvlvs,ADJdis,Case=Gen|Numb=Plur
aut,avt,CONcoo,MORPH=empty
semissium,semissivs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
ut,vt,CONsub,MORPH=empty
iuxta,ivxta,PRE,MORPH=empty
aetatem,aetas,NOM3,Case=Acc|Numb=Sing
aut,avt,CONcoo,MORPH=empty
ualitudinem,valetvdo,NOM3,Case=Acc|Numb=Sing
dentur,do,VER,Numb=Plur|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
.,qvadrantal,ADJcar,Case=Ind|Numb=Plur
Dantur,dantvr,NOM3,Case=Nom|Numb=Sing
autem,avtem,CONcoo,MORPH=empty
ieiunis,ieivnvs,ADJqua,Case=Dat|Numb=Plur|Deg=Pos
sine,sine,PRE,MORPH=empty
febre,febris,NOM3,Case=Abl|Numb=Sing|Deg=Pos
