form,lemma,pos,morph
Inter,inter,ADJcar,Case=Nom|Numb=Sing
maximos,magnvs,ADJqua,Case=Acc|Numb=Plur|Deg=Sup
quondam,qvondam,ADV,Deg=Pos
habitus,habitvs,NOM4,Numb=Sing
medicos,medicvs,NOM2,Case=Acc|Numb=Plur
Herophilus,herophilvs,NOM2,Case=Nom|Numb=Sing
C.,gaivs,NOM2,Case=Gen|Numb=Sing
Iuli,ivlvs,NOM2,Case=Gen|Numb=Sing
Calliste,calliste,NOM3,Case=Abl|Numb=Sing
fertur,fero,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
dixisse,dico,VER,Mood=Inf|Tense=Perf|Voice=Act
medicamenta,medicamentvm,NOM2,Case=Acc|Numb=Plur
deorum,devs,NOM2,Case=Gen|Numb=Plur
inmortalium,immortalis,ADJqua,Case=Gen|Numb=Plur|Deg=Pos
manus,manvs,NOM4,Case=Acc|Numb=Plur
esse,svm,VER,Mood=Inf|Tense=Pres|Voice=Act
non,non,ADVneg,MORPH=empty
sine,sine,PRE,MORPH=empty
ratione,ratio,NOM3,Case=Abl|Numb=Sing
ut,vt,ADVrel,MORPH=empty
mea,mevs,PROpos,Case=Nom|Numb=Sing
fert,fero,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
opinio,opinio,NOM3,Case=Nom|Numb=Sing
;,o,PRE,MORPH=empty
prorsus,prorsvs,ADV,Deg=Pos
enim,enim,CONcoo,MORPH=empty
quod,qvi,PROrel,Case=Acc|Numb=Sing
tactus,tactvs,NOM4,Numb=Sing|Tense=Perf|Voice=Pass|Person=3
diuinus,divinvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
efficere,efficio,VER,Mood=Inf|Tense=Pres|Voice=Act
potest,possvm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
id,is,PROdem,Case=Acc|Numb=Sing
praestant,praesto,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
medicamenta,medicamentvm,NOM2,Case=Nom|Numb=Plur
usus,vsvs,NOM4,Case=Nom|Numb=Sing
experientia,experientia,NOM1,Case=Abl|Numb=Sing
conprobata,comprobo,VER,Case=Abl|Numb=Sing|Mood=Ind|Tense=Perf|Voice=Pass
.,vnvs,ADJcar,Case=Gen|Numb=Plur
Animaduertimus,animadvertimvertim,NOM2,Case=Nom|Numb=Sing
itaque,itaqve,CONcoo,MORPH=empty
saepe,saepe,ADV,Deg=Pos
inter,inter,PRE,MORPH=empty
deliberationes,deliberatio,NOM3,Case=Acc|Numb=Plur
contentiones,contentio,NOM3,Case=Nom|Numb=Plur
-que,qvove,CONcoo,MORPH=empty
medicorum,medicvs,NOM2,Case=Gen|Numb=Plur
auctoritate,avctoritas,NOM3,Case=Abl|Numb=Sing
praecedentium,praecedo,VER,Case=Gen|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act
dum,dvm,CONsub,MORPH=empty
quaeritur,qvaero,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
quidnam,qvisnam,PROind,Case=Nom|Numb=Sing
faciendum,facio,VER,Case=Nom|Numb=Sing|Mood=Adj|Voice=Pass
aut,avt,CONcoo,MORPH=empty
qua,qvis,PROrel,Case=Abl|Numb=Sing
ratione,ratio,NOM3,Case=Abl|Numb=Sing
succurendum,svccvrro,VER,Case=Nom|Numb=Sing|Mood=Adj|Voice=Pass
sit,svm,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
aegro,aeger,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
quosdam,qvidam,PROind,Case=Acc|Numb=Plur
humiles,hvmilis,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
quidem,qvidem,ADV,Deg=Pos
et,et,CONcoo,MORPH=empty
alioqui,alioqvi,ADV,Deg=Pos
ignotos,ignotvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
reuera,revera,ADV,Deg=Pos
peritiores,peritvs,ADJqua,Case=Acc|Numb=Plur|Deg=Comp
uel,vel,CONcoo,MORPH=empty
quod,qvi,PROrel,Case=Acc|Numb=Sing
fateri,fateor,VER,Mood=Inf|Tense=Pres|Voice=Dep
pudet,pvdeo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
longe,longe,ADV,Deg=Pos
summotos,svbmoveo,VER,Case=Acc|Numb=Plur|Mood=Inf|Tense=Perf|Voice=Pass
a,ab,PRE,MORPH=empty
disciplina,disciplina,NOM1,Case=Abl|Numb=Sing
medicinae,medicina,NOM1,Case=Gen|Numb=Sing
et,et,CONcoo,MORPH=empty
ne,ne,ADVneg,MORPH=empty
adfines,affinis,NOM3,Case=Nom|Numb=Plur
quidem,qvidem,ADV,Deg=Pos
eius,is,PROdem,Case=Gen|Numb=Sing
professioni,professio,NOM3,Case=Dat|Numb=Sing
medicamento,medicamentvm,NOM2,Case=Abl|Numb=Sing
efficaci,efficax,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
dato,do,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
protinus,protinvs,ADV,Deg=Pos
uelut,velvt,ADVrel,MORPH=empty
praesenti,praesens,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
numine,nvmen,NOM3,Case=Abl|Numb=Sing
omni,omnis,PROind,Case=Abl|Numb=Sing
dolore,dolor,NOM3,Case=Abl|Numb=Sing
periculo,pericvlvm,NOM2,Case=Abl|Numb=Sing
-que,qvivis,CONcoo,MORPH=empty
liberasse,libero,VER,Mood=Inf|Tense=Perf|Voice=Act
aegros,aeger,NOM2,Case=Acc|Numb=Plur
.,qvintvs,ADJcar,Case=Acc|Numb=Plur
Quamobrem,qvamobres,NOM3,Case=Acc|Numb=Sing
spernendi,sperno,VER,Case=Nom|Numb=Plur|Mood=Adj|Voice=Act
sunt,svm,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
quidem,qvidem,ADV,Deg=Pos
qui,qvi,PROrel,Case=Nom|Numb=Plur
medicinam,medicina,NOM1,Case=Acc|Numb=Sing
spoliare,spolio,VER,Mood=Inf|Tense=Pres|Voice=Act
temptant,tento,VER,Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
usu,vsvs,NOM4,Case=Abl|Numb=Sing
medicamentorum,medicamentvm,NOM2,Case=Gen|Numb=Plur
forsan,forsan,ADV,Deg=Pos
non,non,ADVneg,MORPH=empty
a,ab,PRE,MORPH=empty
medendo,medeor,VER,Case=Abl|Numb=Sing|Mood=Ger|Voice=Act
sed,sed,CONcoo,MORPH=empty
a,ab,PRE,MORPH=empty
potentia,potentia,NOM1,Case=Abl|Numb=Sing
