form,lemma,pos,morph
Nunc,nvnc,NOM3,Case=Nom|Numb=Sing
operae,opera,NOM1,Case=Gen|Numb=Sing
pretium,pretivm,NOM2,Case=Nom|Numb=Sing
est,svm,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
quaedam,qvidam,PROind,Case=Acc|Numb=Sing
memorare,memoro,VER,Mood=Inf|Tense=Pres|Voice=Act
iuuentae,ivventa,NOM1,Case=Gen|Numb=Sing
atque,atqve,CONcoo,MORPH=empty
senectutis,senectvs,NOM3,Case=Gen|Numb=Sing
pauca,pavcvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
referre,refero,VER,Mood=Inf|Tense=Pres|Voice=Act
meae,mevs,PROpos,Case=Gen|Numb=Sing
quis,qvis,PROint,Case=Nom|Numb=Sing
lector,lector,NOM3,Case=Nom|Numb=Sing
mentem,mens,NOM3,Case=Acc|Numb=Sing
rerum,res,NOM5,Case=Gen|Numb=Plur
uertigine,vertigo,NOM3,Case=Abl|Numb=Sing
fractam,frango,VER,Case=Acc|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
erigat,erigo,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
et,et,CONcoo,MORPH=empty
maestum,maestvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
noscere,nosco,VER,Mood=Inf|Tense=Pres|Voice=Act
curet,cvro,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
opus,opvs,NOM3,Case=Acc|Numb=Sing
.,vnvs,ADJcar,Case=Gen|Numb=Plur
captus,capio,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
amore,amor,NOM3,Case=Abl|Numb=Sing
tuo,tvvs,PROpos,Case=Abl|Numb=Sing
demens,demens,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
Aquilina,aqvilinvs,NOM1,Case=Abl|Numb=Sing
ferebar,fero,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Pass|Person=1
pallidus,pallidvs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
et,et,CONcoo,MORPH=empty
tristis,tristis,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
captus,capio,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
amore,amor,NOM3,Case=Abl|Numb=Sing
tuo,tvvs,PROpos,Case=Abl|Numb=Sing
.,qvintvs,ADJcar,Case=Acc|Numb=Sing
nondum,nondvm,ADVneg,MORPH=empty
quid,qvis,PROint,Case=Nom|Numb=Sing
sit,svm,VER,Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
amor,amor,NOM3,Case=Nom|Numb=Sing
uel,vel,CONcoo,MORPH=empty
quid,qvis,PROint,Case=Acc|Numb=Sing
Venus,venvs,NOM3,Case=Nom|Numb=Sing
ignea,ignevs,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
noram,nosco,VER,Numb=Sing|Mood=Ind|Tense=Pqp|Voice=Act|Person=1
torquebar,torqveo,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Pass|Person=1
potius,potivs,ADV,Deg=Comp
rusticitate,rvsticitas,NOM3,Case=Abl|Numb=Sing
mea,mevs,PROpos,Case=Abl|Numb=Sing
.,vnvs,ADJcar,Case=Gen|Numb=Sing
nec,nec,CONcoo,MORPH=empty
minus,parvm,ADV,Deg=Comp
illa,ille,PROdem,Case=Nom|Numb=Sing
meo,mevs,PROpos,Case=Abl|Numb=Sing
percussa,percvtio,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
cupidine,cvpido,NOM3,Case=Abl|Numb=Sing
flagrans,flagro,ADJqua,Case=Nom|Numb=Sing|Deg=Pos
errabat,erro,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
toto,totvs,PROind,Case=Abl|Numb=Sing
non,non,ADVneg,MORPH=empty
capienda,capio,VER,Case=Nom|Numb=Sing|Mood=Adj|Voice=Pass
domo,domvs,NOM2,Case=Abl|Numb=Sing
.,vnvs,ADJcar,Case=Ind|Numb=Sing
carmina,carmen,NOM3,Case=Nom|Numb=Plur
pensa,pensvm,NOM2,Case=Nom|Numb=Plur
procul,procvl,ADV,Deg=Pos
nimium,nimivm,ADV,Deg=Pos
dilecta,dilectvs,NOM2,Case=Nom|Numb=Plur
iacebant,iaceo,VER,Numb=Plur|Mood=Ind|Tense=Impa|Voice=Act|Person=3
solus,solvs,PROind,Case=Nom|Numb=Sing
amor,amor,NOM3,Case=Nom|Numb=Sing
cordi,cor,NOM3,Case=Dat|Numb=Sing
cura,cvra,NOM1,Case=Nom|Numb=Sing
-que,qvove,CONcoo,MORPH=empty
semper,semper,ADV,Deg=Pos
erat,svm,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
.,qvintvs,ADJcar,Case=Nom|Numb=Sing
nec,nec,CONcoo,MORPH=empty
reperire,reperio,VER,Mood=Inf|Tense=Pres|Voice=Act
uiam,via,NOM1,Case=Acc|Numb=Sing
qua,qva,PROrel,Case=Abl
caecum,caecvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
pasceret,pasco,VER,Numb=Sing|Mood=Sub|Tense=Impa|Voice=Act|Person=3
ignem,ignis,NOM3,Case=Acc|Numb=Sing
docta,doctvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
nec,nec,CONcoo,MORPH=empty
alternis,alternvs,ADV,Deg=Pos
reddere,reddo,VER,Mood=Inf|Tense=Pres|Voice=Act
uerba,verbvm,NOM2,Case=Acc|Numb=Plur
notis,nota,NOM1,Case=Abl|Numb=Plur
tantum,tantvm,ADV,Deg=Pos
in,in,PRE,MORPH=empty
conspectu,conspectvs,NOM4,Case=Abl|Numb=Sing
studium,stvdivm,NOM2,Case=Acc|Numb=Sing
praestabat,praesto,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
inane,inane,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
anxia,anxivs,ADJqua,Case=Abl|Numb=Sing|Deg=Pos
uel,vel,CONcoo,MORPH=empty
solo,solvs,NOM2,Case=Abl|Numb=Sing
lumine,lvmen,NOM3,Case=Abl|Numb=Sing
corda,cor,NOM3,Case=Acc|Numb=Plur
fouens,foveo,VER,Case=Nom|Numb=Sing|Mood=Par|Tense=Pres|Voice=Act
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
me,ego,PROper,Case=Acc|Numb=Sing
pedagogus,pedagogvs,NOM2,Case=Nom|Numb=Sing
agit,ago,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
illam,ille,PROdem,Case=Acc|Numb=Sing
tristissima,tristis,ADJqua,Case=Nom|Numb=Sing|Deg=Sup
mater,mater,NOM3,Case=Nom|Numb=Sing
seruabat,servo,VER,Numb=Sing|Mood=Ind|Tense=Impa|Voice=Act|Person=3
tanti,tantvs,PROdem,Case=Gen|Numb=Sing
poena,poena,NOM1,Case=Nom|Numb=Sing
secunda,secvndvs,ADJord,Case=Nom|Numb=Sing|Deg=Pos
mali,malvm,NOM2,Case=Gen|Numb=Sing
.,qvadrantal,ADJcar,Case=Gen|Numb=Plur
pensabant,penso,VER,Numb=Plur|Mood=Ind|Tense=Impa|Voice=Act|Person=3
oculos,ocvlvs,NOM2,Case=Acc|Numb=Plur
nutus,nvtvs,NOM4,Case=Nom|Numb=Sing
-que,qvove,CONcoo,MORPH=empty
per,per,PRE,MORPH=empty
omnia,omnis,PROind,Case=Acc|Numb=Plur
nostros,noster,PROpos,Case=Acc|Numb=Plur
quaeque,qvisqve,PROind,Case=Acc|Numb=Plur
solet,soleo,VER,Numb=Sing|Mood=Ind|Tense=Pres|Voice=SemDep|Person=3
mentis,mens,NOM3,Case=Gen|Numb=Sing
ducere,dvco,VER,Mood=Inf|Tense=Pres|Voice=Act
signa,signvm,NOM2,Case=Acc|Numb=Plur
color,color,NOM3,Case=Nom|Numb=Sing
.,qvintvs,ADJcar,Case=Gen|Numb=Plur
dum,dvm,CONsub,MORPH=empty
licuit,licet,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
uotum,votvm,NOM2,Case=Acc|Numb=Sing
tacite,tacite,ADV,Deg=Pos
compressimus,comprimo,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1
ambo,ambo,ADJcar,Case=Nom|Numb=Plur
et,et,CONcoo,MORPH=empty
uaria,varivs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
dulces,dvlcis,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
teximus,tego,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1
arte,ars,NOM3,Case=Abl|Numb=Sing
dolos,dolvs,NOM2,Case=Acc|Numb=Plur
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
at,at,CONcoo,MORPH=empty
postquam,postqvam,CONsub,MORPH=empty
teneram,tener,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
rupit,rvmpo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
uerecundia,verecvndia,NOM1,Case=Nom|Numb=Sing
frontem,frons,NOM3,Case=Acc|Numb=Sing
nec,nec,CONcoo,MORPH=empty
ualuit,valeo,VER,Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
penitus,penitvs,ADV,Deg=Pos
flamma,flamma,NOM1,Case=Abl|Numb=Sing
recepta,recipio,VER,Case=Abl|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
tegi,tego,VER,Mood=Inf|Tense=Pres|Voice=Pass
mox,mox,ADV,Deg=Pos
captare,capto,VER,Mood=Inf|Tense=Pres|Voice=Act
locos,locvs,NOM2,Case=Acc|Numb=Plur
et,et,CONcoo,MORPH=empty
tempora,tempvs,NOM3,Case=Acc|Numb=Plur
coepimus,coepio,VER,Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1
ambo,ambo,ADJcar,Case=Acc|Numb=Plur
atque,atqve,CONcoo,MORPH=empty
superciliis,svpercilivm,NOM2,Case=Abl|Numb=Plur
luminibus,lvmen,NOM3,Case=Abl|Numb=Plur
-que,qvovs,CONcoo,MORPH=empty
loqui,loqvor,VER,Mood=Inf|Tense=Pres|Voice=Dep
fallere,fallo,VER,Mood=Inf|Tense=Pres|Voice=Act
sollicitos,sollicitvs,ADJqua,Case=Acc|Numb=Plur|Deg=Pos
suspensos,svspendo,VER,Case=Acc|Numb=Plur|Mood=Par|Tense=Perf|Voice=Pass
ponere,pono,VER,Mood=Inf|Tense=Pres|Voice=Act
gressus,gressvs,NOM4,Case=Acc|Numb=Plur
et,et,CONcoo,MORPH=empty
tota,totvs,PROind,Case=Abl|Numb=Sing
nullo,nvllvs,PROind,Case=Abl|Numb=Sing
currere,cvrro,VER,Mood=Inf|Tense=Pres|Voice=Act
nocte,nox,NOM3,Case=Abl|Numb=Sing
sono,sonvs,NOM2,Case=Abl|Numb=Sing
.,qvadrantal,ADJcar,Case=Acc|Numb=Plur
nec,nec,CONcoo,MORPH=empty
longum,longvs,ADJqua,Case=Acc|Numb=Sing|Deg=Pos
genetrix,genetrix,NOM3,Case=Nom|Numb=Sing
